DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
05600,CALIFORNIA               ,STANISLAUS,"2,567,453","2,200,159","1,967,922","1,948,398","1,336,616",,,,,,
05610,CALIFORNIA               ,SUTTER,"167,317","216,578","133,906","467,998","721,305",,,,,,
05620,CALIFORNIA               ,TEHAMA,"294,621","298,559","211,969","168,968","169,747",,,,,,
05630,CALIFORNIA               ,TRINITY,"232,989","228,584","186,084","131,329","76,047",,,,,,
05640,CALIFORNIA               ,TULARE,"1,024,853","843,663","1,015,047","1,272,178","1,349,639",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"342,478","367,735","331,744","355,870","187,903",,,,,,
05660,CALIFORNIA               ,VENTURA,"1,782,333","1,130,640","1,762,509","1,415,193","1,286,495",,,,,,
05670,CALIFORNIA               ,YOLO,"649,546","658,635","566,501","482,694","414,200",,,,,,
05680,CALIFORNIA               ,YUBA,"128,647","110,870","64,898","420,270","522,302",,,,,,
06000,COLORADO                 ,ADAMS,"-219,455","-289,926","-312,795","-338,526","-250,195",,,,,,
06010,COLORADO                 ,ALAMOSA,"-3,297","-2,107","-2,539","-2,717","-3,713",,,,,,
06020,COLORADO                 ,ARAPAHOE,"-265,219","-346,789","-424,110","-454,492","-335,147",,,,,,
06030,COLORADO                 ,ARCHULETA,429,274,"-2,321",544,"-1,487",,,,,,
06040,COLORADO                 ,BACA,-840,"-2,101","-2,250","-5,926","-3,233",,,,,,
06050,COLORADO                 ,BENT,"1,394","-1,671","-1,092","-4,476","-5,712",,,,,,
06060,COLORADO                 ,BOULDER,"-177,071","-150,381","-186,835","-200,847","-178,026",,,,,,
06070,COLORADO                 ,CHAFFEE,950,"-5,654","-3,666","-12,447","-7,489",,,,,,
06080,COLORADO                 ,CHEYENNE,-993,"-1,827","-2,246",-285,-642,,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-3,215",-375,"-3,687","-6,387","-3,037",,,,,,
06100,COLORADO                 ,CONEJOS,-28,"-5,371","-1,922","-2,110","-3,515",,,,,,
06110,COLORADO                 ,COSTILLA,"-1,206","-7,744","-3,871","-1,850","-1,337",,,,,,
06120,COLORADO                 ,CROWLEY,-90,-95,"-1,211","-3,642","-5,705",,,,,,
06130,COLORADO                 ,CUSTER,103,"-1,826",214,-969,"-9,480",,,,,,
06140,COLORADO                 ,DELTA,"-15,466","-15,893","-20,721","-31,840","-26,455",,,,,,
06150,COLORADO                 ,DENVER,"-482,575","-651,458","-606,522","-606,894","-437,697",,,,,,
06160,COLORADO                 ,DOLORES,"-2,361","1,296",379,58,"-2,264",,,,,,
