"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
03040,ARIZONA                  ,GRAHAM                 ,646,"1,980,724",255.51,"1,681,583",216.92,"70,284","203,125","25,730",557,"2,050,887",306.84,0.860,,,,,,
03050,ARIZONA                  ,GREENLEE               ,137,"422,970",257.28,"374,589",227.85,"6,421","39,715","2,244",122,"418,701",286.00,0.781,,,,,,
03055,ARIZONA                  ,LA PAZ                 ,408,"1,744,442",356.30,"1,548,297",316.24,"40,038","143,986","12,121",325,"1,630,827",418.16,0.923,,,,,,
03060,ARIZONA                  ,MARICOPA               ,"40,360","159,823,854",330.00,"135,604,016",279.99,"3,782,459","17,730,555","2,706,823","30,947","146,980,595",395.79,0.913,,,,,,
03070,ARIZONA                  ,MOHAVE                 ,"5,306","19,087,049",299.77,"16,590,609",260.56,"451,838","1,885,955","158,646","4,557","20,017,412",366.06,0.966,,,,,,
03080,ARIZONA                  ,NAVAJO                 ,"2,313","8,351,670",300.90,"7,290,636",262.67,"139,724","862,808","58,501","2,013","7,695,119",318.56,0.879,,,,,,
03090,ARIZONA                  ,PIMA                   ,"12,183","44,901,614",307.13,"35,867,116",245.34,"2,371,567","5,553,291","1,109,639","9,338","38,552,737",344.05,0.890,,,,,,
03100,ARIZONA                  ,PINAL                  ,"4,812","18,286,318",316.68,"15,681,330",271.57,"335,125","2,079,897","189,964","3,903","18,636,775",397.92,0.892,,,,,,
03110,ARIZONA                  ,SANTA CRUZ             ,396,"795,459",167.39,"648,368",136.44,"38,669","97,011","11,411",313,"780,169",207.71,0.762,,,,,,
03120,ARIZONA                  ,YAVAPAI                ,"5,679","16,464,666",241.60,"14,698,905",215.69,"255,154","1,363,110","147,496","4,680","19,668,308",350.22,0.885,,,,,,
03130,ARIZONA                  ,YUMA                   ,"2,211","6,904,882",260.25,"6,142,286",231.50,"109,139","603,392","50,065","1,908","7,779,381",339.77,0.956,,,,,,
