AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
06040,COLORADO                 ,BACA,"9,150","16,663","2,313","2,087","3,096",,,,,,
06050,COLORADO                 ,BENT,"8,389","13,221","12,169","10,840","4,920",,,,,,
06060,COLORADO                 ,BOULDER,"347,140","603,116","482,768","475,863","221,832",,,,,,
06070,COLORADO                 ,CHAFFEE,"32,790","54,536","47,863","46,192","22,247",,,,,,
06080,COLORADO                 ,CHEYENNE,"3,730","4,911","4,446","3,153","1,673",,,,,,
06090,COLORADO                 ,CLEAR CREEK,"6,340","10,045","8,888","8,288","3,733",,,,,,
06100,COLORADO                 ,CONEJOS,"7,202","12,032","9,693","9,382","4,236",,,,,,
06110,COLORADO                 ,COSTILLA,"4,277","7,890","5,560","6,092","2,987",,,,,,
06120,COLORADO                 ,CROWLEY,"5,495","8,473","8,238","8,363","3,273",,,,,,
06130,COLORADO                 ,CUSTER,"8,661","14,217","11,581","10,962","6,637",,,,,,
06140,COLORADO                 ,DELTA,"48,321","78,371","68,590","71,899","36,354",,,,,,
06150,COLORADO                 ,DENVER,"476,277","794,147","633,957","614,314","287,076",,,,,,
06160,COLORADO                 ,DOLORES,"3,131","4,399","4,128","3,595","2,210",,,,,,
06170,COLORADO                 ,DOUGLAS,"116,242","217,584","178,521","189,992","92,642",,,,,,
06180,COLORADO                 ,EAGLE,"25,166","48,745","39,124","42,724","23,626",,,,,,
06190,COLORADO                 ,ELBERT,"20,536","35,385","31,239","32,165","16,097",,,,,,
06200,COLORADO                 ,EL PASO,"770,772","1,366,095","995,092","1,016,192","476,110",,,,,,
06210,COLORADO                 ,FREMONT,"79,313","135,925","110,172","111,642","50,948",,,,,,
06220,COLORADO                 ,GARFIELD,"45,149","75,757","67,871","68,913","34,773",,,,,,
06230,COLORADO                 ,GILPIN,"1,486","3,075","3,462","3,095","1,985",,,,,,
06240,COLORADO                 ,GRAND,"15,970","29,470","23,089","18,657","8,801",,,,,,
06250,COLORADO                 ,GUNNISON,"10,416","19,254","16,012","15,902","7,851",,,,,,
