DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"107,586","134,095","104,528","41,415","9,623",,,,,,,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-155,644","-43,926","-28,314","-34,089","11,675",,,,,,,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"130,118","140,357","119,803","44,092","15,622",,,,,,,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-338,240","265,816","262,734","193,817","33,097",,,,,,,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"77,492","129,032","101,254","55,474","12,960",,,,,,,,,,,
05550,CALIFORNIA               ,SHASTA,"169,196","220,564","160,664","67,042","7,002",,,,,,,,,,,
05560,CALIFORNIA               ,SIERRA,873,"1,411","1,032",339,1,,,,,,,,,,,
05570,CALIFORNIA               ,SISKIYOU,"26,369","32,727","20,761","10,293","1,557",,,,,,,,,,,
05580,CALIFORNIA               ,SOLANO,"-29,343","55,760","46,129","13,106","22,278",,,,,,,,,,,
05590,CALIFORNIA               ,SONOMA,"97,038","148,339","117,888","49,243","16,258",,,,,,,,,,,
05600,CALIFORNIA               ,STANISLAUS,"170,007","245,834","189,118","81,454","6,222",,,,,,,,,,,
05610,CALIFORNIA               ,SUTTER,"47,851","65,325","49,240","23,644","1,820",,,,,,,,,,,
05620,CALIFORNIA               ,TEHAMA,"36,396","49,042","33,368","15,773","1,724",,,,,,,,,,,
05630,CALIFORNIA               ,TRINITY,"23,571","30,572","23,043","10,464","2,119",,,,,,,,,,,
05640,CALIFORNIA               ,TULARE,"137,245","181,763","146,296","65,868","3,933",,,,,,,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"21,669","38,032","30,227","13,225","1,324",,,,,,,,,,,
05660,CALIFORNIA               ,VENTURA,"-192,122","-514,263","-412,204","-374,804","41,916",,,,,,,,,,,
05670,CALIFORNIA               ,YOLO,"35,347","48,247","33,836","15,322","2,786",,,,,,,,,,,
05680,CALIFORNIA               ,YUBA,"41,442","54,447","37,675","18,029","2,014",,,,,,,,,,,
06000,COLORADO                 ,ADAMS,"53,538","90,750","82,187","86,694","40,643",,,,,,,,,,,
06010,COLORADO                 ,ALAMOSA,"3,488","4,087","3,674","3,729","2,005",,,,,,,,,,,
