AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
05320,CALIFORNIA               ,MARIPOSA,"90,106","43,379","40,408","36,775","59,818"
05330,CALIFORNIA               ,MENDOCINO,"187,684","-65,528","-236,723","-109,537","195,989"
05340,CALIFORNIA               ,MERCED,"453,143","298,201","358,968","301,553","376,874"
05350,CALIFORNIA               ,MODOC,"34,515","15,025","8,182","4,924","7,502"
05360,CALIFORNIA               ,MONO,"4,176","4,900","5,850","5,129","7,784"
05370,CALIFORNIA               ,MONTEREY,"1,762,923","1,223,442","1,208,853","473,674","325,695"
05380,CALIFORNIA               ,NAPA,"903,372","810,123","954,816","527,471","349,496"
05390,CALIFORNIA               ,NEVADA,"451,111","373,236","467,201","258,860","355,921"
05400,CALIFORNIA               ,ORANGE,"3,141,385","1,956,206","1,672,667","2,094,458","1,848,288"
05410,CALIFORNIA               ,PLACER,"521,474","477,041","620,969","366,041","514,297"
05420,CALIFORNIA               ,PLUMAS,"77,107","30,598","37,308","34,356","63,608"
05430,CALIFORNIA               ,RIVERSIDE,"1,901,037","1,023,061","997,369","1,276,185","1,410,189"
05440,CALIFORNIA               ,SACRAMENTO,"1,700,687","1,617,015","1,837,977","1,102,541","1,464,519"
05450,CALIFORNIA               ,SAN BENITO,"184,040","119,058","131,526","74,792","67,637"
05460,CALIFORNIA               ,SAN BERNARDINO,"1,084,376","780,963","711,902","790,025","720,621"
05470,CALIFORNIA               ,SAN DIEGO,"4,175,336","2,149,964","1,826,412","2,193,442","2,657,840"
05480,CALIFORNIA               ,SAN FRANCISCO,"1,140,745","1,623,191","1,421,849","760,171","1,054,281"
05490,CALIFORNIA               ,SAN JOAQUIN,"980,766","890,070","902,359","363,133","292,363"
05500,CALIFORNIA               ,SAN LUIS OBISPO,"545,366","242,919","297,355","238,303","135,221"
05510,CALIFORNIA               ,SAN MATEO,"1,179,387","1,218,364","1,145,006","693,208","815,649"
05520,CALIFORNIA               ,SANTA BARBARA,"957,427","471,439","403,001","392,297","572,183"
05530,CALIFORNIA               ,SANTA CLARA,"3,201,119","2,675,282","2,411,845","1,906,783","1,462,396"
05540,CALIFORNIA               ,SANTA CRUZ,"810,237","599,159","719,149","487,510","527,437"
05550,CALIFORNIA               ,SHASTA,"793,691","473,303","417,813","191,320","109,419"
05560,CALIFORNIA               ,SIERRA,"3,718","5,814","6,389","3,750","7,683"
