"IPPS and OPPS Wage Indices by Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,,
County code,State,County name,CBSA 2013,IPPS Wage 2007 A,IPPS Wage 2007 B,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2013,
4350,AR,JOHNSON,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4360,AR,LAFAYETTE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4370,AR,LAWRENCE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4380,AR,LEE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4390,AR,LINCOLN,38220, 0.8717 , 0.8717 , 0.8152 , 0.8243 , 0.7767 , 0.7767 , 0.8269 , 0.8009 ,
4400,AR,LITTLE RIVER,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4410,AR,LOGAN,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4420,AR,LONOKE,30780, 0.9704 , 0.9704 , 0.8961 , 0.8766 , 0.8683 , 0.8683 , 0.8650 , 0.8566 ,
4430,AR,MADISON,22220, 0.9027 , 0.9027 , 0.8872 , 0.9097 , 0.8787 , 0.8787 , 0.8604 , 0.9284 ,
4440,AR,MARION,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4450,AR,MILLER,45500, 0.8107 , 0.8107 , 0.7782 , 0.8167 , 0.8153 , 0.8153 , 0.7773 , 0.8169 ,
4460,AR,MISSISSIPPI,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4470,AR,MONROE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4480,AR,MONTGOMERY,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4490,AR,NEVADA,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4500,AR,NEWTON,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4510,AR,OUACHITA,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4520,AR,PERRY,30780, 0.9704 , 0.9704 , 0.8961 , 0.8766 , 0.8683 , 0.8683 , 0.8650 , 0.8566 ,
4530,AR,PHILLIPS,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4540,AR,PIKE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
