AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05100,CALIFORNIA               ,GLENN,"473,105","320,810","270,574","266,626","313,873",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"1,976,344","1,462,077","1,034,536","327,349","5,551",,,,,
05120,CALIFORNIA               ,IMPERIAL,"2,765,861","1,484,277","1,140,406","1,663,686","1,937,768",,,,,
05130,CALIFORNIA               ,INYO,"-8,274","16,632","37,996","46,308","21,300",,,,,
05140,CALIFORNIA               ,KERN,"6,999,358","4,191,096","3,081,565","3,996,726","3,393,579",,,,,
05150,CALIFORNIA               ,KINGS,"1,677,751","1,015,573","716,128","1,003,131","1,141,982",,,,,
05160,CALIFORNIA               ,LAKE,"1,616,073","1,534,060","1,757,579","1,298,881","860,377",,,,,
05170,CALIFORNIA               ,LASSEN,"-163,293","-37,255","41,490","62,551","-10,166",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"70,182,854","60,756,376","38,725,480","52,022,974","34,487,305",,,,,
05300,CALIFORNIA               ,MADERA,"2,032,905","1,329,128","967,569","1,144,815","1,321,227",,,,,
05310,CALIFORNIA               ,MARIN,"2,661,304","3,842,237","2,114,586","1,255,045","1,725,070",,,,,
05320,CALIFORNIA               ,MARIPOSA,"451,248","348,425","262,593","278,994","259,844",,,,,
05330,CALIFORNIA               ,MENDOCINO,"1,051,021","-92,384","-623,458","-651,338","731,863",,,,,
05340,CALIFORNIA               ,MERCED,"3,704,102","3,118,131","2,800,999","2,691,767","2,135,468",,,,,
05350,CALIFORNIA               ,MODOC,"57,330","104,736","62,887","37,186","5,315",,,,,
05360,CALIFORNIA               ,MONO,"-70,061","15,047","9,044","16,583","6,294",,,,,
05370,CALIFORNIA               ,MONTEREY,"12,369,835","10,483,650","8,783,362","3,871,823","2,248,283",,,,,
05380,CALIFORNIA               ,NAPA,"3,992,946","3,962,377","4,212,523","3,135,907","1,492,143",,,,,
05390,CALIFORNIA               ,NEVADA,"2,736,225","2,557,114","2,246,965","1,484,316","1,516,594",,,,,
05400,CALIFORNIA               ,ORANGE,"22,879,660","16,637,134","11,292,469","14,717,422","10,354,278",,,,,
05410,CALIFORNIA               ,PLACER,"3,826,898","3,749,164","3,499,776","2,361,725","2,761,955",,,,,
05420,CALIFORNIA               ,PLUMAS,"-61,416","-2,618","74,857","88,513","66,493",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"17,762,871","10,180,911","7,374,460","9,288,918","8,544,488",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"14,882,571","14,976,773","13,854,977","9,442,414","10,173,966",,,,,
05450,CALIFORNIA               ,SAN BENITO,"1,111,864","1,204,874","734,878","552,845","392,184",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"10,308,156","7,678,475","5,400,810","6,501,129","4,573,084",,,,,
