AGED -- 2011  REIMBURSEMENT FOR COST CONTRACTS - FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
06570,COLORADO                 ,SEDGWICK,"57,915","57,101","35,878",,,,,,,,,
06580,COLORADO                 ,SUMMIT,"293,055","275,920","133,569",,,,,,,,,
06590,COLORADO                 ,TELLER,"23,122","22,341","159,415",,,,,,,,,
06600,COLORADO                 ,WASHINGTON,"83,502","83,502","36,876",,,,,,,,,
06610,COLORADO                 ,WELD,"2,229,358","2,036,738","1,251,285",,,,,,,,,
06620,COLORADO                 ,YUMA,"27,810","25,246","114,230",,,,,,,,,
06630,COLORADO                 ,BROOMFIELD,"241,866","229,761","178,374",,,,,,,,,
07000,CONNECTICUT              ,FAIRFIELD,0,0,"5,198",,,,,,,,,
07010,CONNECTICUT              ,HARTFORD,"20,640","19,643","7,604",,,,,,,,,
07020,CONNECTICUT              ,LITCHFIELD,0,0,238,,,,,,,,,
07030,CONNECTICUT              ,MIDDLESEX,"11,909","11,069","7,363",,,,,,,,,
07040,CONNECTICUT              ,NEW HAVEN,"14,869","9,623","22,073",,,,,,,,,
07050,CONNECTICUT              ,NEW LONDON,0,0,0,,,,,,,,,
07060,CONNECTICUT              ,TOLLAND,"38,705","34,218","5,431",,,,,,,,,
07070,CONNECTICUT              ,WINDHAM,0,0,0,,,,,,,,,
08000,DELAWARE                 ,KENT,"107,863","103,024","27,481",,,,,,,,,
08010,DELAWARE                 ,NEW CASTLE,"169,270","155,929","112,950",,,,,,,,,
08020,DELAWARE                 ,SUSSEX,"12,961","12,865","22,573",,,,,,,,,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"17,706,359","14,722,194","5,489,642",,,,,,,,,
10000,FLORIDA                  ,ALACHUA,"51,932","50,313","11,429",,,,,,,,,
10010,FLORIDA                  ,BAKER,0,0,0,,,,,,,,,
10020,FLORIDA                  ,BAY,"105,719","104,872","8,298",,,,,,,,,
10030,FLORIDA                  ,BRADFORD,0,0,0,,,,,,,,,
