AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
05300,CALIFORNIA,MADERA,"2,708,810","2,579,306","2,231,003","1,313,989","834,485"
05310,CALIFORNIA,MARIN,"5,086,486","5,527,134","5,660,116","4,014,213","2,593,494"
05320,CALIFORNIA,MARIPOSA,"505,464","436,872","376,111","283,936","89,647"
05330,CALIFORNIA,MENDOCINO,"401,100","1,572,897","1,371,582","982,632","436,867"
05340,CALIFORNIA,MERCED,"4,293,208","3,733,485","2,959,529","1,725,285","818,320"
05350,CALIFORNIA,MODOC,"109,495","56,270","-5,396","25,397","-65,737"
05360,CALIFORNIA,MONO,"54,028","38,112","45,606","14,704","-57,598"
05370,CALIFORNIA,MONTEREY,"5,815,095","4,360,893","4,229,920","2,577,532","2,870,960"
05380,CALIFORNIA,NAPA,"3,582,454","1,863,532","1,587,547","501,867","282,592"
05390,CALIFORNIA,NEVADA,"4,341,655","4,703,909","4,424,256","2,648,273","1,240,479"
05400,CALIFORNIA,ORANGE,"38,334,634","33,409,234","32,254,980","21,640,048","13,588,372"
05410,CALIFORNIA,PLACER,"7,276,648","8,261,915","9,223,802","5,370,021","2,616,283"
05420,CALIFORNIA,PLUMAS,"220,534","206,047","227,745","55,821","-250,581"
05430,CALIFORNIA,RIVERSIDE,"24,662,210","23,227,409","21,149,289","14,359,028","9,038,037"
05440,CALIFORNIA,SACRAMENTO,"27,514,885","29,710,389","30,494,393","17,818,753","8,446,196"
05450,CALIFORNIA,SAN BENITO,"884,306","756,400","613,884","352,956","329,302"
05460,CALIFORNIA,SAN BERNARDINO,"17,902,086","16,323,312","14,844,907","10,470,322","6,742,377"
05470,CALIFORNIA,SAN DIEGO,"37,940,754","37,490,887","32,474,056","23,571,386","14,282,284"
05480,CALIFORNIA,SAN FRANCISCO,"15,009,507","15,521,525","13,657,323","9,481,412","4,857,695"
05490,CALIFORNIA,SAN JOAQUIN,"18,751,631","16,379,981","14,895,780","10,344,163","2,338,642"
05500,CALIFORNIA,SAN LUIS OBISPO,"4,953,147","3,607,786","3,514,402","2,943,619","2,156,757"
05510,CALIFORNIA,SAN MATEO,"9,329,970","8,213,954","7,650,424","5,118,475","3,421,600"
05520,CALIFORNIA,SANTA BARBARA,"6,408,133","6,608,715","5,930,899","4,075,237","2,919,736"
05530,CALIFORNIA,SANTA CLARA,"17,617,609","13,505,198","10,970,320","6,585,388","5,950,944"
05540,CALIFORNIA,SANTA CRUZ,"5,207,697","4,324,677","2,840,261","1,545,564","1,948,414"
05550,CALIFORNIA,SHASTA,"4,943,952","2,908,265","95,040","2,505,003","452,998"
05560,CALIFORNIA,SIERRA,"67,459","41,389","36,597","20,311","-40,712"
05570,CALIFORNIA,SISKIYOU,"694,279","521,360","411,761","430,562","263,901"
05580,CALIFORNIA,SOLANO,"3,797,054","4,144,413","4,608,623","2,149,996","1,242,321"
05590,CALIFORNIA,SONOMA,"6,951,172","6,027,254","5,900,054","3,535,208","2,525,213"
05600,CALIFORNIA,STANISLAUS,"4,975,178","4,832,400","2,640,214","270,703","-1,458,720"
05610,CALIFORNIA,SUTTER,"1,309,208","3,377,957","2,965,573","628,507","307,445"
05620,CALIFORNIA,TEHAMA,"969,980","772,638","443,142","524,177","217,468"
05630,CALIFORNIA,TRINITY,"519,526","288,428","69,220","282,869","77,214"
05640,CALIFORNIA,TULARE,"8,939,543","8,009,870","6,933,903","4,645,879","2,934,472"
05650,CALIFORNIA,TUOLUMNE,"798,111","725,230","562,841","294,470","-1,688"
05660,CALIFORNIA,VENTURA,"13,374,010","7,983,172","3,084,917","3,175,198","1,323,642"
05670,CALIFORNIA,YOLO,"2,793,117","3,078,766","2,885,832","1,797,084","860,645"
05680,CALIFORNIA,YUBA,"868,715","2,467,887","2,020,784","358,813","222,161"
06000,COLORADO,ADAMS,"-1,558,807","-1,533,557","-1,232,827","-886,775","-675,737"
06010,COLORADO,ALAMOSA,"-37,809","-40,500","-28,764","-32,660","-13,909"
06020,COLORADO,ARAPAHOE,"-3,114,390","-3,007,413","-2,456,492","-1,705,823","-1,422,116"
06030,COLORADO,ARCHULETA,"-16,816","-28,805","-3,850","-18,925","-16,502"
06040,COLORADO,BACA,"-37,417","-53,707","-36,486","-26,887","-5,584"
06050,COLORADO,BENT,"-13,637","-17,429","-14,133","-20,449","1,268"
06060,COLORADO,BOULDER,"-1,307,397","-1,247,057","-1,068,020","-880,521","-91,385"
06070,COLORADO,CHAFFEE,"-82,500","-110,352","-75,943","-76,080","-59,791"
06080,COLORADO,CHEYENNE,"-17,752","-9,977","-10,628","-13,211","-3,806"
06090,COLORADO,CLEAR CREEK,"-40,961","-36,074","-26,251","-17,172","-10,982"
06100,COLORADO,CONEJOS,"-22,185","-36,188","-3,673","-22,536","-18,842"
06110,COLORADO,COSTILLA,"-5,284","-17,178","-11,656","-14,843","-4,763"
06120,COLORADO,CROWLEY,"-10,850","-18,660","-12,719","-20,880","-4,981"
