AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
05200,CALIFORNIA,LOS ANGELES,-166566379.5,-166959101.2,-159047415.9,-119497133.6,-19112441.49,-60040678.2
05300,CALIFORNIA,MADERA,-2719862.29,-2957256.63,-2793009.91,-1738424.87,-315360.83,-1095858.83
05310,CALIFORNIA,MARIN,-2303505.2,-2319144.48,-2636596.46,-2361164.99,-281001.56,-943602.93
05320,CALIFORNIA,MARIPOSA,-464608.37,-468528.3,-438711.71,-521039.2,-59654.16,-223987.91
05330,CALIFORNIA,MENDOCINO,-2040412.2,-1667708.18,-1586901.66,-1662054.29,-136619.96,-468665.08
05340,CALIFORNIA,MERCED,-4720310.32,-4616812.81,-5006865.7,-5258853.51,-618769.21,-2254878.53
05350,CALIFORNIA,MODOC,-113749.52,-161348.78,-165973.33,-96816.64,-16855.5,-46562.31
05360,CALIFORNIA,MONO,-80005.17,-75889.96,-83341.42,-110616.13,-16574.65,-41320.94
05370,CALIFORNIA,MONTEREY,-3231457.7,-3539487.36,-4638287.24,-4907148.8,-748324.86,-2488039.9
05380,CALIFORNIA,NAPA,-2593895.69,-2284445.07,-2250830,-1337639.44,-151959.08,-531977.24
05390,CALIFORNIA,NEVADA,-1079967.08,-1675440.18,-1739777.25,-1483636.51,-181114.04,-608755.88
05400,CALIFORNIA,ORANGE,-22183226.58,-21438146.82,-23671026.17,-18260612.53,-2804727.82,-9762648.34
05410,CALIFORNIA,PLACER,-1833562.91,-2437795.46,-3290791.73,-2495573.45,-547237.21,-1680754.63
05420,CALIFORNIA,PLUMAS,-224242.5,-275135.18,-333114.55,-220558.05,-55661.11,-166106.54
05430,CALIFORNIA,RIVERSIDE,-11501272.27,-11761062.04,-11497194.37,-7940123.07,-2264479.67,-6915785
05440,CALIFORNIA,SACRAMENTO,-12268257.9,-13516199.52,-14942511.65,-13246495.62,-2565487.84,-8648805.67
05450,CALIFORNIA,SAN BENITO,-772205.94,-825813.32,-862069.3,-656333.31,-89305.74,-297961.14
05460,CALIFORNIA,SAN BERNARDINO,-9892218.32,-9758949.62,-8536229.23,-6378434.96,-2113596.32,-6758411.35
05470,CALIFORNIA,SAN DIEGO,-20289027.07,-23006817.35,-23551329.42,-20333026.62,-3767923.48,-11391045.02
05480,CALIFORNIA,SAN FRANCISCO,-11825285,-11515261.76,-12121866.06,-9525496.64,-1563668.06,-5395110.88
05490,CALIFORNIA,SAN JOAQUIN,-9235705.73,-8191126.89,-8180848.55,-5097452.36,-1332096.33,-4527713.1
05500,CALIFORNIA,SAN LUIS OBISPO,-2162664.81,-1970558.27,-2570484.28,-2919903.83,-614754.97,-2216525.1
05510,CALIFORNIA,SAN MATEO,-3668444.02,-3079431.33,-3559409.21,-2959858.81,-301228.3,-1090572.16
05520,CALIFORNIA,SANTA BARBARA,-4707992.32,-4259616.06,-4995326.41,-4870874.25,-1023650.17,-3357904.27
05530,CALIFORNIA,SANTA CLARA,-18455216.79,-18382447.62,-20394754.12,-15450994.94,-2007714.57,-7100399.78
05540,CALIFORNIA,SANTA CRUZ,-4468634.81,-4992155.31,-6016007.71,-4312339.82,-411186.38,-1377436.01
