SNF Wage Indices by Fiscal Year,,,,,,,,,
SSACD,State,County,CBSA 2016,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014,SNF Wage 2016
06290,CO,JEFFERSON,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06300,CO,KIOWA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06310,CO,KIT CARSON,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06320,CO,LAKE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06330,CO,LA PLATA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06340,CO,LARIMER,22660,1.0175,0.9892,0.9876,0.9833,0.9704,1.0149
06350,CO,LAS ANIMAS,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06360,CO,LINCOLN,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06370,CO,LOGAN,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06380,CO,MESA,24300,0.9721,0.9850,0.9394,0.9415,0.9270,0.9615
06390,CO,MINERAL,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06400,CO,MOFFAT,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06410,CO,MONTEZUMA,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06420,CO,MONTROSE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06430,CO,MORGAN,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06440,CO,OTERO,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06450,CO,OURAY,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06460,CO,PARK,19740,1.0731,1.0718,1.0647,1.0469,1.0395,1.0198
06470,CO,PHILLIPS,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06480,CO,PITKIN,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06490,CO,PROWERS,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06500,CO,PUEBLO,39380,0.8570,0.8721,0.8668,0.8518,0.8215,0.8301
06510,CO,RIO BLANCO,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06520,CO,RIO GRANDE,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
06530,CO,ROUTT,NA,0.9929,0.9933,1.0126,1.0208,0.9802,0.9746
