"ESRD - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
04080,ARKANSAS                 ,CHICOT                 ,22," 2,866 ",10.86," 2,866 ",10.86,0,0,0,21,0,0
04090,ARKANSAS                 ,CLARK                  ,47, -   ,0, -   ,0,0,0,0,45,0,0
04100,ARKANSAS                 ,CLAY                   ,12," 2,024 ",14.06," 2,024 ",14.06,0,0,0,12,0,0
04110,ARKANSAS                 ,CLEBURNE               ,17," 1,273 ",6.24," 1,273 ",6.24,0,0,0,17,0,0
04120,ARKANSAS                 ,CLEVELAND              ,11, -   ,0, -   ,0,0,0,0,11,0,0
04130,ARKANSAS                 ,COLUMBIA               ,34, 391 ,0.96, 391 ,0.96,0,0,0,34,0,0
04140,ARKANSAS                 ,CONWAY                 ,22," 2,033 ",7.7," 2,033 ",7.7,0,0,0,22,0,0
04150,ARKANSAS                 ,CRAIGHEAD              ,107," 1,144 ",0.89," 1,144 ",0.89,0,0,0,101,0,0
04160,ARKANSAS                 ,CRAWFORD               ,42," 5,111 ",10.14," 5,111 ",10.14,0,0,0,41,0,0
04170,ARKANSAS                 ,CRITTENDEN             ,156," 48,012 ",25.65," 48,012 ",25.65,0,0,0,154,0,0
04180,ARKANSAS                 ,CROSS                  ,30, -   ,0, -   ,0,0,0,0,29,0,0
04190,ARKANSAS                 ,DALLAS                 ,16, -   ,0, -   ,0,0,0,0,16,0,0
04200,ARKANSAS                 ,DESHA                  ,25, -   ,0, -   ,0,0,0,0,25,0,0
04210,ARKANSAS                 ,DREW                   ,25," 6,643 ",22.14," 6,643 ",22.14,0,0,0,24,0,0
04220,ARKANSAS                 ,FAULKNER               ,106," 39,169 ",30.79," 39,169 ",30.79,0,0,0,98,0,0
04230,ARKANSAS                 ,FRANKLIN               ,17, -   ,0, -   ,0,0,0,0,17,0,0
04240,ARKANSAS                 ,FULTON                 ,8, -   ,0, -   ,0,0,0,0,8,0,0
04250,ARKANSAS                 ,GARLAND                ,129," 12,454 ",8.05," 12,454 ",8.05,0,0,0,126,0,0
04260,ARKANSAS                 ,GRANT                  ,16, 680 ,3.54, 680 ,3.54,0,0,0,15,0,0
04270,ARKANSAS                 ,GREENE                 ,43," 6,830 ",13.24," 6,830 ",13.24,0,0,0,40,0,0
04280,ARKANSAS                 ,HEMPSTEAD              ,42, 522 ,1.04, 522 ,1.04,0,0,0,40,0,0
04290,ARKANSAS                 ,HOT SPRING             ,39, 758 ,1.62, 758 ,1.62,0,0,0,39,0,0
04300,ARKANSAS                 ,HOWARD                 ,18," 9,641 ",44.63," 9,641 ",44.63,0,0,0,16,0,0
04310,ARKANSAS                 ,INDEPENDENCE           ,42," 38,762 ",76.91," 38,762 ",76.91,0,0,0,42,0,0
04320,ARKANSAS                 ,IZARD                  ,4, -   ,0, -   ,0,0,0,0,4,0,0
04330,ARKANSAS                 ,JACKSON                ,27," 1,360 ",4.2," 1,360 ",4.2,0,0,0,26,0,0
04340,ARKANSAS                 ,JEFFERSON              ,166," 16,550 ",8.31," 16,550 ",8.31,0,0,0,161,0,0
04350,ARKANSAS                 ,JOHNSON                ,28, -   ,0, -   ,0,0,0,0,26,0,0
04360,ARKANSAS                 ,LAFAYETTE              ,19," 5,945 ",26.07," 5,945 ",26.07,0,0,0,16,0,0
04370,ARKANSAS                 ,LAWRENCE               ,23, 521 ,1.89, 521 ,1.89,0,0,0,23,0,0
04380,ARKANSAS                 ,LEE                    ,18," 1,012 ",4.69," 1,012 ",4.69,0,0,0,18,0,0
04390,ARKANSAS                 ,LINCOLN                ,16," 1,407 ",7.33," 1,407 ",7.33,0,0,0,16,0,0
04400,ARKANSAS                 ,LITTLE RIVER           ,17," 56,746 ",278.17," 56,746 ",278.17,0,0,0,15,0,0
04410,ARKANSAS                 ,LOGAN                  ,22, -   ,0, -   ,0,0,0,0,22,0,0
04420,ARKANSAS                 ,LONOKE                 ,75, 807 ,0.9, 807 ,0.9,0,0,0,69,0,0
04430,ARKANSAS                 ,MADISON                ,25, 559 ,1.86, 559 ,1.86,0,0,0,25,0,0
04440,ARKANSAS                 ,MARION                 ,13," 9,105 ",58.37," 9,105 ",58.37,0,0,0,13,0,0
04450,ARKANSAS                 ,MILLER                 ,76, -   ,0, -   ,0,0,0,0,73,0,0
