AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
06250,COLORADO                 ,GUNNISON,-724,"5,462","13,547","10,201","8,092"
06260,COLORADO                 ,HINSDALE,-58,430,"1,167",254,"-1,641"
06270,COLORADO                 ,HUERFANO,"-1,708","7,870","18,136","14,492","10,816"
06280,COLORADO                 ,JACKSON,"2,692","3,637","5,250","3,462","1,907"
06290,COLORADO                 ,JEFFERSON,"-65,945","246,513","596,447","441,913","363,425"
06300,COLORADO                 ,KIOWA,155,"2,180","3,982","3,541","2,247"
06310,COLORADO                 ,KIT CARSON,-482,"8,341","17,577","13,270","8,593"
06320,COLORADO                 ,LAKE,-431,"2,815","7,037","6,548","4,663"
06330,COLORADO                 ,LA PLATA,"-7,651","30,991","89,128","54,357","40,796"
06340,COLORADO                 ,LARIMER,"-56,128","213,294","503,803","373,580","306,304"
06350,COLORADO                 ,LAS ANIMAS,-766,"10,147","24,662","16,999","12,443"
06360,COLORADO                 ,LINCOLN,-532,"3,929","9,969","8,627","5,909"
06370,COLORADO                 ,LOGAN,785,"20,331","40,336","25,810","24,221"
06380,COLORADO                 ,MESA,"-12,712","80,249","181,854","133,253","109,580"
06390,COLORADO                 ,MINERAL,-91,"1,018","1,476",604,769
06400,COLORADO                 ,MOFFAT,-9,"7,158","17,559","13,900","10,863"
06410,COLORADO                 ,MONTEZUMA,"-2,902","18,562","47,520","31,339","25,452"
06420,COLORADO                 ,MONTROSE,"-4,207","30,880","76,399","54,428","49,155"
06430,COLORADO                 ,MORGAN,"-2,891","22,278","51,693","42,622","34,670"
06440,COLORADO                 ,OTERO,"-2,028","18,568","45,039","33,734","27,309"
06450,COLORADO                 ,OURAY,-382,"3,806","6,646","4,293","4,423"
06460,COLORADO                 ,PARK,"-1,865","6,994","15,017","12,959","10,715"
06470,COLORADO                 ,PHILLIPS,661,"7,262","13,307","9,175","7,404"
06480,COLORADO                 ,PITKIN,"-5,361","5,427","13,686","8,717","7,980"
06490,COLORADO                 ,PROWERS,-16,"11,053","21,661","15,135","10,476"
06500,COLORADO                 ,PUEBLO,"-22,066","123,546","294,271","232,153","186,960"
06510,COLORADO                 ,RIO BLANCO,59,"3,078","7,857","5,155","4,783"
