HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
2170,AK,MATANUSKA-SUSITNA,11260, 1.2023 , 1.1913 , 1.1931 , 1.2013 , 1.1964 , 1.2174 
2180,AK,NOME,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2185,AK,NORTH SLOPE,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2188,AK,NORTHWEST ARCTIC,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2195,AK,PETERSBURG,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2198,AK,PRINCE OF WALES-HYDER,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2220,AK,SITKA,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2230,AK,SKAGWAY,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2240,AK,SOUTHEAST FAIRBANKS,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2261,AK,VALDEZ-CORDOVA,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2270,AK,WADE HAMPTON,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2275,AK,WRANGELL,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2282,AK,YAKUTAT,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
2290,AK,YUKON-KOYUKUK,NA, 1.0661 , 1.2109 , 1.1898 , 1.1669 , 1.2626 , 1.2836 
3000,AZ,APACHE,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3010,AZ,COCHISE,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3020,AZ,COCONINO,22380, 1.1601 , 1.1687 , 1.1743 , 1.2475 , 1.2443 , 1.2396 
3030,AZ,GILA,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3040,AZ,GRAHAM,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3050,AZ,GREENLEE,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3055,AZ,LA PAZ,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3060,AZ,MARICOPA,38060, 1.0287 , 1.0264 , 1.0379 , 1.0630 , 1.0642 , 1.0490 
3070,AZ,MOHAVE,29420, NA , 0.9333 , 0.9797 , 1.0567 , 1.0235 , 0.9782 
3080,AZ,NAVAJO,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3090,AZ,PIMA,46060, 0.9202 , 0.9245 , 0.9229 , 0.9505 , 0.9480 , 0.9085 
3100,AZ,PINAL,38060, 1.0287 , 1.0264 , 1.0379 , 1.0630 , 1.0642 , 1.0490 
3110,AZ,SANTA CRUZ,NA, 0.8908 , 0.8479 , 0.8453 , 0.8790 , 0.9095 , 0.9203 
3120,AZ,YAVAPAI,39140, 0.9836 , 1.0020 , 1.0221 , 1.0121 , 1.2234 , 1.2035 
3130,AZ,YUMA,49740, 0.9109 , 0.9488 , 0.9281 , 0.9143 , 0.9283 , 0.9538 
4000,AR,ARKANSAS,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4010,AR,ASHLEY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4020,AR,BAXTER,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4030,AR,BENTON,22220, 0.8865 , 0.8742 , 0.8970 , 0.8775 , 0.8616 , 0.9308 
4040,AR,BOONE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4050,AR,BRADLEY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4060,AR,CALHOUN,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4070,AR,CARROLL,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4080,AR,CHICOT,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4090,AR,CLARK,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4100,AR,CLAY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4110,AR,CLEBURNE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4120,AR,CLEVELAND,38220, 0.8383 , 0.7839 , 0.7926 , 0.7281 , 0.8012 , 0.7864 
4130,AR,COLUMBIA,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4140,AR,CONWAY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4150,AR,CRAIGHEAD,27860, 0.7662 , 0.7790 , 0.7916 , 0.7722 , 0.7757 , 0.8102 
4160,AR,CRAWFORD,22900, 0.7731 , 0.7933 , 0.7697 , 0.7861 , 0.7599 , 0.7865 
4170,AR,CRITTENDEN,32820, 0.9373 , 0.9250 , 0.9232 , 0.9268 , 0.9268 , 0.9048 
4180,AR,CROSS,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4190,AR,DALLAS,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4200,AR,DESHA,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4210,AR,DREW,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4220,AR,FAULKNER,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4230,AR,FRANKLIN,22900, 0.7731 , 0.7933 , 0.7697 , 0.7861 , 0.7599 , 0.7865 
4240,AR,FULTON,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4250,AR,GARLAND,26300, 0.8782 , 0.9109 , 0.9113 , 0.9004 , 0.9151 , 0.8964 
4260,AR,GRANT,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4270,AR,GREENE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4280,AR,HEMPSTEAD,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4290,AR,HOT SPRING,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4300,AR,HOWARD,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4310,AR,INDEPENDENCE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4320,AR,IZARD,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4330,AR,JACKSON,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4340,AR,JEFFERSON,38220, 0.8383 , 0.7839 , 0.7926 , 0.7281 , 0.8012 , 0.7864 
4350,AR,JOHNSON,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4360,AR,LAFAYETTE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4370,AR,LAWRENCE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4380,AR,LEE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4390,AR,LINCOLN,38220, 0.8383 , 0.7839 , 0.7926 , 0.7281 , 0.8012 , 0.7864 
4400,AR,LITTLE RIVER,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4410,AR,LOGAN,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4420,AR,LONOKE,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4430,AR,MADISON,22220, 0.8865 , 0.8742 , 0.8970 , 0.8775 , 0.8616 , 0.9308 
4440,AR,MARION,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4450,AR,MILLER,45500, 0.8104 , 0.7770 , 0.8144 , 0.8113 , 0.7748 , 0.7985 
4460,AR,MISSISSIPPI,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4470,AR,MONROE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4480,AR,MONTGOMERY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4490,AR,NEVADA,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4500,AR,NEWTON,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4510,AR,OUACHITA,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4520,AR,PERRY,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4530,AR,PHILLIPS,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4540,AR,PIKE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4550,AR,POINSETT,27860, 0.7662 , 0.7790 , 0.7916 , 0.7722 , 0.7757 , 0.8102 
4560,AR,POLK,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4570,AR,POPE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4580,AR,PRAIRIE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4590,AR,PULASKI,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4600,AR,RANDOLPH,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4610,AR,ST. FRANCIS,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
