Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,
County code,State,County name,Locality 2013,Carrier 2013, GPCI WK 2007 , GPCI WK 2008 , GPCI WK 2009 , GPCI WK 2010 , GPCI WK 2011 , GPCI WK 2013 , GPCI PE 2007 , GPCI PE 2008 , GPCI PE 2009 , GPCI PE 2010 , GPCI PE 2011 , GPCI PE 2013 ,GPCI MP 2007,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2013
1610,AL,TALLAPOOSA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1620,AL,TUSCALOOSA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1630,AL,WALKER,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1640,AL,WASHINGTON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1650,AL,WILCOX,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1660,AL,WINSTON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
2013,AK,ALEUTIANS EAST,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2016,AK,ALEUTIANS WEST,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2020,AK,ANCHORAGE,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2050,AK,BETHEL,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2060,AK,BRISTOL BAY,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2068,AK,DENALI,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2070,AK,DILLINGHAM,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2090,AK,FAIRBANKS NORTH STAR,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2100,AK,HAINES,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2105,AK,HOONAH-ANGOON,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2110,AK,JUNEAU,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2122,AK,KENAI PENINSULA,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2130,AK,KETCHIKAN GATEWAY,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2150,AK,KODIAK ISLAND,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2164,AK,LAKE AND PENINSULA,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2170,AK,MATANUSKA-SUSITNA,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2180,AK,NOME,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2185,AK,NORTH SLOPE,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2188,AK,NORTHWEST ARCTIC,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
2195,AK,PETERSBURG,01,02102, 1.0170 , 1.0180 , 1.5000 , 1.5000 , 1.5000 , 1.5000 , 1.1050 , 1.0970 , 1.0900 , 1.0900 , 1.0920 , 1.0670 , 1.0130 , 0.8280 , 0.6460 , 0.6460 , 0.6480 , 0.6610 
