DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX (Adjustment to Part A Reimbursement),,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
06080,COLORADO                 ,CHEYENNE,-189,-696,-122,"-1,698",-90,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-2,942","-2,125",-381,"-2,892","-4,795",,,,,
06100,COLORADO                 ,CONEJOS,814,"3,206","1,045",-918,421,,,,,
06110,COLORADO                 ,COSTILLA,-318,-230,"-4,571","-2,375",420,,,,,
06120,COLORADO                 ,CROWLEY,"6,307","8,957","3,792","3,042","1,020",,,,,
06130,COLORADO                 ,CUSTER,"2,365",494,210,634,"1,414",,,,,
06140,COLORADO                 ,DELTA,"23,705","14,044","11,165","3,162",112,,,,,
06150,COLORADO                 ,DENVER,"-579,722","-322,147","-480,649","-453,677","-443,210",,,,,
06160,COLORADO                 ,DOLORES,"-1,638","-1,446","1,135",317,456,,,,,
06170,COLORADO                 ,DOUGLAS,"-33,555","-22,379","-29,605","-42,005","-44,425",,,,,
