ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
10350,FLORIDA,LEE,"21,689","594,755","1,330,322",,
10360,FLORIDA,LEON,"1,015","147,314","329,221",,
10370,FLORIDA,LEVY,0,"7,825","13,549",,
10380,FLORIDA,LIBERTY,0,"1,363","1,720",,
10390,FLORIDA,MADISON,400,"15,165","30,092",,
10400,FLORIDA,MANATEE,"3,961","511,237","2,104,496",,
10410,FLORIDA,MARION,"2,746","406,016","973,191",,
10420,FLORIDA,MARTIN,"9,067","1,535,260","1,131,230",,
10430,FLORIDA,MONROE,"3,443","32,147","79,259",,
10440,FLORIDA,NASSAU,723,"5,893","12,591",,
10450,FLORIDA,OKALOOSA,275,"22,186","24,885",,
10460,FLORIDA,OKEECHOBEE,839,"746,652","578,864",,
10470,FLORIDA,ORANGE,"7,868","1,678,714","2,979,370",,
10480,FLORIDA,OSCEOLA,"3,043","330,992","582,596",,
10490,FLORIDA,PALM BEACH,"49,987","20,084,210","15,311,110",,
10500,FLORIDA,PASCO,"4,275","3,077,086","3,616,234",,
10510,FLORIDA,PINELLAS,"12,709","744,033","3,370,717",,
10520,FLORIDA,POLK,"2,851","160,081","367,721",,
10530,FLORIDA,PUTNAM,345,"6,877","163,770",,
10540,FLORIDA,ST. JOHNS,"2,375","23,577","101,405",,
10550,FLORIDA,ST. LUCIE,"4,637","322,636","408,152",,
10560,FLORIDA,SANTA ROSA,0,"5,778","5,166",,
10570,FLORIDA,SARASOTA,"19,934","581,256","1,433,510",,
10580,FLORIDA,SEMINOLE,"1,430","694,521","1,804,103",,
10590,FLORIDA,SUMTER,690,"1,781,024","2,822,279",,
10600,FLORIDA,SUWANNEE,312,"6,588","7,900",,
10610,FLORIDA,TAYLOR,0,"1,321","2,961",,
10620,FLORIDA,UNION,0,44,682,,
10630,FLORIDA,VOLUSIA,"4,567","448,831","439,336",,
10640,FLORIDA,WAKULLA,0,"7,462","18,024",,
10650,FLORIDA,WALTON,795,"3,890","4,922",,
10660,FLORIDA,WASHINGTON,0,"4,313","6,998",,
11000,GEORGIA,APPLING,0,0,426,,
11010,GEORGIA,ATKINSON,0,508,101,,
11011,GEORGIA,BACON,0,0,0,,
