Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
02270,ALASKA,Wade Hampton,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02282,ALASKA,Yakutat,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
02290,ALASKA,Yukon-Koyukuk,02102,01,1.500,1.500,1.500,1.500,1.500,1.500,1.500,1.090,1.092,1.067,1.067,1.087,1.107,1.107,0.646,0.648,0.661,0.661,0.687,0.712,0.712
03000,ARIZONA,Apache,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03010,ARIZONA,Cochise,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03020,ARIZONA,Coconino,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03030,ARIZONA,Gila,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03040,ARIZONA,Graham,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03050,ARIZONA,Greenlee,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03055,ARIZONA,La Paz,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
