DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
05510,CALIFORNIA,SAN MATEO,"-465,227","-301,343","-427,736","-310,099","-73,376","-263,242"
05520,CALIFORNIA,SANTA BARBARA,"-862,198","-712,703","-915,026","-879,704","-222,711","-756,838"
05530,CALIFORNIA,SANTA CLARA,"-3,709,713","-3,786,482","-3,795,598","-3,400,569","-688,042","-2,259,688"
05540,CALIFORNIA,SANTA CRUZ,"-939,023","-1,038,281","-1,187,404","-913,528","-93,064","-326,851"
05550,CALIFORNIA,SHASTA,"-913,852","-1,372,054","-1,463,423","-1,337,954","-129,078","-373,763"
05560,CALIFORNIA,SIERRA,"-5,413","-7,886","1,659","-4,136","-1,545","-3,710"
05570,CALIFORNIA,SISKIYOU,"-75,310","-179,294","-127,641","-147,699","-19,405","-56,321"
05580,CALIFORNIA,SOLANO,"-1,305,061","-1,296,377","-1,283,173","-908,276","-131,507","-510,395"
05590,CALIFORNIA,SONOMA,"-1,216,742","-1,188,999","-970,415","-649,708","-88,056","-389,019"
05600,CALIFORNIA,STANISLAUS,"-1,407,086","-1,230,832","-1,746,576","-1,372,533","-398,351","-1,485,136"
05610,CALIFORNIA,SUTTER,"-608,930","-612,924","-600,384","-159,695","-27,911","-99,677"
05620,CALIFORNIA,TEHAMA,"-220,292","-196,757","-276,333","-200,328","-15,711","-66,234"
05630,CALIFORNIA,TRINITY,"-138,392","-228,939","-267,807","-192,072","-17,035","-70,715"
