DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
04280,ARKANSAS,HEMPSTEAD,-703,-16,178,"-1,455","-1,113","-1,248",-37,130,-798,"-1,760"
04290,ARKANSAS,HOT SPRING,"-1,079",-45,343,"-1,308","-1,427",-850,-23,278,"-1,487","-1,277"
04300,ARKANSAS,HOWARD,-593,-13,181,-558,-841,"-1,026",-32,314,"-1,469","-1,166"
04310,ARKANSAS,INDEPENDENCE,"-1,596",-54,336,"-2,047","-2,012","-2,474",-61,650,"-3,256","-4,514"
04320,ARKANSAS,IZARD,-682,-18,233,-821,"-1,271","-1,123",-42,407,"-2,267","-1,247"
04330,ARKANSAS,JACKSON,"-1,295",-36,223,-821,"-1,212",-976,-16,269,"-1,516","-1,176"
04340,ARKANSAS,JEFFERSON,"6,330","-3,845","1,010","-2,237","-6,315","12,230","-5,999","1,112","-3,526","-9,451"
04350,ARKANSAS,JOHNSON,-543,-14,161,-783,-477,-753,-11,185,-437,"-1,127"
04360,ARKANSAS,LAFAYETTE,-328,-7,109,-565,-564,-456,-7,85,-474,-518
04370,ARKANSAS,LAWRENCE,-902,-21,151,"-1,007","-1,507","-1,933",-55,577,"-2,988","-2,667"
04380,ARKANSAS,LEE,-320,-11,91,-172,-95,-873,-19,117,-715,-427
04390,ARKANSAS,LINCOLN,671,-799,43,-291,-639,"1,591","-1,157",248,"-1,074","-3,017"
04400,ARKANSAS,LITTLE RIVER,985,"3,058","2,588",977,890,"2,037","3,392","5,746","2,028","1,807"
04410,ARKANSAS,LOGAN,-603,-9,122,-644,"-1,048","-1,120",-22,205,"-1,580",-981
04420,ARKANSAS,LONOKE,"-2,329","-2,346","-2,548","-4,469","-4,911","-3,998","-2,837","-2,883","-3,762","-3,484"
04430,ARKANSAS,MADISON,-803,-523,"-4,246","-3,467","-2,846","-2,856",-947,"-5,633","-6,069","-3,280"
04440,ARKANSAS,MARION,-793,-15,94,-584,-381,"-1,063",-20,180,"-1,492","-1,284"
04450,ARKANSAS,MILLER,"-6,186","-3,086","-4,470","-6,042",466,"-13,417","-3,783","-5,975","-7,807",675
04460,ARKANSAS,MISSISSIPPI,"-1,364",-39,264,"-1,550","-2,108","-2,414",-63,713,"-3,338","-2,941"
04470,ARKANSAS,MONROE,-342,-10,75,-601,-512,-848,-29,240,"-1,260","-1,200"
04480,ARKANSAS,MONTGOMERY,-151,-4,42,-204,-440,-588,-7,82,-277,-489
04490,ARKANSAS,NEVADA,-641,-10,68,-247,-383,-931,-12,151,-469,-340
04500,ARKANSAS,NEWTON,-206,-3,44,-136,-227,-361,-7,38,-122,-396
04510,ARKANSAS,OUACHITA,"-1,018",-26,285,"-1,253","-1,104","-1,085",-36,274,"-1,143","-1,445"
04520,ARKANSAS,PERRY,-605,-503,-570,-688,-509,-581,-434,-546,-378,-721
04530,ARKANSAS,PHILLIPS,"-1,338",-22,180,-795,-892,-994,-44,405,"-1,449","-2,015"
04540,ARKANSAS,PIKE,-339,-6,90,-892,-522,-883,-7,82,-274,-288
04550,ARKANSAS,POINSETT,"1,007",541,797,"-1,683","-1,668","1,381",989,950,"-2,742","-2,065"
04560,ARKANSAS,POLK,-670,-21,141,"-1,080",-615,"-1,540",-40,491,"-2,059","-1,558"
04570,ARKANSAS,POPE,"-1,359",-38,394,"-1,682","-2,696","-1,421",-46,354,"-2,431","-2,759"
04580,ARKANSAS,PRAIRIE,-520,-14,26,-333,-473,-142,-10,111,-655,-935
04590,ARKANSAS,PULASKI,"-19,461","-18,584","-17,102","-22,769","-27,013","-18,695","-14,833","-15,141","-19,641","-27,268"
04600,ARKANSAS,RANDOLPH,-701,-15,105,-716,-960,"-1,167",-29,287,"-1,504","-2,003"
04610,ARKANSAS,ST. FRANCIS,-632,-24,162,-745,"-1,232","-2,155",-54,485,"-2,038","-1,842"
04620,ARKANSAS,SALINE,"-3,719","-2,888","-2,092","-3,939","-4,013","-4,687","-3,909","-2,570","-3,703","-3,698"
04630,ARKANSAS,SCOTT,-566,-12,90,-317,-670,-502,-22,152,"-1,023","-1,110"
04640,ARKANSAS,SEARCY,-415,-9,73,-227,-618,-441,-14,119,-641,-729
04650,ARKANSAS,SEBASTIAN,"-19,082","-6,423","-7,132","-15,462","-7,162","-39,537","-12,959","-14,622","-34,079","-14,700"
04660,ARKANSAS,SEVIER,-704,-17,192,"-1,148","-1,625","-2,058",-51,393,"-3,124","-3,789"
04670,ARKANSAS,SHARP,"-1,450",-29,380,"-1,693","-1,295","-2,380",-90,701,"-4,062","-2,724"
04680,ARKANSAS,STONE,-363,-11,162,-861,"-1,598","-1,283",-42,323,"-1,660","-2,753"
04690,ARKANSAS,UNION,"-1,687",-35,432,"-2,349","-1,772","-1,722",-67,451,"-3,008","-4,585"
04700,ARKANSAS,VAN BUREN,-695,-14,106,-541,-806,-889,-22,184,"-1,284","-1,541"
04710,ARKANSAS,WASHINGTON,"-10,652","-4,552","-26,316","-30,640","-18,470","-14,848","-7,013","-43,626","-38,965","-29,911"
04720,ARKANSAS,WHITE,"-3,684",-86,807,"-3,400","-5,340","-3,415",-88,766,"-4,133","-4,492"
04730,ARKANSAS,WOODRUFF,-605,-20,239,-249,-851,"-1,265",-20,149,"-1,579","-2,912"
04740,ARKANSAS,YELL,-563,-20,155,-718,"-1,149",-747,-25,174,"-1,289","-1,741"
05000,CALIFORNIA,ALAMEDA,"158,664","146,250","202,340","127,328","71,002","137,856","148,147","225,120","176,729","105,279"
05010,CALIFORNIA,ALPINE,0,384,0,0,166,0,751,494,0,108
05020,CALIFORNIA,AMADOR,"3,515","8,855","8,231","5,627","4,112","3,184","4,919","4,788","2,390","2,673"
05030,CALIFORNIA,BUTTE,"21,233","3,736","26,957","17,649","-1,662","14,802","2,836","19,699","15,497","-1,196"
05040,CALIFORNIA,CALAVERAS,"11,181","6,272","9,495","4,773","4,608","10,793","13,892","8,577","5,010","4,516"
05050,CALIFORNIA,COLUSA,"5,022","3,610","2,911","2,465","1,703","4,544","2,243","1,215","1,226","1,148"
05060,CALIFORNIA,CONTRA COSTA,"76,817","88,927","122,605","81,772","51,541","60,063","65,629","87,609","68,178","51,164"
05070,CALIFORNIA,DEL NORTE,"4,256","3,777",227,"2,714","1,533","3,436","3,148","1,001","2,297","1,090"
05080,CALIFORNIA,EL DORADO,"31,453","33,849","41,924","30,586","19,171","22,275","25,636","45,977","32,605","18,456"
05090,CALIFORNIA,FRESNO,"-23,259","-33,685","-26,016","-62,323","-88,786","-28,366","-39,468","-32,404","-83,177","-126,603"
05100,CALIFORNIA,GLENN,"7,834","6,936","6,633","5,295","3,887","5,413","5,086","4,946","2,426","3,595"
05110,CALIFORNIA,HUMBOLDT,"36,108","28,844","22,045","17,935","12,565","34,561","40,288","35,579","24,865","15,810"
05120,CALIFORNIA,IMPERIAL,"-8,817","-17,454","-31,393","-6,365","-15,823","-15,139","-45,897","-62,376","-12,672","-34,085"
05130,CALIFORNIA,INYO,"2,239","1,474","2,165","1,010",600,"2,263","1,753","3,057","1,735",392
05140,CALIFORNIA,KERN,"95,901","48,955","36,773","111,091","52,559","121,672","55,351","50,946","176,647","104,036"
05150,CALIFORNIA,KINGS,"2,349",-556,"8,956","2,524",-14,"1,984",-292,"4,542","1,873",-13
05160,CALIFORNIA,LAKE,"28,224","32,710","27,451","15,341","15,520","19,496","15,228","14,479","8,437","6,698"
05170,CALIFORNIA,LASSEN,"3,993","1,727","3,457","2,994","2,226","5,745","1,805","1,304",993,"2,497"
05200,CALIFORNIA,LOS ANGELES,"618,611","553,058","415,668","497,172","358,381","1,546,890","1,405,854","1,117,086","1,471,788","1,197,724"
05300,CALIFORNIA,MADERA,"-6,225","-6,078","-10,579","-10,583","-12,030","-6,498","-7,350","-9,573","-6,410","-10,307"
05310,CALIFORNIA,MARIN,"25,055","24,876","24,642","7,795","21,369","15,341","23,497","18,698","8,640","21,977"
05320,CALIFORNIA,MARIPOSA,"3,561","1,516","2,660","1,477","2,162",578,"1,205","2,754","1,211","1,501"
05330,CALIFORNIA,MENDOCINO,"15,138","17,160","13,679","10,325","12,239","12,374","11,315","7,198","7,361","7,236"
05340,CALIFORNIA,MERCED,"26,985","23,732","31,917","12,791","24,356","22,020","18,778","20,202","12,285","18,163"
05350,CALIFORNIA,MODOC,0,0,430,0,12,183,0,0,0,0
05360,CALIFORNIA,MONO,"1,862",889,"1,105",376,551,43,20,38,282,496
05370,CALIFORNIA,MONTEREY,"50,607","26,307","30,416","18,743","35,720","37,550","18,898","26,851","18,150","31,892"
05380,CALIFORNIA,NAPA,"9,361","8,761","10,511","-2,968","4,002","3,790","10,030","5,785","-1,389","3,300"
