AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
04230,ARKANSAS,FRANKLIN,"-21,902","-13,195","-12,108","-19,208","-12,314","-34,348","-13,292","-15,037","-29,156","-16,389"
04240,ARKANSAS,FULTON,"-5,047",-129,"1,124","-5,593","-6,035","-16,879",-426,"3,764","-21,246","-21,044"
04250,ARKANSAS,GARLAND,"-170,383","-191,303","-188,909","-149,793","-22,509","-200,840","-225,487","-183,499","-168,718","-25,001"
04260,ARKANSAS,GRANT,"-7,168","-4,932","-4,913","-5,931","-9,770","-7,051","-5,024","-5,976","-6,311","-9,059"
04270,ARKANSAS,GREENE,"-9,478",-228,"1,780","-9,566","-11,369","-9,330",-228,"1,841","-9,035","-12,074"
04280,ARKANSAS,HEMPSTEAD,"-7,540",-159,"1,340","-6,676","-8,679","-12,218",-293,"1,942","-10,586","-12,691"
04290,ARKANSAS,HOT SPRING,"-12,084",-264,"1,970","-11,153","-9,970","-14,117",-306,"2,082","-10,891","-13,362"
04300,ARKANSAS,HOWARD,"-6,279",-122,"1,011","-6,070","-6,139","-8,894",-219,"1,731","-11,865","-12,398"
04310,ARKANSAS,INDEPENDENCE,"-12,588",-383,"2,990","-14,741","-17,915","-19,194",-485,"5,206","-31,507","-31,834"
04320,ARKANSAS,IZARD,"-6,562",-149,"1,081","-6,455","-5,757","-11,781",-333,"3,087","-16,660","-16,976"
04330,ARKANSAS,JACKSON,"-8,228",-167,"1,085","-5,877","-9,017","-10,155",-254,"1,981","-12,452","-12,280"
04340,ARKANSAS,JEFFERSON,"52,293","-26,680","4,940","-10,335","-28,950","75,614","-41,695","8,302","-14,488","-53,270"
04350,ARKANSAS,JOHNSON,"-3,274",-103,700,"-3,792","-3,957","-3,749",-116,962,"-3,696","-4,682"
04360,ARKANSAS,LAFAYETTE,"-2,863",-61,388,"-2,497","-4,062","-2,322",-96,733,"-4,733","-4,849"
04370,ARKANSAS,LAWRENCE,"-4,822",-140,"1,169","-6,212","-6,094","-9,323",-213,"1,982","-10,346","-13,403"
04380,ARKANSAS,LEE,"-2,470",-45,398,"-2,261","-2,353","-5,123",-108,976,"-4,367","-4,853"
04390,ARKANSAS,LINCOLN,"7,564","-4,159",642,"-1,598","-5,663","17,368","-9,960","2,175","-4,150","-13,939"
04400,ARKANSAS,LITTLE RIVER,"8,605","10,580","11,135","5,207","5,810","18,379","26,972","33,946","11,602","10,619"
04410,ARKANSAS,LOGAN,"-4,482",-112,985,"-6,341","-6,024","-9,196",-170,"1,373","-8,775","-9,709"
04420,ARKANSAS,LONOKE,"-19,896","-16,492","-16,129","-21,740","-27,373","-14,686","-11,970","-12,164","-14,034","-21,495"
04430,ARKANSAS,MADISON,"-9,043","-3,395","-23,172","-29,932","-16,131","-21,345","-7,417","-40,945","-46,302","-30,088"
04440,ARKANSAS,MARION,"-3,938",-108,849,"-5,429","-5,312","-9,581",-228,"2,063","-9,322","-10,338"
04450,ARKANSAS,MILLER,"-57,567","-21,790","-40,585","-50,766","3,264","-87,580","-31,702","-50,703","-65,563","3,991"
04460,ARKANSAS,MISSISSIPPI,"-7,270",-158,"1,294","-7,493","-9,122","-10,460",-258,"2,294","-12,958","-13,633"
