"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
04460,ARKANSAS,MISSISSIPPI,"4,691","890,524",15.82,"890,524",15.82,0,0,0,"4,426",0,0
04470,ARKANSAS,MONROE,"1,251","524,151",34.92,"524,150",34.92,0,0,0,"1,187",0,0
04480,ARKANSAS,MONTGOMERY,"1,523","557,203",30.49,"557,203",30.49,0,0,0,"1,428",0,0
04490,ARKANSAS,NEVADA,"1,231","521,523",35.30,"521,523",35.30,0,0,0,"1,164",0,0
04500,ARKANSAS,NEWTON,"1,218","246,837",16.89,"246,837",16.89,0,0,0,"1,129",0,0
04510,ARKANSAS,OUACHITA,"3,483","1,169,588",27.98,"1,169,588",27.98,0,0,0,"3,248",0,0
04520,ARKANSAS,PERRY,"1,614","454,997",23.49,"454,997",23.49,0,0,0,"1,490",0,0
04530,ARKANSAS,PHILLIPS,"2,474","1,226,745",41.32,"1,226,745",41.32,0,0,0,"2,315",0,0
04540,ARKANSAS,PIKE,"1,661","714,619",35.85,"714,618",35.85,0,0,0,"1,566",0,0
04550,ARKANSAS,POINSETT,"3,392","849,808",20.88,"849,808",20.88,0,0,0,"3,239",0,0
04560,ARKANSAS,POLK,"3,722","1,876,584",42.02,"1,876,585",42.02,0,0,0,"3,472",0,0
04570,ARKANSAS,POPE,"7,203","2,556,357",29.58,"2,556,356",29.58,0,0,0,"6,771",0,0
04580,ARKANSAS,PRAIRIE,"1,423","402,139",23.55,"402,139",23.55,0,0,0,"1,360",0,0
04590,ARKANSAS,PULASKI,"48,817","20,030,474",34.19,"20,030,475",34.19,0,0,0,"43,371",0,0
04600,ARKANSAS,RANDOLPH,"2,401","423,968",14.71,"423,968",14.71,0,0,0,"2,271",0,0
04610,ARKANSAS,ST. FRANCIS,"3,103","1,272,611",34.18,"1,272,611",34.18,0,0,0,"2,911",0,0
04620,ARKANSAS,SALINE,"7,056","2,963,810",35.00,"2,963,810",35.00,0,0,0,"6,612",0,0
04630,ARKANSAS,SCOTT,"1,457","352,963",20.19,"352,963",20.19,0,0,0,"1,350",0,0
04640,ARKANSAS,SEARCY,"1,492","545,040",30.44,"545,040",30.44,0,0,0,"1,394",0,0
04650,ARKANSAS,SEBASTIAN,"12,706","5,530,451",36.27,"5,530,451",36.27,0,0,0,"11,565",0,0
04660,ARKANSAS,SEVIER,"1,946","1,012,825",43.37,"1,012,825",43.37,0,0,0,"1,817",0,0
04670,ARKANSAS,SHARP,"3,515","818,369",19.40,"818,369",19.40,0,0,0,"3,354",0,0
04680,ARKANSAS,STONE,"2,463","492,486",16.66,"492,487",16.66,0,0,0,"2,323",0,0
04690,ARKANSAS,UNION,"6,211","2,012,404",27.00,"2,012,404",27.00,0,0,0,"5,856",0,0
04700,ARKANSAS,VAN BUREN,"3,049","1,127,570",30.82,"1,127,570",30.82,0,0,0,"2,864",0,0
04710,ARKANSAS,WASHINGTON,"19,032","6,553,644",28.70,"6,553,644",28.70,0,0,0,"16,771",0,0
04720,ARKANSAS,WHITE,"10,833","2,767,416",21.29,"2,767,416",21.29,0,0,0,"10,116",0,0
04730,ARKANSAS,WOODRUFF,"1,229","201,143",13.64,"201,143",13.64,0,0,0,"1,159",0,0
04740,ARKANSAS,YELL,"2,882","716,310",20.71,"716,310",20.71,0,0,0,"2,698",0,0
05000,CALIFORNIA,ALAMEDA,"93,472","54,564,188",48.65,"54,564,188",48.65,0,0,0,"82,398",0,0
05010,CALIFORNIA,ALPINE,160,"82,724",43.09,"82,724",43.09,0,0,0,150,0,0
05020,CALIFORNIA,AMADOR,"6,801","1,921,109",23.54,"1,921,109",23.54,0,0,0,"6,358",0,0
05030,CALIFORNIA,BUTTE,"36,031","7,023,265",16.24,"7,023,265",16.24,0,0,0,"34,531",0,0
05040,CALIFORNIA,CALAVERAS,"8,630","1,855,744",17.92,"1,855,745",17.92,0,0,0,"8,059",0,0
05050,CALIFORNIA,COLUSA,"2,590","380,056",12.23,"380,056",12.23,0,0,0,"2,433",0,0
05060,CALIFORNIA,CONTRA COSTA,"75,737","59,447,561",65.41,"59,447,561",65.41,0,0,0,"64,796",0,0
05070,CALIFORNIA,DEL NORTE,"3,890","260,823",5.59,"260,823",5.59,0,0,0,"3,714",0,0
05080,CALIFORNIA,EL DORADO,"20,653","8,697,483",35.09,"8,697,484",35.09,0,0,0,"18,485",0,0
05090,CALIFORNIA,FRESNO,"67,815","26,386,989",32.43,"26,386,989",32.43,0,0,0,"63,740",0,0
05100,CALIFORNIA,GLENN,"3,952","469,841",9.91,"469,841",9.91,0,0,0,"3,804",0,0
05110,CALIFORNIA,HUMBOLDT,"19,033","6,311,184",27.63,"6,311,184",27.63,0,0,0,"17,981",0,0
05120,CALIFORNIA,IMPERIAL,"18,662","2,253,226",10.06,"2,253,226",10.06,0,0,0,"17,300",0,0
05130,CALIFORNIA,INYO,"2,609","78,030",2.49,"78,029",2.49,0,0,0,"2,504",0,0
05140,CALIFORNIA,KERN,"48,700","30,361,289",51.95,"30,361,289",51.95,0,0,0,"44,894",0,0
05150,CALIFORNIA,KINGS,"10,439","1,248,811",9.97,"1,248,811",9.97,0,0,0,"9,841",0,0
05160,CALIFORNIA,LAKE,"11,503","2,520,761",18.26,"2,520,761",18.26,0,0,0,"10,818",0,0
