DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04440,ARKANSAS,MARION,-909,-140,-338,-840,-564
04450,ARKANSAS,MILLER,"-9,715","-4,208","-7,133","-7,959",-89
04460,ARKANSAS,MISSISSIPPI,-696,103,291,"-4,712","-3,687"
04470,ARKANSAS,MONROE,-50,-60,-133,-150,"-1,092"
04480,ARKANSAS,MONTGOMERY,-582,0,"-1,747",-807,-483
04490,ARKANSAS,NEVADA,-334,-554,"-1,596","-1,879",-711
04500,ARKANSAS,NEWTON,-47,1,-683,-114,-251
04510,ARKANSAS,OUACHITA,"-3,012","-1,127","-1,164","-3,796","-2,054"
04520,ARKANSAS,PERRY,"-1,615",-978,"-1,332",-471,-459
04530,ARKANSAS,PHILLIPS,-311,-241,-234,-823,-680
04540,ARKANSAS,PIKE,-799,-586,-557,"-1,838",-809
04550,ARKANSAS,POINSETT,"1,451",890,756,"-2,840","-1,544"
04560,ARKANSAS,POLK,"-1,599",45,44,-402,-486
04570,ARKANSAS,POPE,"-4,186",-382,"-1,518","-5,685","-4,243"
04580,ARKANSAS,PRAIRIE,-833,-90,164,-617,-544
04590,ARKANSAS,PULASKI,"-24,935","-32,922","-36,894","-39,270","-47,362"
04600,ARKANSAS,RANDOLPH,-729,1,-73,-862,"-1,368"
04610,ARKANSAS,ST. FRANCIS,-761,"-3,212","-2,799","-1,811","-1,785"
04620,ARKANSAS,SALINE,"-3,398","-4,806","-2,874","-7,506","-4,949"
04630,ARKANSAS,SCOTT,"-1,215","-2,724",-459,"-2,133",-373
04640,ARKANSAS,SEARCY,-178,61,-211,-483,-994
04650,ARKANSAS,SEBASTIAN,"-24,231","-17,484","-22,684","-34,386","-17,362"
04660,ARKANSAS,SEVIER,-835,-573,-590,-869,-597
04670,ARKANSAS,SHARP,-916,-311,-717,"-2,370","-1,783"
04680,ARKANSAS,STONE,-441,-18,-593,-396,-790
04690,ARKANSAS,UNION,"-2,515",-276,"-1,217","-5,759","-5,372"
