"DISABLED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
04260,ARKANSAS,GRANT,549,"1,234,590",187.40,"1,160,235",176.11,"31,001","29,833","13,520",474,"2,147,419",377.53,0.957,
04270,ARKANSAS,GREENE,"1,793","5,932,913",275.74,"5,587,831",259.71,"112,748","193,875","38,457","1,656","6,806,211",342.50,0.939,
04280,ARKANSAS,HEMPSTEAD,644,"2,096,405",271.27,"2,017,755",261.10,"29,855","34,236","14,558",586,"2,062,221",293.26,0.985,
04290,ARKANSAS,HOT SPRING,"1,191","3,397,592",237.73,"3,296,471",230.65,"26,458","64,798","9,865","1,075","4,547,664",352.53,0.991,
04300,ARKANSAS,HOWARD,573,"1,426,937",207.52,"1,374,261",199.86,"18,692","24,762","9,221",536,"1,933,327",300.58,0.913,
04310,ARKANSAS,INDEPENDENCE,"1,786","5,258,260",245.35,"4,960,281",231.44,"90,708","181,473","25,796","1,650","7,097,387",358.45,1.010,
04320,ARKANSAS,IZARD,675,"1,916,530",236.61,"1,825,601",225.38,"36,775","45,094","9,059",634,"2,483,990",326.50,0.917,
04330,ARKANSAS,JACKSON,767,"2,960,105",321.61,"2,797,369",303.93,"62,976","73,280","26,478",721,"3,161,873",365.45,1.043,
04340,ARKANSAS,JEFFERSON,"3,031","8,194,502",225.30,"7,548,765",207.54,"261,621","203,282","180,832","2,671","9,785,711",305.31,0.987,
04350,ARKANSAS,JOHNSON,979,"1,985,841",169.04,"1,882,535",160.24,"40,004","51,714","11,587",879,"2,815,434",266.92,0.881,
04360,ARKANSAS,LAFAYETTE,311,"1,066,131",285.67,"1,027,551",275.34,"12,045","20,140","6,393",288,"990,375",286.57,0.992,
04370,ARKANSAS,LAWRENCE,931,"2,851,051",255.20,"2,717,530",243.24,"46,327","68,634","18,558",866,"3,478,797",334.76,0.926,
04380,ARKANSAS,LEE,311,"771,128",206.63,"710,357",190.34,"29,709","25,162","5,898",293,"945,388",268.88,0.957,
04390,ARKANSAS,LINCOLN,400,"1,115,782",232.45,"1,030,713",214.73,"33,556","27,697","23,814",352,"1,815,878",429.90,1.030,
04400,ARKANSAS,LITTLE RIVER,499,"1,961,989",327.65,"1,873,844",312.93,"31,495","41,801","14,847",462,"2,325,887",419.53,0.995,
04410,ARKANSAS,LOGAN,917,"2,712,593",246.51,"2,623,095",238.38,"35,239","45,866","8,392",826,"3,045,097",307.21,0.900,
04420,ARKANSAS,LONOKE,"2,069","5,786,320",233.06,"5,450,412",219.53,"146,951","120,792","68,164","1,820","7,389,529",338.35,0.924,
04430,ARKANSAS,MADISON,660,"1,677,865",211.85,"1,611,706",203.50,"23,906","32,014","10,236",586,"2,006,561",285.35,0.872,
04440,ARKANSAS,MARION,687,"1,359,099",164.86,"1,308,551",158.73,"21,673","20,451","8,422",605,"2,232,116",307.45,0.921,
04450,ARKANSAS,MILLER,"1,412","5,480,425",323.44,"5,183,283",305.91,"107,281","147,940","41,919","1,257","4,872,546",323.03,0.971,
04460,ARKANSAS,MISSISSIPPI,"1,936","7,284,371",313.55,"6,817,446",293.45,"164,321","233,534","69,068","1,769","6,854,509",322.90,0.978,
04470,ARKANSAS,MONROE,310,"1,217,762",327.36,"1,105,314",297.13,"61,489","31,592","19,366",286,"1,288,945",375.57,0.966,
04480,ARKANSAS,MONTGOMERY,324,"941,915",242.26,"920,782",236.83,"5,844","11,471","3,817",295,"1,100,493",310.87,0.930,
