AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"-62,976","-36,452","-34,445","-35,913","-32,157",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-115,185","-82,367","-91,111","-106,650","-77,360",,,,,
04350,ARKANSAS                 ,JOHNSON,"-19,083","-15,934","-5,947","-6,238","-15,295",,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-10,360","-8,547","-3,759","-7,978","-7,430",,,,,
04370,ARKANSAS                 ,LAWRENCE,"-28,982","-18,777","-15,279","-11,504","-1,496",,,,,
04380,ARKANSAS                 ,LEE,"-19,305","-14,876","-7,961","-9,050","-4,642",,,,,
04390,ARKANSAS                 ,LINCOLN,"-17,951","-11,128","-15,958","-19,312","-12,229",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-18,649","-16,150","-8,666","-17,294","-14,407",,,,,
04410,ARKANSAS                 ,LOGAN,"12,345","13,485","39,908","33,778","17,917",,,,,
04420,ARKANSAS                 ,LONOKE,"-105,760","-85,961","-83,828","-93,515","-71,677",,,,,
04430,ARKANSAS                 ,MADISON,"-10,461","3,149","6,175","-33,233","-35,498",,,,,
04440,ARKANSAS                 ,MARION,"-22,878","-17,635","-14,037","-24,618","-20,495",,,,,
04450,ARKANSAS                 ,MILLER,"-47,364","-42,608","-24,807","-42,402","-40,668",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-83,177","-72,235","-39,550","-25,739","-9,386",,,,,
04470,ARKANSAS                 ,MONROE,"-22,074","-16,568","-9,736","-13,569","-8,956",,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-30,111","-36,348","-37,652","-33,062","-11,722",,,,,
04490,ARKANSAS                 ,NEVADA,"-9,699","-9,972","-6,625","-9,248","-8,547",,,,,
04500,ARKANSAS                 ,NEWTON,"-13,453","2,243","-6,020","-23,088","-18,462",,,,,
04510,ARKANSAS                 ,OUACHITA,"-41,070","-38,886","-33,671","-32,238","-23,485",,,,,
04520,ARKANSAS                 ,PERRY,"-18,094","-15,546","-17,716","-16,386","-13,854",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-29,145","-30,716","-27,715","-20,361","-9,698",,,,,
04540,ARKANSAS                 ,PIKE,"-27,835","-35,170","-41,853","-36,443","-15,281",,,,,
04550,ARKANSAS                 ,POINSETT,"-15,955","-11,531","-11,694","2,074","10,147",,,,,
04560,ARKANSAS                 ,POLK,"-28,750","-28,572","-21,189","-25,071","-9,228",,,,,
04570,ARKANSAS                 ,POPE,"-106,422","-66,946","-62,159","-81,067","-68,346",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-24,406","-15,523","-15,583","-19,813","-13,081",,,,,
04590,ARKANSAS                 ,PULASKI,"-637,636","-524,962","-516,437","-546,912","-438,773",,,,,
04600,ARKANSAS                 ,RANDOLPH,"-28,354","-15,745","-7,916","-4,176",-457,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-52,582","-48,097","-21,857","-21,343","-9,419",,,,,
04620,ARKANSAS                 ,SALINE,"-143,976","-123,262","-126,281","-125,696","-93,052",,,,,
04630,ARKANSAS                 ,SCOTT,"8,130","8,385","23,457","23,440","13,920",,,,,
04640,ARKANSAS                 ,SEARCY,"-13,750","-8,088","-10,990","-20,462","-17,221",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"81,353","72,327","252,658","245,641","99,412",,,,,
04660,ARKANSAS                 ,SEVIER,"-11,909","-11,089","-7,656","-12,550","-10,191",,,,,
04670,ARKANSAS                 ,SHARP,"-63,900","-35,640","-30,819","-45,446","-29,019",,,,,
04680,ARKANSAS                 ,STONE,"-27,006","-22,768","-16,750","-20,922","-18,577",,,,,
04690,ARKANSAS                 ,UNION,"-31,070","-58,734","-91,328","-79,822","-35,370",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-26,168","-29,030","-25,333","-27,345","-18,635",,,,,
04710,ARKANSAS                 ,WASHINGTON,"-87,973","24,958","19,243","-255,235","-273,219",,,,,
04720,ARKANSAS                 ,WHITE,"-154,643","-105,031","-111,126","-151,859","-126,680",,,,,
04730,ARKANSAS                 ,WOODRUFF,"-20,222","-14,545","-12,519","-15,472","-12,541",,,,,
04740,ARKANSAS                 ,YELL,"-36,932","-27,160","-24,493","-28,471","-23,341",,,,,
05000,CALIFORNIA               ,ALAMEDA,"2,523,208","2,091,086","1,974,512","1,967,468","1,000,704",,,,,
05010,CALIFORNIA               ,ALPINE,"5,495","3,907","5,169","5,185","3,065",,,,,
05020,CALIFORNIA               ,AMADOR,"394,218","362,888","377,552","391,425","285,547",,,,,
05030,CALIFORNIA               ,BUTTE,"1,103,855","1,229,979","1,654,299","2,214,871","921,848",,,,,
05040,CALIFORNIA               ,CALAVERAS,"346,168","367,834","374,713","309,943","175,553",,,,,
05050,CALIFORNIA               ,COLUSA,"109,388","109,272","142,937","192,988","86,818",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"1,631,065","1,345,280","1,531,095","1,725,033","761,381",,,,,
05070,CALIFORNIA               ,DEL NORTE,"107,737","129,820","177,925","197,249","97,310",,,,,
05080,CALIFORNIA               ,EL DORADO,"1,279,115","1,200,894","1,298,643","1,373,940","782,407",,,,,
05090,CALIFORNIA               ,FRESNO,"1,780,751","2,031,616","2,495,447","3,387,155","1,356,960",,,,,
05100,CALIFORNIA               ,GLENN,"105,863","114,589","149,195","206,490","84,930",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"544,990","381,753","356,892","318,454","331,304",,,,,
05120,CALIFORNIA               ,IMPERIAL,"632,616","706,386","847,991","1,046,982","438,556",,,,,
05130,CALIFORNIA               ,INYO,"60,965","71,391","81,016","75,929","43,752",,,,,
05140,CALIFORNIA               ,KERN,"1,056,466","1,304,078","1,378,982","1,355,492","873,559",,,,,
05150,CALIFORNIA               ,KINGS,"400,056","447,136","462,593","668,775","257,710",,,,,
05160,CALIFORNIA               ,LAKE,"293,382","249,249","258,653","321,895","108,157",,,,,
05170,CALIFORNIA               ,LASSEN,"60,424","66,871","79,171","87,318","68,645",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"13,527,149","15,357,369","13,953,454","12,218,512","9,790,170",,,,,
05300,CALIFORNIA               ,MADERA,"354,719","379,737","455,864","524,447","215,083",,,,,
05310,CALIFORNIA               ,MARIN,"1,070,174","904,649","1,066,883","1,291,382","778,809",,,,,
05320,CALIFORNIA               ,MARIPOSA,"78,193","90,023","110,663","87,118","44,065",,,,,
05330,CALIFORNIA               ,MENDOCINO,"-98,563","-28,735","401,805","567,663","243,654",,,,,
05340,CALIFORNIA               ,MERCED,"595,297","635,774","664,000","572,777","258,037",,,,,
05350,CALIFORNIA               ,MODOC,"29,396","21,714","27,290","18,470","15,504",,,,,
05360,CALIFORNIA               ,MONO,"29,355","32,482","36,018","61,551","24,615",,,,,
05370,CALIFORNIA               ,MONTEREY,"1,167,946","527,834","203,313","189,316","-68,780",,,,,
05380,CALIFORNIA               ,NAPA,"1,082,835","800,640","437,839","392,761","82,958",,,,,
05390,CALIFORNIA               ,NEVADA,"959,209","847,625","942,898","924,678","501,740",,,,,
05400,CALIFORNIA               ,ORANGE,"4,961,155","6,022,815","5,817,368","5,659,229","3,797,561",,,,,
05410,CALIFORNIA               ,PLACER,"1,327,818","1,197,679","1,346,103","1,353,673","840,045",,,,,
05420,CALIFORNIA               ,PLUMAS,"133,370","148,018","186,790","217,719","117,972",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"2,927,895","3,695,892","3,752,554","3,994,973","2,654,803",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"3,714,866","3,271,611","3,697,225","3,843,882","2,073,403",,,,,
05450,CALIFORNIA               ,SAN BENITO,"185,718","149,112","125,044","105,979","69,110",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"2,121,298","2,333,712","2,247,211","2,265,941","1,403,149",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"5,459,611","6,221,867","6,603,445","7,388,799","3,960,332",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"3,339,976","2,808,871","3,252,229","3,122,183","1,883,074",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"2,306,266","1,990,764","2,195,814","2,120,985","1,601,086",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"640,103","678,345","573,842","533,415","534,151",,,,,
05510,CALIFORNIA               ,SAN MATEO,"2,195,358","2,016,214","1,959,341","1,873,107","1,197,731",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"936,804","1,051,287","1,271,685","1,127,359","751,012",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"3,732,487","3,558,171","2,927,969","2,443,093","1,590,606",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"723,932","652,104","517,886","241,743","6,870",,,,,
05550,CALIFORNIA               ,SHASTA,"689,432","542,131","416,724","125,665","280,425",,,,,
05560,CALIFORNIA               ,SIERRA,"18,965","19,804","22,352","23,938","19,213",,,,,
05570,CALIFORNIA               ,SISKIYOU,"76,338","116,948","135,078","114,889","42,887",,,,,
05580,CALIFORNIA               ,SOLANO,"735,788","587,808","543,430","630,199","256,527",,,,,
05590,CALIFORNIA               ,SONOMA,"1,066,586","825,679","857,751","1,082,180","340,536",,,,,
05600,CALIFORNIA               ,STANISLAUS,"948,336","892,663","1,005,541","560,416","103,945",,,,,
05610,CALIFORNIA               ,SUTTER,"178,406","219,763","490,370","659,395","304,403",,,,,
05620,CALIFORNIA               ,TEHAMA,"296,823","212,135","193,559","167,468","160,561",,,,,
05630,CALIFORNIA               ,TRINITY,"83,022","44,947","49,721","28,172","37,606",,,,,
05640,CALIFORNIA               ,TULARE,"1,124,004","1,239,026","1,633,129","2,261,472","946,056",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"478,023","486,698","504,365","277,661","17,563",,,,,
05660,CALIFORNIA               ,VENTURA,"771,310","1,669,389","1,354,636","1,586,293","252,915",,,,,
05670,CALIFORNIA               ,YOLO,"567,583","487,083","506,805","575,586","336,492",,,,,
05680,CALIFORNIA               ,YUBA,"122,255","142,846","326,921","444,461","191,101",,,,,
06000,COLORADO                 ,ADAMS,"-175,811","-199,006","-194,346","-156,892","-45,194",,,,,
06010,COLORADO                 ,ALAMOSA,"-2,680","-12,170","-18,204","-25,864","-25,738",,,,,
06020,COLORADO                 ,ARAPAHOE,"-373,715","-432,773","-413,151","-326,376","-70,665",,,,,
06030,COLORADO                 ,ARCHULETA,-183,"-8,939","-13,431","-22,979","-31,497",,,,,
06040,COLORADO                 ,BACA,"-5,624","-10,386","-15,151","-13,901","-18,892",,,,,
06050,COLORADO                 ,BENT,"-1,005","-6,026","-7,856","-12,613","-14,058",,,,,
06060,COLORADO                 ,BOULDER,"-213,069","-250,716","-251,880","-263,487","-183,335",,,,,
06070,COLORADO                 ,CHAFFEE,"-9,381","-14,699","-17,189","-6,426","-9,477",,,,,
06080,COLORADO                 ,CHEYENNE,-550,"-5,814","-6,484","-8,997","-7,783",,,,,
06090,COLORADO                 ,CLEAR CREEK,"-4,152","-4,556","-5,415","-3,434",-669,,,,,
06100,COLORADO                 ,CONEJOS,"-3,551","-9,001","-10,924","-16,068","-14,016",,,,,
06110,COLORADO                 ,COSTILLA,"-1,030","-4,038","-6,870","-9,855","-10,741",,,,,
06120,COLORADO                 ,CROWLEY,"-1,902","-4,513","-4,581","-6,521","-10,148",,,,,
06130,COLORADO                 ,CUSTER,"-2,475","-4,569","-4,610","-9,554","-12,553",,,,,
06140,COLORADO                 ,DELTA,"-11,319","-59,810","-75,574","-106,572","-92,935",,,,,
06150,COLORADO                 ,DENVER,"-346,754","-386,221","-387,011","-282,540","-62,606",,,,,
06160,COLORADO                 ,DOLORES,-311,"-1,997","-1,446","-3,257","-2,373",,,,,
06170,COLORADO                 ,DOUGLAS,"-72,541","-81,369","-88,238","-70,634","-20,364",,,,,
06180,COLORADO                 ,EAGLE,"-41,656","-37,140","-40,163","-31,681","-21,708",,,,,
06190,COLORADO                 ,ELBERT,"-13,848","-12,982","-14,328","-12,109","-9,687",,,,,
06200,COLORADO                 ,EL PASO,"-400,898","-413,596","-425,606","-333,016","-558,917",,,,,
