AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"1,884,584","1,277,358","1,104,036","1,079,573","300,579",,,,,
05100,CALIFORNIA               ,GLENN,"127,155","91,102","72,481","90,708","55,896",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"609,219","697,371","717,368","541,575","284,649",,,,,
05120,CALIFORNIA               ,IMPERIAL,"305,767","266,992","61,917","54,071","282,245",,,,,
05130,CALIFORNIA               ,INYO,"91,886","112,846","135,667","108,129","36,358",,,,,
05140,CALIFORNIA               ,KERN,"1,177,567","1,053,972","467,050","344,983","399,806",,,,,
05150,CALIFORNIA               ,KINGS,"130,558","74,428","42,902","133,887","43,499",,,,,
05160,CALIFORNIA               ,LAKE,"337,330","424,186","425,589","349,707","227,335",,,,,
05170,CALIFORNIA               ,LASSEN,"122,120","161,198","134,486","86,334","49,932",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"8,331,408","12,898,464","10,555,852","5,292,774","3,848,200",,,,,
05300,CALIFORNIA               ,MADERA,"132,049","112,867","36,311","-21,825","-54,989",,,,,
05310,CALIFORNIA               ,MARIN,"1,840,347","1,769,718","1,933,258","1,549,038","834,103",,,,,
05320,CALIFORNIA               ,MARIPOSA,"46,857","47,122","34,639","19,274","-3,410",,,,,
05330,CALIFORNIA               ,MENDOCINO,"412,314","457,074","400,479","378,572","225,771",,,,,
05340,CALIFORNIA               ,MERCED,"612,420","581,375","458,423","216,627","-79,392",,,,,
05350,CALIFORNIA               ,MODOC,"11,969","15,356","23,957","-10,037","7,114",,,,,
05360,CALIFORNIA               ,MONO,"21,646","16,009","28,938","31,358","22,357",,,,,
05370,CALIFORNIA               ,MONTEREY,"1,135,975","758,691","197,884","64,914","-413,115",,,,,
05380,CALIFORNIA               ,NAPA,"970,279","904,644","926,874","692,739","58,153",,,,,
05390,CALIFORNIA               ,NEVADA,"695,133","767,369","730,011","640,924","348,101",,,,,
05400,CALIFORNIA               ,ORANGE,"448,175","166,930","-1,037,384","-92,545","-70,975",,,,,
05410,CALIFORNIA               ,PLACER,"1,670,524","1,535,289","1,751,609","1,660,563","886,033",,,,,
05420,CALIFORNIA               ,PLUMAS,"76,001","101,514","93,585","56,763","38,134",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"843,817","1,222,842","211,686","734,145","767,817",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"6,501,664","5,967,340","6,925,919","5,856,417","2,737,559",,,,,
05450,CALIFORNIA               ,SAN BENITO,"297,345","242,809","217,819","162,892","53,150",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"544,322","794,389","211,744","438,628","465,361",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"7,099,595","5,639,442","4,459,666","4,437,521","3,604,313",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"4,011,169","3,356,921","3,888,313","2,800,754","1,633,753",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"5,156,146","4,839,887","4,361,754","2,710,589","1,252,108",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"946,066","707,194","357,902","161,074","79,347",,,,,
05510,CALIFORNIA               ,SAN MATEO,"2,083,791","1,942,489","1,938,453","1,569,325","844,362",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"1,323,133","1,118,009","1,342,859","693,958","240,927",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"6,978,609","6,481,362","5,943,709","4,120,503","1,692,049",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"1,183,205","1,113,914","1,088,685","572,668","-71,520",,,,,
05550,CALIFORNIA               ,SHASTA,"1,205,590","1,004,252","563,892","-561,085","290,895",,,,,
05560,CALIFORNIA               ,SIERRA,"9,154","12,952","13,202","9,659","6,091",,,,,
05570,CALIFORNIA               ,SISKIYOU,"108,375","154,912","89,951","49,486","55,703",,,,,
05580,CALIFORNIA               ,SOLANO,"2,158,833","1,818,956","2,029,513","1,808,626","726,347",,,,,
05590,CALIFORNIA               ,SONOMA,"2,108,791","1,685,295","1,370,591","1,116,098","463,562",,,,,
05600,CALIFORNIA               ,STANISLAUS,"1,436,768","1,307,818","1,449,866","711,545","337,919",,,,,
05610,CALIFORNIA               ,SUTTER,"268,042","297,599","303,268","101,172","-12,581",,,,,
05620,CALIFORNIA               ,TEHAMA,"315,770","260,971","214,262","135,967","108,365",,,,,
05630,CALIFORNIA               ,TRINITY,"121,685","90,475","54,506","-38,363","37,067",,,,,
05640,CALIFORNIA               ,TULARE,"-475,925","-855,204","-1,339,598","-782,296","-657,006",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"217,282","236,988","258,243","232,700","117,035",,,,,
05660,CALIFORNIA               ,VENTURA,"1,729,536","1,327,891","1,060,044","-82,817","-437,516",,,,,
05670,CALIFORNIA               ,YOLO,"666,518","707,600","685,579","671,640","328,203",,,,,
05680,CALIFORNIA               ,YUBA,"216,340","177,392","227,360","70,608","22,060",,,,,
06000,COLORADO                 ,ADAMS,"-341,832","-266,979","-249,763","-146,872","-28,727",,,,,
06010,COLORADO                 ,ALAMOSA,"-1,427","-21,451","-31,228","-41,280","-41,631",,,,,
06020,COLORADO                 ,ARAPAHOE,"-568,976","-534,453","-553,857","-328,920","-56,703",,,,,
06030,COLORADO                 ,ARCHULETA,"2,510","-8,087","-11,699","-13,277","-16,283",,,,,
06040,COLORADO                 ,BACA,-442,"-1,194","-3,013","-3,028",-478,,,,,
06050,COLORADO                 ,BENT,"-1,565","-11,994","-9,892","-19,464","-9,700",,,,,
