DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-8,854","-11,861","-1,691","-7,838","-16,256",,,,,
04660,ARKANSAS                 ,SEVIER,-279,60,-33,-574,-351,,,,,
04670,ARKANSAS                 ,SHARP,-878,55,"1,688",128,-676,,,,,
04680,ARKANSAS                 ,STONE,-537,2,207,300,-248,,,,,
04690,ARKANSAS                 ,UNION,"-4,204",-806,"2,864",799,"-1,621",,,,,
04700,ARKANSAS                 ,VAN BUREN,-867,-661,-305,214,-81,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-19,420","-11,079","-21,181","-59,170","-38,033",,,,,
04720,ARKANSAS                 ,WHITE,"-3,406",-90,"4,784","3,176","-2,532",,,,,
04730,ARKANSAS                 ,WOODRUFF,-736,14,-250,116,-139,,,,,
04740,ARKANSAS                 ,YELL,-867,-215,436,-313,-332,,,,,
05000,CALIFORNIA               ,ALAMEDA,"507,320","406,930","575,957","540,638","203,779",,,,,
05010,CALIFORNIA               ,ALPINE,0,0,152,0,0,,,,,
05020,CALIFORNIA               ,AMADOR,"14,321","11,619","17,827","31,789","9,237",,,,,
05030,CALIFORNIA               ,BUTTE,"81,146","82,037","54,426","74,636","63,226",,,,,
05040,CALIFORNIA               ,CALAVERAS,"22,255","22,837","32,482","21,587","7,611",,,,,
05050,CALIFORNIA               ,COLUSA,"3,131","13,665","4,981","3,763","6,576",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"245,442","222,825","332,472","288,351","140,621",,,,,
05070,CALIFORNIA               ,DEL NORTE,"6,497","4,071","10,742","4,303","6,443",,,,,
05080,CALIFORNIA               ,EL DORADO,"68,269","71,492","70,897","83,384","41,854",,,,,
05090,CALIFORNIA               ,FRESNO,"185,723","144,627","130,782","129,860","38,026",,,,,
05100,CALIFORNIA               ,GLENN,"4,126","9,847","14,324","9,812","3,830",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"71,850","74,258","82,439","75,211","48,007",,,,,
05120,CALIFORNIA               ,IMPERIAL,"32,067","24,682","15,756","13,476","38,064",,,,,
05130,CALIFORNIA               ,INYO,"5,832","7,581","3,766","11,250","4,836",,,,,
05140,CALIFORNIA               ,KERN,"145,406","143,760","69,000","52,638","68,876",,,,,
05150,CALIFORNIA               ,KINGS,"12,044","4,297","-5,261","6,792",38,,,,,
05160,CALIFORNIA               ,LAKE,"39,916","32,670","38,026","46,291","27,919",,,,,
