AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-2,788,785","-2,890,166","-2,874,902","-3,016,232","-1,320,599",,,
05010,CALIFORNIA               ,ALPINE,0,-35,-66,-260,-177,,,
05020,CALIFORNIA               ,AMADOR,"-3,640","-3,596","-3,978","-2,919","-1,608",,,
05030,CALIFORNIA               ,BUTTE,"-2,261",-657,"-1,930",-893,-415,,,
05040,CALIFORNIA               ,CALAVERAS,"-1,628","-2,836","-1,398","-2,484","-1,185",,,
05050,CALIFORNIA               ,COLUSA,"-1,457",-664,-917,"-1,091",-299,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-1,834,097","-1,966,791","-2,006,159","-2,004,253","-900,760",,,
05070,CALIFORNIA               ,DEL NORTE,-262,-809,-704,-474,0,,,
05080,CALIFORNIA               ,EL DORADO,"-657,618","-685,973","-708,622","-669,574","-318,537",,,
05090,CALIFORNIA               ,FRESNO,"-3,305,348","-3,563,005","-3,659,901","-3,580,369","-1,508,147",,,
05100,CALIFORNIA               ,GLENN,-440,-941,"-1,677",-839,-383,,,
05110,CALIFORNIA               ,HUMBOLDT,"-1,664","-1,151",-317,"-2,166",-512,,,
05120,CALIFORNIA               ,IMPERIAL,"-2,767","-3,237","-2,180",-995,-133,,,
05130,CALIFORNIA               ,INYO,-491,-684,-621,-315,0,,,
05140,CALIFORNIA               ,KERN,"-2,316,050","-2,508,274","-2,843,645","-2,776,212","-1,036,395",,,
05150,CALIFORNIA               ,KINGS,"-2,847","-1,368",-553,-954,-659,,,
05160,CALIFORNIA               ,LAKE,-111,-307,"-2,279","-2,285",-226,,,
05170,CALIFORNIA               ,LASSEN,-406,"-1,311","-1,086",-646,0,,,
05200,CALIFORNIA               ,LOS ANGELES,"-27,122,253","-25,733,454","-25,725,761","-24,452,152","-10,407,020",,,
05300,CALIFORNIA               ,MADERA,"-5,208","-3,108","-3,878","-2,830","-1,280",,,
05310,CALIFORNIA               ,MARIN,"-522,094","-515,586","-553,838","-600,224","-281,944",,,
05320,CALIFORNIA               ,MARIPOSA,0,-518,0,0,0,,,
05330,CALIFORNIA               ,MENDOCINO,"-2,474","-1,815",-904,"-3,374","-1,736",,,
05340,CALIFORNIA               ,MERCED,"-1,130","-1,284","-1,278",-368,0,,,
05350,CALIFORNIA               ,MODOC,-18,0,0,0,0,,,
05360,CALIFORNIA               ,MONO,0,0,0,0,0,,,
05370,CALIFORNIA               ,MONTEREY,"-4,511","-2,190","-3,177","-5,115","-2,180",,,
05380,CALIFORNIA               ,NAPA,-858,-640,-101,-325,-247,,,
05390,CALIFORNIA               ,NEVADA,"-3,408","-2,544","-1,451","-1,618",-640,,,
05400,CALIFORNIA               ,ORANGE,"-7,601,357","-7,667,325","-7,867,006","-7,812,090","-3,468,577",,,
05410,CALIFORNIA               ,PLACER,"-639,181","-703,506","-767,562","-835,065","-381,386",,,
05420,CALIFORNIA               ,PLUMAS,-165,-638,-145,-322,0,,,
