DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,"264,400","152,841","253,690","250,708","120,594",,,,,,,,,,,
05050,CALIFORNIA               ,COLUSA,"110,014","66,629","75,914","93,219","33,444",,,,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"2,209,720","1,783,696","2,046,218","2,071,314","913,176",,,,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,"51,056","41,531","45,410","45,953","32,778",,,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"652,444","599,055","840,703","755,987","424,287",,,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"3,188,832","3,797,504","3,923,297","4,969,532","1,977,591",,,,,,,,,,,
05100,CALIFORNIA               ,GLENN,"126,725","139,494","152,361","185,393","99,378",,,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"601,612","465,047","332,572","235,825","311,189",,,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"566,558","649,059","757,340","860,604","343,794",,,,,,,,,,,
05130,CALIFORNIA               ,INYO,"42,860","35,412","36,695","43,378","18,299",,,,,,,,,,,
05140,CALIFORNIA               ,KERN,"3,207,805","3,612,811","3,209,228","2,908,438","1,958,394",,,,,,,,,,,
05150,CALIFORNIA               ,KINGS,"512,511","453,883","576,541","699,405","273,747",,,,,,,,,,,
05160,CALIFORNIA               ,LAKE,"478,152","449,841","393,252","361,678","151,948",,,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"93,527","115,442","64,170","64,870","55,374",,,,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"25,014,894","28,035,055","24,440,060","20,010,103","14,974,421",,,,,,,,,,,
05300,CALIFORNIA               ,MADERA,"454,175","437,745","499,734","635,037","239,096",,,,,,,,,,,
05310,CALIFORNIA               ,MARIN,"567,825","447,239","477,264","494,754","284,769",,,,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,"93,746","76,735","48,487","61,432","38,390",,,,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,"108,250","86,479","404,614","401,409","208,260",,,,,,,,,,,
05340,CALIFORNIA               ,MERCED,"841,723","905,645","815,661","628,852","276,617",,,,,,,,,,,
05350,CALIFORNIA               ,MODOC,"42,920","38,398","37,403","25,131","11,435",,,,,,,,,,,
05360,CALIFORNIA               ,MONO,"16,473","18,441","23,604","15,506","9,497",,,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"1,469,988","735,970","369,215","363,741","68,694",,,,,,,,,,,
05380,CALIFORNIA               ,NAPA,"497,158","364,548","290,961","229,234","65,752",,,,,,,,,,,
05390,CALIFORNIA               ,NEVADA,"602,799","576,668","545,347","448,107","269,029",,,,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"4,324,574","4,627,550","3,834,095","3,927,315","2,424,947",,,,,,,,,,,
05410,CALIFORNIA               ,PLACER,"1,187,807","1,195,085","1,108,980","1,246,519","606,273",,,,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,"215,875","104,625","119,730","149,799","58,086",,,,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"4,924,925","5,256,744","5,147,799","5,001,020","2,793,175",,,,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"8,030,860","7,167,755","7,589,707","7,562,585","3,995,079",,,,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"207,107","148,344","101,758","83,050","45,183",,,,,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"5,381,338","5,659,939","4,656,299","4,578,309","2,971,168",,,,,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"7,280,866","8,331,602","8,521,586","9,027,299","4,500,563",,,,,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"4,050,946","3,276,562","3,210,490","3,181,608","1,925,472",,,,,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"5,033,135","4,148,633","3,634,504","3,453,658","2,228,087",,,,,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"625,452","694,800","479,251","465,164","374,492",,,,,,,,,,,
05510,CALIFORNIA               ,SAN MATEO,"1,204,588","953,262","730,907","757,415","492,431",,,,,,,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"973,702","1,002,351","1,073,821","937,984","615,462",,,,,,,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"3,272,783","3,187,290","2,371,604","1,723,792","921,553",,,,,,,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"949,983","758,884","598,882","243,558","2,110",,,,,,,,,,,
