"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
05540,CALIFORNIA,SANTA CRUZ,"5,227","469,205",7,"469,205",7,0,0,0,"4,696",0,0
05550,CALIFORNIA,SHASTA,"8,869","401,267",4,"401,267",4,0,0,0,"8,190",0,0
05560,CALIFORNIA,SIERRA,101,"49,471",41,"49,471",41,0,0,0,95,0,0
05570,CALIFORNIA,SISKIYOU,"1,864","156,892",7,"156,892",7,0,0,0,"1,706",0,0
05580,CALIFORNIA,SOLANO,"6,559","489,591",6,"489,591",6,0,0,0,"5,150",0,0
05590,CALIFORNIA,SONOMA,"8,629","906,286",9,"906,286",9,0,0,0,"7,419",0,0
05600,CALIFORNIA,STANISLAUS,"10,653","927,845",7,"927,846",7,0,0,0,"9,320",0,0
05610,CALIFORNIA,SUTTER,"2,855","141,308",4,"141,307",4,0,0,0,"2,613",0,0
05620,CALIFORNIA,TEHAMA,"2,260","91,377",3,"91,376",3,0,0,0,"2,080",0,0
05630,CALIFORNIA,TRINITY,"1,232","43,931",3,"43,931",3,0,0,0,"1,130",0,0
05640,CALIFORNIA,TULARE,"8,318","227,453",2,"227,453",2,0,0,0,"7,537",0,0
05650,CALIFORNIA,TUOLUMNE,"1,942","78,473",3,"78,473",3,0,0,0,"1,770",0,0
05660,CALIFORNIA,VENTURA,"11,892","1,477,973",10,"1,477,974",10,0,0,0,"10,245",0,0
05670,CALIFORNIA,YOLO,"2,412","203,679",7,"203,678",7,0,0,0,"1,947",0,0
05680,CALIFORNIA,YUBA,"2,461","100,549",3,"100,549",3,0,0,0,"2,237",0,0
06000,COLORADO,ADAMS,"5,568","712,714",11,"712,713",11,0,0,0,"4,670",0,0
06010,COLORADO,ALAMOSA,409,"2,181",0,"2,180",0,0,0,0,378,0,0
06020,COLORADO,ARAPAHOE,"7,062","897,749",11,"897,750",11,0,0,0,"5,855",0,0
06030,COLORADO,ARCHULETA,231,"17,152",6,"17,152",6,0,0,0,210,0,0
06040,COLORADO,BACA,93,0,0,0,0,0,0,0,90,0,0
06050,COLORADO,BENT,179,"23,166",11,"23,166",11,0,0,0,153,0,0
06060,COLORADO,BOULDER,"3,685","618,131",14,"618,131",14,0,0,0,"3,203",0,0
06070,COLORADO,CHAFFEE,354,"4,030",1,"4,030",1,0,0,0,319,0,0
06080,COLORADO,CHEYENNE,27,0,0,0,0,0,0,0,24,0,0
06090,COLORADO,CLEAR CREEK,113,"51,502",38,"51,502",38,0,0,0,97,0,0
06100,COLORADO,CONEJOS,191,"2,562",1,"2,561",1,0,0,0,177,0,0
06110,COLORADO,COSTILLA,164,0,0,0,0,0,0,0,148,0,0
06120,COLORADO,CROWLEY,127,"3,942",3,"3,942",3,0,0,0,116,0,0
06130,COLORADO,CUSTER,95,"12,747",11,"12,747",11,0,0,0,82,0,0
06140,COLORADO,DELTA,662,"187,189",24,"187,190",24,0,0,0,608,0,0
06150,COLORADO,DENVER,"8,606","1,929,154",19,"1,929,155",19,0,0,0,"7,445",0,0
06160,COLORADO,DOLORES,65,0,0,0,0,0,0,0,60,0,0
