"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
06500,COLORADO,PUEBLO,"3,464,985","3,172,345","2,408,078",,,,,,
06510,COLORADO,RIO BLANCO,"1,071,316","1,053,411","389,211",,,,,,
06520,COLORADO,RIO GRANDE,"581,432","547,861","487,646",,,,,,
06530,COLORADO,ROUTT,"283,324","268,722","302,273",,,,,,
06540,COLORADO,SAGUACHE,"653,914","574,934","248,668",,,,,,
06550,COLORADO,SAN JUAN,"11,760","11,084","5,799",,,,,,
06560,COLORADO,SAN MIGUEL,"98,368","94,512","182,933",,,,,,
06570,COLORADO,SEDGWICK,"204,412","196,445","94,880",,,,,,
06580,COLORADO,SUMMIT,"210,015","199,587","177,296",,,,,,
06590,COLORADO,TELLER,"128,627","124,456","124,528",,,,,,
06600,COLORADO,WASHINGTON,"19,508","17,551","54,902",,,,,,
06610,COLORADO,WELD,"1,615,170","1,491,973","1,397,019",,,,,,
06620,COLORADO,YUMA,"86,906","86,906","117,619",,,,,,
06630,COLORADO,BROOMFIELD,"199,594","183,684","265,809",,,,,,
07000,CONNECTICUT,FAIRFIELD,"12,799","10,950","59,598",,,,,,
07010,CONNECTICUT,HARTFORD,0,0,"9,653",,,,,,
07020,CONNECTICUT,LITCHFIELD,0,0,"2,421",,,,,,
07030,CONNECTICUT,MIDDLESEX,"29,776","28,108","4,721",,,,,,
07040,CONNECTICUT,NEW HAVEN,"104,722","82,508","37,124",,,,,,
07050,CONNECTICUT,NEW LONDON,0,0,0,,,,,,
07060,CONNECTICUT,TOLLAND,0,0,"7,715",,,,,,
07070,CONNECTICUT,WINDHAM,0,0,0,,,,,,
08000,DELAWARE,KENT,"92,312","87,628","21,839",,,,,,
08010,DELAWARE,NEW CASTLE,"49,846","49,846","7,897",,,,,,
08020,DELAWARE,SUSSEX,"30,315","29,297","15,365",,,,,,
09000,DISTRICT OF COLUMBIA,THE DISTRICT,"14,814,468","12,222,363","5,206,793",,,,,,
10000,FLORIDA,ALACHUA,"7,904","7,769","4,109",,,,,,
10010,FLORIDA,BAKER,0,0,0,,,,,,
10020,FLORIDA,BAY,0,0,"9,988",,,,,,
10030,FLORIDA,BRADFORD,0,0,63,,,,,,
10040,FLORIDA,BREVARD,"111,060","110,795","86,759",,,,,,
10050,FLORIDA,BROWARD,"167,714","154,257","115,036",,,,,,
10060,FLORIDA,CALHOUN,"5,449","4,776","6,200",,,,,,
10070,FLORIDA,CHARLOTTE,"143,060","137,660","128,521",,,,,,
10080,FLORIDA,CITRUS,"124,570","123,014","22,181",,,,,,
10090,FLORIDA,CLAY,0,0,"36,230",,,,,,
10100,FLORIDA,COLLIER,"165,568","156,914","94,042",,,,,,
10110,FLORIDA,COLUMBIA,"24,187","23,026","15,933",,,,,,
10120,FLORIDA,MIAMI-DADE,0,0,"28,128",,,,,,
10130,FLORIDA,DE SOTO,0,0,"2,908",,,,,,
10140,FLORIDA,DIXIE,"4,483","1,723",651,,,,,,
10150,FLORIDA,DUVAL,"76,645","72,946","34,515",,,,,,
10160,FLORIDA,ESCAMBIA,"41,842","41,133","29,852",,,,,,
10170,FLORIDA,FLAGLER,"126,130","120,270","42,160",,,,,,
10180,FLORIDA,FRANKLIN,0,0,0,,,,,,
10190,FLORIDA,GADSDEN,"41,774","36,355",16,,,,,,
10200,FLORIDA,GILCHRIST,0,0,0,,,,,,
10210,FLORIDA,GLADES,0,0,0,,,,,,
10220,FLORIDA,GULF,0,0,0,,,,,,
10230,FLORIDA,HAMILTON,0,0,0,,,,,,
10240,FLORIDA,HARDEE,"22,097","13,873","2,410",,,,,,
10250,FLORIDA,HENDRY,0,0,"11,975",,,,,,
10260,FLORIDA,HERNANDO,"5,977","5,087","31,221",,,,,,
10270,FLORIDA,HIGHLANDS,"26,890","22,870","26,063",,,,,,
10280,FLORIDA,HILLSBOROUGH,"275,699","261,904","110,314",,,,,,
10290,FLORIDA,HOLMES,0,0,0,,,,,,
10300,FLORIDA,INDIAN RIVER,"4,328","4,087","56,198",,,,,,
10310,FLORIDA,JACKSON,"2,432","2,070","10,431",,,,,,
10320,FLORIDA,JEFFERSON,0,0,0,,,,,,
10330,FLORIDA,LAFAYETTE,0,0,0,,,,,,
10340,FLORIDA,LAKE,"236,741","227,113","85,882",,,,,,
10350,FLORIDA,LEE,"326,909","309,281","257,748",,,,,,
10360,FLORIDA,LEON,0,0,"7,244",,,,,,
10370,FLORIDA,LEVY,0,0,104,,,,,,
10380,FLORIDA,LIBERTY,0,0,0,,,,,,
10390,FLORIDA,MADISON,0,0,"13,745",,,,,,
10400,FLORIDA,MANATEE,"437,966","417,328","108,367",,,,,,
10410,FLORIDA,MARION,"139,053","129,799","127,708",,,,,,
10420,FLORIDA,MARTIN,"65,425","63,284","38,601",,,,,,
10430,FLORIDA,MONROE,"10,065","10,065","6,820",,,,,,
10440,FLORIDA,NASSAU,"41,775","41,382","4,199",,,,,,
10450,FLORIDA,OKALOOSA,"87,700","78,348","27,046",,,,,,
10460,FLORIDA,OKEECHOBEE,"34,317","34,317","21,846",,,,,,
10470,FLORIDA,ORANGE,"64,853","62,006","87,409",,,,,,
10480,FLORIDA,OSCEOLA,"153,144","136,159","28,270",,,,,,
10490,FLORIDA,PALM BEACH,"219,391","212,208","163,047",,,,,,
10500,FLORIDA,PASCO,"246,915","240,753","57,784",,,,,,
10510,FLORIDA,PINELLAS,"228,637","218,046","128,689",,,,,,
10520,FLORIDA,POLK,"224,838","208,734","299,427",,,,,,
10530,FLORIDA,PUTNAM,"110,724","101,474","37,968",,,,,,
10540,FLORIDA,ST. JOHNS,"169,158","136,597","107,202",,,,,,
10550,FLORIDA,ST. LUCIE,"90,160","85,771","22,387",,,,,,
10560,FLORIDA,SANTA ROSA,"9,311","8,836","17,232",,,,,,
10570,FLORIDA,SARASOTA,"254,700","236,909","87,691",,,,,,
10580,FLORIDA,SEMINOLE,"67,632","56,176","4,315",,,,,,
10590,FLORIDA,SUMTER,"39,347","39,203","14,441",,,,,,
