DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
04500,ARKANSAS                 ,NEWTON,"-4,881",975,"-2,443","-8,282","-5,284"
04510,ARKANSAS                 ,OUACHITA,"-11,988","-11,682","-12,639","-11,296","-7,324"
04520,ARKANSAS                 ,PERRY,"-4,859","-5,796","-6,861","-5,797","-3,518"
04530,ARKANSAS                 ,PHILLIPS,"-8,657","-10,347","-8,786","-7,286","-3,479"
04540,ARKANSAS                 ,PIKE,"-7,440","-7,189","-8,067","-9,739","-2,776"
04550,ARKANSAS                 ,POINSETT,"-12,421","-9,079","-6,110",-457,"1,094"
04560,ARKANSAS                 ,POLK,"-10,743","-9,361","-8,442","-6,285","-3,915"
04570,ARKANSAS                 ,POPE,"-31,721","-21,317","-21,645","-27,662","-21,381"
04580,ARKANSAS                 ,PRAIRIE,"-8,427","-6,628","-4,508","-5,208","-3,111"
04590,ARKANSAS                 ,PULASKI,"-196,541","-170,895","-173,169","-164,889","-132,043"
04600,ARKANSAS                 ,RANDOLPH,"-8,956","-7,190","-3,403","-1,682","-1,827"
04610,ARKANSAS                 ,ST. FRANCIS,"-20,942","-17,274","-7,239","-6,637","-3,951"
04620,ARKANSAS                 ,SALINE,"-38,254","-28,046","-27,285","-28,163","-20,876"
04630,ARKANSAS                 ,SCOTT,"1,815",360,"5,583","5,534","7,962"
04640,ARKANSAS                 ,SEARCY,"-4,307","-2,645","-3,499","-7,619","-6,779"
04650,ARKANSAS                 ,SEBASTIAN,"17,407","10,564","64,991","77,130","30,950"
04660,ARKANSAS                 ,SEVIER,"-3,645","-3,371","-3,623","-4,397","-2,795"
04670,ARKANSAS                 ,SHARP,"-24,044","-11,922","-14,311","-18,334","-10,279"
04680,ARKANSAS                 ,STONE,"-12,545","-6,868","-9,499","-11,662","-5,378"
04690,ARKANSAS                 ,UNION,"-12,126","-21,657","-31,126","-26,367","-10,411"
04700,ARKANSAS                 ,VAN BUREN,"-6,639","-7,501","-5,946","-6,909","-6,050"
04710,ARKANSAS                 ,WASHINGTON,"-30,547","8,305","9,837","-85,657","-85,655"
04720,ARKANSAS                 ,WHITE,"-60,268","-39,553","-41,609","-53,516","-42,891"
04730,ARKANSAS                 ,WOODRUFF,"-10,408","-5,580","-4,958","-5,798","-4,756"
04740,ARKANSAS                 ,YELL,"-12,466","-8,768","-9,744","-10,398","-8,548"
05000,CALIFORNIA               ,ALAMEDA,"847,030","717,989","652,500","611,159","304,269"
05010,CALIFORNIA               ,ALPINE,651,847,"1,065",942,258
05020,CALIFORNIA               ,AMADOR,"65,296","54,115","58,507","58,805","43,840"
05030,CALIFORNIA               ,BUTTE,"334,764","367,840","521,853","672,309","273,191"
05040,CALIFORNIA               ,CALAVERAS,"60,162","57,335","52,673","59,234","26,472"
05050,CALIFORNIA               ,COLUSA,"24,976","27,741","26,244","34,826","17,543"
05060,CALIFORNIA               ,CONTRA COSTA,"407,596","335,312","387,388","419,221","181,738"
05070,CALIFORNIA               ,DEL NORTE,"44,062","53,002","67,132","76,063","37,639"
05080,CALIFORNIA               ,EL DORADO,"228,592","191,008","242,868","272,763","153,966"
05090,CALIFORNIA               ,FRESNO,"466,497","518,732","626,211","791,226","339,715"
05100,CALIFORNIA               ,GLENN,"29,848","33,833","41,322","54,194","21,819"
05110,CALIFORNIA               ,HUMBOLDT,"156,397","115,456","158,562","156,600","106,285"
05120,CALIFORNIA               ,IMPERIAL,"139,895","173,173","200,444","287,440","121,044"
05130,CALIFORNIA               ,INYO,"15,684","9,872","11,598","12,280","6,743"
05140,CALIFORNIA               ,KERN,"478,143","582,021","586,859","559,823","366,915"
05150,CALIFORNIA               ,KINGS,"153,107","163,674","181,581","239,254","97,065"
05160,CALIFORNIA               ,LAKE,"114,710","106,373","152,770","201,423","65,350"
05170,CALIFORNIA               ,LASSEN,"27,963","12,711","20,984","23,560","14,291"
05200,CALIFORNIA               ,LOS ANGELES,"3,384,254","3,875,564","3,499,232","3,074,401","2,411,821"
05300,CALIFORNIA               ,MADERA,"87,187","86,615","111,845","117,326","49,969"
05310,CALIFORNIA               ,MARIN,"155,377","135,365","140,518","143,097","86,864"
05320,CALIFORNIA               ,MARIPOSA,"17,458","14,683","21,578","14,420","5,106"
05330,CALIFORNIA               ,MENDOCINO,"-20,767","-3,813","134,810","183,834","81,737"
05340,CALIFORNIA               ,MERCED,"146,923","183,223","184,069","154,088","80,370"
05350,CALIFORNIA               ,MODOC,"5,598","3,981","4,263","2,131","4,341"
05360,CALIFORNIA               ,MONO,"4,186","9,169","10,147","10,776","4,569"
05370,CALIFORNIA               ,MONTEREY,"212,741","101,009","46,939","42,653","-8,672"
05380,CALIFORNIA               ,NAPA,"118,039","84,654","61,794","59,559","17,106"
05390,CALIFORNIA               ,NEVADA,"129,818","139,780","136,558","140,624","81,905"
05400,CALIFORNIA               ,ORANGE,"934,904","1,101,764","1,006,289","923,613","639,315"
05410,CALIFORNIA               ,PLACER,"229,653","243,814","269,894","301,423","163,434"
05420,CALIFORNIA               ,PLUMAS,"34,962","35,603","48,028","60,037","26,489"
05430,CALIFORNIA               ,RIVERSIDE,"779,765","956,054","962,468","973,892","577,738"
05440,CALIFORNIA               ,SACRAMENTO,"1,325,456","1,167,410","1,303,479","1,335,774","713,936"
05450,CALIFORNIA               ,SAN BENITO,"39,861","34,638","35,168","21,541","16,346"
05460,CALIFORNIA               ,SAN BERNARDINO,"861,031","1,002,533","906,872","888,395","542,017"
05470,CALIFORNIA               ,SAN DIEGO,"2,151,192","2,384,467","2,329,923","2,515,989","1,284,252"
05480,CALIFORNIA               ,SAN FRANCISCO,"781,104","675,857","774,475","767,616","447,283"
05490,CALIFORNIA               ,SAN JOAQUIN,"671,786","604,746","615,594","572,175","424,623"
05500,CALIFORNIA               ,SAN LUIS OBISPO,"123,626","125,774","124,547","114,487","109,438"
05510,CALIFORNIA               ,SAN MATEO,"231,322","218,611","198,150","188,189","121,412"
