HHA Wage Indices by Fiscal Year,,,,,,,,,,,
SSACD,State,County,CBSA Code,Wage 2009,Wage 2010,Wage 2011,Wage 2012,Wage 2013,Wage 2014,Wage 2015,
10310,FL,JACKSON,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10330,FL,LAFAYETTE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10370,FL,LEVY,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10380,FL,LIBERTY,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10390,FL,MADISON,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10430,FL,MONROE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10460,FL,OKEECHOBEE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10530,FL,PUTNAM,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10600,FL,SUWANNEE,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10610,FL,TAYLOR,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10620,FL,UNION,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
10660,FL,WASHINGTON,10,0.8504,0.8566,0.8409,0.8361,0.808,0.8009,0.8189,
45230,TX,CALLAHAN,10180,0.8097,0.7946,0.8003,0.8444,0.8329,0.826,0.744,
45721,TX,JONES,10180,0.8097,0.7946,0.8003,0.8444,0.8329,0.826,0.744,
45911,TX,TAYLOR,10180,0.8097,0.7946,0.8003,0.8444,0.8329,0.826,0.744,
40020,PR,AGUADA,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40030,PR,AGUADILLA,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40060,PR,ANASCO,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40350,PR,ISABELA,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40400,PR,LARES,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40490,PR,MOCA,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40580,PR,RINCON,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40660,PR,SAN SEBASTIAN,10380,0.3399,0.3462,0.3471,0.3611,0.354,0.3662,0.3586,
40710,PR,UTUADO,10380,0.4047,0.4047,0.4047,0.4047,0.4047,0.4047,0.3817,
36680,OH,PORTAGE,10420,0.8917,0.885,0.8843,0.8814,0.8694,0.8485,0.8539,
36780,OH,SUMMIT,10420,0.8917,0.885,0.8843,0.8814,0.8694,0.8485,0.8539,
11020,GA,BAKER,10500,0.8703,0.8899,0.9036,0.8687,0.8332,0.875,0.8128,
11390,GA,DOUGHERTY,10500,0.8703,0.8899,0.9036,0.8687,0.8332,0.875,0.8128,
11670,GA,LEE,10500,0.8703,0.8899,0.9036,0.8687,0.8332,0.875,0.8128,
11885,GA,TERRELL,10500,0.8703,0.8899,0.9036,0.8687,0.8332,0.875,0.8128,
11980,GA,WORTH,10500,0.8703,0.8899,0.9036,0.8687,0.8332,0.875,0.8128,
38210,OR,LINN,10540,1.0218,1.0236,1.0029,1.0337,0.9521,0.9437,1.0481,
33000,NY,ALBANY,10580,0.8707,0.8777,0.8653,0.868,0.8715,0.8636,0.8453,
33600,NY,RENSSELAER,10580,0.8707,0.8777,0.8653,0.868,0.8715,0.8636,0.8453,
33640,NY,SARATOGA,10580,0.8707,0.8777,0.8653,0.868,0.8715,0.8636,0.8453,
33650,NY,SCHENECTADY,10580,0.8707,0.8777,0.8653,0.868,0.8715,0.8636,0.8453,
33660,NY,SCHOHARIE,10580,0.8707,0.8777,0.8653,0.868,0.8715,0.8636,0.8453,
32000,NM,BERNALILLO,10740,0.921,0.9399,0.9456,0.955,0.9564,0.9704,0.9478,
32210,NM,SANDOVAL,10740,0.921,0.9399,0.9456,0.955,0.9564,0.9704,0.9478,
32280,NM,TORRANCE,10740,0.921,0.9399,0.9456,0.955,0.9564,0.9704,0.9478,
32300,NM,VALENCIA,10740,0.921,0.9399,0.9456,0.955,0.9564,0.9704,0.9478,
19210,LA,GRANT,10780,0.813,0.8012,0.7995,0.8026,0.7875,0.7821,0.7813,
19390,LA,RAPIDES,10780,0.813,0.8012,0.7995,0.8026,0.7875,0.7821,0.7813,
31390,NJ,WARREN,10900,0.9499,0.9611,0.9194,0.926,0.9086,0.9208,0.9121,
39190,PA,CARBON,10900,0.9499,0.9611,0.9194,0.926,0.9086,0.9208,0.9121,
39470,PA,LEHIGH,10900,0.9499,0.9611,0.9194,0.926,0.9086,0.9208,0.9121,
39590,PA,NORTHAMPTON,10900,0.9499,0.9611,0.9194,0.926,0.9086,0.9208,0.9121,
11000,GA,APPLING,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
11010,GA,ATKINSON,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
11011,GA,BACON,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
11030,GA,BALDWIN,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
11040,GA,BANKS,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
11070,GA,BEN HILL,11,0.7612,0.7623,0.7566,0.7547,0.7411,0.7482,0.7432,
