"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
04630,ARKANSAS                 ,SCOTT,"-76,776","-95,020","-56,670","-101,097","-29,757","-15,695",,,,,,
04640,ARKANSAS                 ,SEARCY,"-99,662","-83,531","-78,856","-110,014","-61,381","-35,323",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-739,600","-967,717","-723,733","-528,002","-515,005","-12,646",,,,,,
04660,ARKANSAS                 ,SEVIER,"-56,846","-96,801","-158,021","-144,059","-97,157","-24,646",,,,,,
04670,ARKANSAS                 ,SHARP,"-489,378","-552,224","-610,354","-534,450","-310,939","-11,347",,,,,,
04680,ARKANSAS                 ,STONE,"-237,056","-208,166","-231,668","-184,288","-142,228","-550,000",,,,,,
04690,ARKANSAS                 ,UNION,"-146,956","-179,423","-262,774","-230,508","-147,541","-21,522",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-108,022","-180,293","-155,589","-172,617","-121,329","-42,293",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-319,258","-474,723","-388,948","-409,153","-263,432","-81,569",,,,,,
04720,ARKANSAS                 ,WHITE,"-1,303,205","-1,225,664","-1,143,168","-1,388,460","-790,363","-13,996",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-171,328","-150,774","-110,080","-148,520","-89,488","-9,433",,,,,,
04740,ARKANSAS                 ,YELL,"-272,601","-276,940","-347,569","-287,418","-153,452","-183,558",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-20,020,723","-19,158,962","-19,631,196","-18,151,565","-13,828,092","-15,989",,,,,,
05010,CALIFORNIA               ,ALPINE,"-6,245","-2,913","-6,398","-1,874","-20,780","-54,118",,,,,,
05020,CALIFORNIA               ,AMADOR,"-590,571","-765,558","-811,862","-1,016,832","-819,111","-17,406",,,,,,
05030,CALIFORNIA               ,BUTTE,"-4,231,257","-4,880,053","-4,802,638","-6,055,648","-5,697,947","-24,832",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"-778,791","-732,507","-829,544","-983,961","-771,318","-18,925",,,,,,
05050,CALIFORNIA               ,COLUSA,"-296,202","-305,245","-249,804","-271,403","-218,582","-70,425",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-6,970,142","-6,698,997","-6,467,568","-7,073,968","-4,579,546","-69,582",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"-203,978","-280,903","-267,805","-218,453","-147,224","-5,667",,,,,,
05080,CALIFORNIA               ,EL DORADO,"-1,027,411","-1,396,057","-1,559,930","-2,108,023","-1,665,675","-8,041",,,,,,
05090,CALIFORNIA               ,FRESNO,"-9,111,139","-9,046,309","-9,534,590","-9,266,965","-6,875,368",-275,,,,,,
05100,CALIFORNIA               ,GLENN,"-287,783","-349,089","-299,844","-373,348","-377,729","-1,570,722",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"-2,445,887","-2,228,413","-2,303,881","-2,589,258","-1,995,745",-178,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"-3,083,246","-4,317,631","-4,567,819","-4,592,179","-3,566,075",-590,,,,,,
05130,CALIFORNIA               ,INYO,"-162,652","-132,977","-132,130","-111,113","-100,906","-53,621",,,,,,
05140,CALIFORNIA               ,KERN,"-6,551,652","-5,931,584","-4,021,029","-3,395,016","-4,343,660","-1,431",,,,,,
05150,CALIFORNIA               ,KINGS,"-1,640,421","-2,077,187","-2,335,175","-2,430,196","-1,667,383","-466,676",,,,,,
05160,CALIFORNIA               ,LAKE,"-1,221,047","-2,107,263","-2,288,774","-2,109,782","-1,449,066","-63,709",,,,,,
05170,CALIFORNIA               ,LASSEN,"-137,756","-170,257","-221,389","-217,656","-136,777","-21,540",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-144,563,126","-136,928,952","-135,692,093","-127,233,133","-94,910,775","-531,706",,,,,,
05300,CALIFORNIA               ,MADERA,"-1,935,235","-2,232,537","-2,449,617","-2,292,369","-1,341,858","-19,136",,,,,,
05310,CALIFORNIA               ,MARIN,"-1,886,982","-1,971,069","-1,983,804","-2,291,111","-2,095,433","-174,393",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"-468,542","-392,129","-395,587","-356,423","-466,029","-1,347,179",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"-1,764,479","-2,130,818","-1,767,383","-1,691,490","-1,738,263","-27,988",,,,,,
05340,CALIFORNIA               ,MERCED,"-3,992,610","-4,103,199","-3,998,765","-4,356,440","-4,746,587","-224,958",,,,,,
05350,CALIFORNIA               ,MODOC,"-113,310","-100,643","-144,355","-148,986","-86,755","-111,491",,,,,,
