"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
19010,LOUISIANA                ,ALLEN,"-459,178","-472,293","-433,035","-313,047","-218,539","11,099",,,,,,
19020,LOUISIANA                ,ASCENSION,"-121,963","-345,808","-84,945","-156,879","-111,380","-21,663",,,,,,
19030,LOUISIANA                ,ASSUMPTION,"-106,377","-123,256","-78,706","-91,989","-82,064","9,380",,,,,,
19040,LOUISIANA                ,AVOYELLES,"-690,351","-708,368","-738,153","-658,105","-512,440","80,269",,,,,,
19050,LOUISIANA                ,BEAUREGARD,"-281,144","-386,324","-335,348","-342,271","-176,391","-32,332",,,,,,
19060,LOUISIANA                ,BIENVILLE,"-415,619","-383,416","-459,963","-322,455","-280,929",-925,,,,,,
19070,LOUISIANA                ,BOSSIER,"-973,858","-867,053","-748,650","-452,345","-379,778","-84,789",,,,,,
19080,LOUISIANA                ,CADDO,"-3,741,345","-2,998,389","-2,416,487","-1,581,885","-1,149,140","-17,172",,,,,,
19090,LOUISIANA                ,CALCASIEU,"39,513","-465,737","-657,162","-1,377,151","-869,202","-20,673",,,,,,
19100,LOUISIANA                ,CALDWELL,"-195,825","-275,224","-205,871","-179,333","-141,188","25,430",,,,,,
19110,LOUISIANA                ,CAMERON,"-3,416","-10,920","-7,881","-18,101","-2,237","-10,079",,,,,,
19120,LOUISIANA                ,CATAHOULA,"-261,270","-285,580","-207,867","-187,014","-161,280","-15,608",,,,,,
19130,LOUISIANA                ,CLAIBORNE,"-301,762","-272,802","-280,648","-260,921","-172,286","-22,647",,,,,,
19140,LOUISIANA                ,CONCORDIA,"-208,346","-200,987","-178,046","-38,328","-63,994","-4,310",,,,,,
19150,LOUISIANA                ,DE SOTO,"-532,519","-377,940","-483,173","-289,794","-157,613","-25,707",,,,,,
19160,LOUISIANA                ,EAST BATON ROUGE,"-1,710,298","-2,201,280","-946,084","-1,228,267","-1,074,428","-8,501",,,,,,
19170,LOUISIANA                ,EAST CARROLL,"-91,566","-103,877","-83,526","-98,160","-76,263","-23,117",,,,,,
19180,LOUISIANA                ,EAST FELICIANA,"-62,043","-150,543","55,673","-121,491","-118,310","-12,276",,,,,,
19190,LOUISIANA                ,EVANGELINE,"-385,996","-663,121","-805,818","-739,509","-370,577","-9,814",,,,,,
19200,LOUISIANA                ,FRANKLIN,"-464,297","-571,278","-513,954","-429,674","-374,258","-31,886",,,,,,
19210,LOUISIANA                ,GRANT,"-344,359","-311,517","-337,024","-245,968","-247,463","-25,809",,,,,,
19220,LOUISIANA                ,IBERIA,"-913,486","-941,918","-1,128,699","-952,562","-622,050","-10,156",,,,,,
19230,LOUISIANA                ,IBERVILLE,"-141,256","-134,448","-160,650","-151,505","-195,509","-6,730",,,,,,
19240,LOUISIANA                ,JACKSON,"-231,818","-288,066","-390,678","-335,094","-220,646","-23,994",,,,,,
19250,LOUISIANA                ,JEFFERSON,"-1,029,338","131,231","568,172","488,858","425,730","-11,879",,,,,,
19260,LOUISIANA                ,JEFFERSON DAVIS,"-213,060","-249,576","-307,980","-297,668","-194,456","-9,822",,,,,,
19270,LOUISIANA                ,LAFAYETTE,"263,283","-175,874","-1,202,036","-1,427,862","-680,022","-15,314",,,,,,
19280,LOUISIANA                ,LAFOURCHE,"-282,416","-349,017","-399,854","-428,270","-353,145","-70,633",,,,,,
19290,LOUISIANA                ,LA SALLE,"-456,828","-524,950","-390,757","-317,144","-134,464","-33,889",,,,,,
19300,LOUISIANA                ,LINCOLN,"-607,753","-719,919","-848,209","-614,542","-299,680","-16,926",,,,,,
19310,LOUISIANA                ,LIVINGSTON,"-86,835","-217,485","-209,390","-290,428","-278,494","-132,445",,,,,,
19320,LOUISIANA                ,MADISON,"-170,738","-202,999","-192,160","-222,470","-55,861","-2,477",,,,,,
19330,LOUISIANA                ,MOREHOUSE,"-308,939","-381,750","-373,006","-264,135","-227,389","-26,236",,,,,,
19340,LOUISIANA                ,NATCHITOCHES,"-438,701","-418,573","-452,986","-446,355","-264,225","-15,015",,,,,,
19350,LOUISIANA                ,ORLEANS,"51,986","-114,313","365,502","490,389","457,041","-20,343",,,,,,
19360,LOUISIANA                ,OUACHITA,"-1,322,181","-1,902,439","-1,635,831","-1,471,695","-1,134,716","-34,904",,,,,,
19370,LOUISIANA                ,PLAQUEMINES,"-41,777","4,695","24,983","66,419","2,125","-23,599",,,,,,
19380,LOUISIANA                ,POINTE COUPEE,"-45,738","-126,147","-26,557","10,380","-65,720","-17,594",,,,,,
19390,LOUISIANA                ,RAPIDES,"-2,453,993","-2,232,437","-2,185,898","-1,830,610","-1,540,426","-7,897",,,,,,
19400,LOUISIANA                ,RED RIVER,"-142,665","-97,445","-77,216","-116,152","-83,395","-28,725",,,,,,
19410,LOUISIANA                ,RICHLAND,"-293,112","-363,318","-288,283","-319,595","-208,116","-13,737",,,,,,
19420,LOUISIANA                ,SABINE,"-498,697","-449,691","-326,839","-267,503","-178,411","-13,976",,,,,,
19430,LOUISIANA                ,ST. BERNARD,"-44,692","-37,038","-21,716","29,545","12,115","-3,055",,,,,,
19440,LOUISIANA                ,ST. CHARLES,"-84,741","-58,336","-59,503","-52,362","-27,646","-15,980",,,,,,
19450,LOUISIANA                ,ST. HELENA,"-111,796","-143,023","-127,757","-129,488","-42,847","-76,232",,,,,,
19460,LOUISIANA                ,ST. JAMES,"-29,928","-103,898","-99,321","-147,926","-47,884","-13,419",,,,,,
19470,LOUISIANA                ,ST. JOHN THE BAPTIST,"-310,014","-309,561","-277,055","-188,069","-106,622","-26,331",,,,,,
19480,LOUISIANA                ,ST. LANDRY,"-2,392,054","-2,433,779","-2,781,644","-2,279,853","-1,787,737","-15,097",,,,,,
19490,LOUISIANA                ,ST. MARTIN,"-188,835","-181,417","-436,965","-396,790","-294,697","-144,229",,,,,,
19500,LOUISIANA                ,ST. MARY,"-242,030","-196,239","-245,437","-339,835","-279,389","-13,495",,,,,,
19510,LOUISIANA                ,ST. TAMMANY,"-1,106,455","-859,304","-815,298","-772,901","-528,606","-15,764",,,,,,
19520,LOUISIANA                ,TANGIPAHOA,"-2,377,667","-2,042,562","-2,793,243","-2,103,580","-1,448,670","-1,157",,,,,,
19530,LOUISIANA                ,TENSAS,"-97,121","-82,615","-93,507","-74,888","-32,839","-122,320",,,,,,
19540,LOUISIANA                ,TERREBONNE,"-358,900","-227,191","-446,644","-813,901","-840,588","-42,542",,,,,,
19550,LOUISIANA                ,UNION,"-227,127","-345,100","-371,690","-375,989","-207,454","-51,645",,,,,,
19560,LOUISIANA                ,VERMILION,"-204,807","-344,275","-450,799","-419,245","-306,015","-25,916",,,,,,
19570,LOUISIANA                ,VERNON,"-623,997","-672,357","-562,944","-658,901","-541,022","-66,883",,,,,,
19580,LOUISIANA                ,WASHINGTON,"-357,223","-264,394","-264,883","-168,177","-7,807","-243,955",,,,,,
19590,LOUISIANA                ,WEBSTER,"-1,271,656","-1,261,109","-1,000,952","-1,015,342","-820,249","-40,204",,,,,,
19600,LOUISIANA                ,WEST BATON ROUGE,"-31,201","-52,939","-53,888","-3,875","-91,292","-194,877",,,,,,
19610,LOUISIANA                ,WEST CARROLL,"-201,911","-181,637","-197,873","-162,795","-104,136","-565,436",,,,,,
19620,LOUISIANA                ,WEST FELICIANA,"36,341","-23,188","15,186","14,737","-34,950","-484,761",,,,,,
19630,LOUISIANA                ,WINN,"-275,050","-289,501","-339,929","-372,223","-164,176","-46,935",,,,,,
20000,MAINE                    ,ANDROSCOGGIN,"-1,361,942","-1,419,054","-1,102,507","-1,146,809","-1,081,221","-8,642",,,,,,
20010,MAINE                    ,AROOSTOOK,"-926,978","-1,139,020","-1,087,585","-823,465","-605,323","-21,481",,,,,,
20020,MAINE                    ,CUMBERLAND,"-635,218","-700,871","-1,116,249","-1,107,736","-1,013,502","-37,947",,,,,,
20030,MAINE                    ,FRANKLIN,"-139,599","-159,968","-183,722","-173,325","-131,323","-30,568",,,,,,
20040,MAINE                    ,HANCOCK,"-440,087","-464,272","-469,820","-408,608","-365,553","-54,441",,,,,,
20050,MAINE                    ,KENNEBEC,"-324,039","-864,251","-1,066,811","-952,908","-800,234","-510,781",,,,,,
20060,MAINE                    ,KNOX,"-151,991","-147,551","-163,152","-183,928","-149,110","-16,947",,,,,,
20070,MAINE                    ,LINCOLN,"-111,246","-157,761","-201,821","-218,600","-149,497","-32,635",,,,,,
20080,MAINE                    ,OXFORD,"-588,551","-576,349","-365,733","-381,740","-295,166","-30,703",,,,,,
20090,MAINE                    ,PENOBSCOT,"-998,974","-1,282,733","-1,339,695","-1,085,656","-1,159,999",21,,,,,,
20100,MAINE                    ,PISCATAQUIS,"-182,328","-194,928","-222,836","-201,211","-169,457","-63,811",,,,,,
20110,MAINE                    ,SAGADAHOC,"-60,980","-114,941","-128,759","-125,901","-126,637","-52,300",,,,,,
20120,MAINE                    ,SOMERSET,"-277,945","-394,423","-403,316","-463,275","-315,254","-127,737",,,,,,
20130,MAINE                    ,WALDO,"-213,128","-244,532","-318,432","-278,808","-243,974","-35,787",,,,,,
20140,MAINE                    ,WASHINGTON,"-391,702","-392,295","-441,239","-410,472","-329,988","-36,520",,,,,,
20150,MAINE                    ,YORK,"-513,149","-612,470","-712,036","-831,160","-647,059","-567,083",,,,,,
21000,MARYLAND                 ,ALLEGANY,"-49,509","-54,146","-110,928","-101,266","-103,888","-33,407",,,,,,
21010,MARYLAND                 ,ANNE ARUNDEL,"-414,085","-403,895","-296,844","-333,782","-450,932","-352,239",,,,,,
21020,MARYLAND                 ,BALTIMORE,"-91,032","-65,690","-72,757","-94,184","-60,818","-97,529",,,,,,
21030,MARYLAND                 ,BALTIMORE CITY,"-80,727","-33,027","-60,904","-50,597","-47,894","-23,766",,,,,,
21040,MARYLAND                 ,CALVERT,"-343,151","-307,398","-241,939","-433,701","-256,906","-93,381",,,,,,
21050,MARYLAND                 ,CAROLINE,"-80,536","-87,989","-103,272","-94,981","-75,068","-96,795",,,,,,
21060,MARYLAND                 ,CARROLL,"-45,981","-33,338","-99,866","-68,499","-71,346","-15,309",,,,,,
21070,MARYLAND                 ,CECIL,"-191,190","-176,483","-211,534","-217,043","-242,126","-92,332",,,,,,
21080,MARYLAND                 ,CHARLES,"-530,987","-486,603","-456,805","-472,773","-454,058","-28,607",,,,,,
21090,MARYLAND                 ,DORCHESTER,"-18,978","-46,132","-11,764","-22,797","-46,209","-581,494",,,,,,
21100,MARYLAND                 ,FREDERICK,"-415,418","-357,210","-260,390","-289,925","-321,877","-337,807",,,,,,
21110,MARYLAND                 ,GARRETT,"-66,059","-81,807","-108,797","-111,596","-47,736","-24,007",,,,,,
21120,MARYLAND                 ,HARFORD,"-65,650","-47,054","-34,527","-15,113","-31,934","-26,209",,,,,,
21130,MARYLAND                 ,HOWARD,"-34,779","-32,412","-86,205","-66,055","-25,286","-358,009",,,,,,
21140,MARYLAND                 ,KENT,"-118,687","-64,984","-64,795","-115,281","-77,118","-14,018",,,,,,
21150,MARYLAND                 ,MONTGOMERY,"-1,260,405","-946,733","-1,156,976","-1,313,815","-1,133,235","-47,318",,,,,,
21160,MARYLAND                 ,PRINCE GEORGE'S,"-2,384,885","-2,026,831","-2,023,389","-2,639,052","-2,146,596","-26,525",,,,,,
21170,MARYLAND                 ,QUEEN ANNE'S,"-92,140","-59,829","-70,977","-87,253","-65,626","-14,010",,,,,,
21180,MARYLAND                 ,ST. MARY'S,"-657,138","-403,086","-448,145","-621,049","-487,989","-52,599",,,,,,
21190,MARYLAND                 ,SOMERSET,-381,"-2,778",766,"-3,644",-271,"-9,463",,,,,,
21200,MARYLAND                 ,TALBOT,"-7,244","-27,045","-24,265","-58,274","-69,750","-22,619",,,,,,
21210,MARYLAND                 ,WASHINGTON,"-93,742","-74,337","-94,739","-145,952","-106,809","-51,459",,,,,,
21220,MARYLAND                 ,WICOMICO,"-29,258","-30,604","-11,652","-22,480","-33,934","-125,331",,,,,,
21230,MARYLAND                 ,WORCESTER,"-11,581","-15,284","-35,292","-26,653","-22,546","-64,890",,,,,,
22000,MASSACHUSETTS            ,BARNSTABLE,"-497,499","-773,669","-1,049,720","-1,309,951","-1,108,420","-39,585",,,,,,
22010,MASSACHUSETTS            ,BERKSHIRE,"-2,265,392","-2,650,638","-3,058,040","-4,483,394","-3,392,907","-274,248",,,,,,
22020,MASSACHUSETTS            ,BRISTOL,"-4,495,200","-6,120,258","-5,857,542","-6,430,469","-5,836,838","-153,241",,,,,,
22030,MASSACHUSETTS            ,DUKES,"-75,782","-111,869","-79,385","-100,807","-78,685","-12,284",,,,,,
22040,MASSACHUSETTS            ,ESSEX,"-5,774,774","-6,571,632","-8,315,233","-9,535,602","-7,694,420","-82,647",,,,,,
22060,MASSACHUSETTS            ,FRANKLIN,"-582,412","-553,084","-526,156","-879,922","-601,172","-45,884",,,,,,
22070,MASSACHUSETTS            ,HAMPDEN,"-7,850,542","-7,287,414","-7,161,802","-9,922,498","-7,880,349","-52,761",,,,,,
22080,MASSACHUSETTS            ,HAMPSHIRE,"-1,815,532","-1,644,447","-1,934,506","-2,610,015","-1,776,870","-130,974",,,,,,
22090,MASSACHUSETTS            ,MIDDLESEX,"-5,144,972","-6,505,726","-8,694,333","-10,340,866","-7,873,377","-24,679",,,,,,
22120,MASSACHUSETTS            ,NANTUCKET,"-11,033","-18,179","-16,082","-22,547","-15,191","-118,657",,,,,,
22130,MASSACHUSETTS            ,NORFOLK,"-3,404,765","-3,407,015","-3,789,177","-4,497,862","-4,236,831","-26,374",,,,,,
22150,MASSACHUSETTS            ,PLYMOUTH,"-2,564,874","-3,103,588","-4,028,875","-5,618,052","-5,234,478","-29,083",,,,,,
22160,MASSACHUSETTS            ,SUFFOLK,"-5,451,958","-6,833,158","-6,905,676","-7,396,185","-5,987,675","6,169",,,,,,
22170,MASSACHUSETTS            ,WORCESTER,"-3,402,382","-4,706,859","-5,925,834","-6,847,667","-4,958,335","-62,055",,,,,,
23000,MICHIGAN                 ,ALCONA,"-36,283","-54,920","-42,076","-51,995","-33,745","-1,489",,,,,,
23010,MICHIGAN                 ,ALGER,"-24,647","-11,738","-5,649","-10,101","-11,356","-93,954",,,,,,
23020,MICHIGAN                 ,ALLEGAN,"-258,024","-546,584","-472,979","-426,425","-342,612","-106,438",,,,,,
23030,MICHIGAN                 ,ALPENA,"-32,561","-52,799","-66,169","-92,654","-50,299","-238,690",,,,,,
23040,MICHIGAN                 ,ANTRIM,"-8,939","-51,339","-13,012","-10,870","-26,552","-14,333",,,,,,
23050,MICHIGAN                 ,ARENAC,"-89,208","-125,949","-136,740","-122,287","-91,658","-57,823",,,,,,
23060,MICHIGAN                 ,BARAGA,-749,"-20,502","-4,579","-18,163","-11,809","-127,567",,,,,,
23070,MICHIGAN                 ,BARRY,"-303,577","-529,833","-563,822","-475,993","-264,726","-19,510",,,,,,
23080,MICHIGAN                 ,BAY,"-380,417","-643,343","-597,604","-555,225","-425,830","-27,218",,,,,,
23090,MICHIGAN                 ,BENZIE,"-7,310","-15,433","-25,072","-5,522","-13,803","-32,235",,,,,,
23100,MICHIGAN                 ,BERRIEN,"-1,918,189","-2,893,592","-2,401,593","-1,904,269","-1,473,284","-232,528",,,,,,
23110,MICHIGAN                 ,BRANCH,"-172,817","-332,348","-387,595","-352,934","-286,335","-28,870",,,,,,
23120,MICHIGAN                 ,CALHOUN,"-1,225,058","-2,372,626","-1,788,941","-1,645,823","-1,350,785",-302,,,,,,
23130,MICHIGAN                 ,CASS,"-205,254","-311,548","-278,311","-258,672","-235,963","-30,209",,,,,,
23140,MICHIGAN                 ,CHARLEVOIX,"5,374","-12,826","-47,224","-31,512","-31,028","-41,376",,,,,,
23150,MICHIGAN                 ,CHEBOYGAN,"-80,206","-27,009","-41,918","-57,657","-37,511","-32,638",,,,,,
23160,MICHIGAN                 ,CHIPPEWA,"-1,092","-82,900","-44,439","-52,774","-21,446","-43,203",,,,,,
23170,MICHIGAN                 ,CLARE,"-307,221","-277,928","-150,327","-199,108","-218,281","-168,564",,,,,,
23180,MICHIGAN                 ,CLINTON,"-127,368","-301,224","-270,711","-301,432","-308,501",361,,,,,,
23190,MICHIGAN                 ,CRAWFORD,"-10,715","-22,888","-27,423","-21,247","-40,064","-43,126",,,,,,
23200,MICHIGAN                 ,DELTA,"10,915","-53,136","-35,754","-35,267","-58,970",11,,,,,,
23210,MICHIGAN                 ,DICKINSON,"1,879","-3,866","-41,331","-51,974","-47,226","-45,533",,,,,,
23220,MICHIGAN                 ,EATON,"-162,103","-523,877","-384,837","-513,853","-436,892","-25,333",,,,,,
23230,MICHIGAN                 ,EMMET,"-46,638","-29,168","-37,015","-46,501","-35,290","-1,999",,,,,,
23240,MICHIGAN                 ,GENESEE,"-250,086","-1,102,206","-686,115","-886,271","-1,811,721","-47,199",,,,,,
23250,MICHIGAN                 ,GLADWIN,"-111,356","-179,946","-130,912","-128,711","-56,500","-7,676",,,,,,
23260,MICHIGAN                 ,GOGEBIC,"-25,318","-67,495","-40,969","-44,474","-49,855","-3,959",,,,,,
23270,MICHIGAN                 ,GRAND TRAVERSE,"-40,040","-72,748","-34,115","-45,247","-50,103","-56,925",,,,,,
23280,MICHIGAN                 ,GRATIOT,"-179,874","-311,701","-276,378","-267,990","-219,854","-64,884",,,,,,
23290,MICHIGAN                 ,HILLSDALE,"-141,025","-280,979","-273,240","-376,078","-296,204","-3,154",,,,,,
23300,MICHIGAN                 ,HOUGHTON,"-3,548","-35,442","-26,065","-30,475","-10,919","-24,310",,,,,,
23310,MICHIGAN                 ,HURON,"-159,058","-267,968","-299,611","-284,334","-199,253","-25,077",,,,,,
23320,MICHIGAN                 ,INGHAM,"-168,766","-1,533,946","-1,009,851","-1,363,438","-1,299,783","-5,625",,,,,,
23330,MICHIGAN                 ,IONIA,"-181,659","-453,171","-364,548","-369,489","-253,131","-12,433",,,,,,
23340,MICHIGAN                 ,IOSCO,"-149,556","-165,649","-212,927","-189,625","-206,411","-14,414",,,,,,
23350,MICHIGAN                 ,IRON,"-13,967","-7,251","-4,727","-24,461","-16,557","-211,346",,,,,,
23360,MICHIGAN                 ,ISABELLA,"-88,983","-269,581","-334,995","-326,025","-269,446","-456,802",,,,,,
23370,MICHIGAN                 ,JACKSON,"-380,420","-1,048,837","-1,483,022","-1,769,567","-1,331,402","-9,157",,,,,,
23380,MICHIGAN                 ,KALAMAZOO,"-631,516","-2,362,853","-1,652,935","-1,729,859","-1,489,586","-57,890",,,,,,
23390,MICHIGAN                 ,KALKASKA,"-14,154","-9,742","-15,320","-1,757","-13,693","-1,323",,,,,,
23400,MICHIGAN                 ,KENT,"-997,152","-2,672,350","-1,984,130","-1,209,393","-1,114,083","-4,832",,,,,,
23410,MICHIGAN                 ,KEWEENAW,"5,163",176,"-7,405","-3,951","-6,011","-14,541",,,,,,
23420,MICHIGAN                 ,LAKE,"-97,805","-113,490","-62,612","-79,600","-37,702","-2,482",,,,,,
23430,MICHIGAN                 ,LAPEER,"-285,311","-283,930","-320,767","-292,475","-197,238","-5,904",,,,,,
23440,MICHIGAN                 ,LEELANAU,"-8,253","-32,041","-8,480","-24,114","-20,671",-290,,,,,,
23450,MICHIGAN                 ,LENAWEE,"-136,112","-171,206","-124,613","-311,376","-307,102",-142,,,,,,
23460,MICHIGAN                 ,LIVINGSTON,"234,111","55,335","191,137","189,923","77,437","-201,239",,,,,,
23470,MICHIGAN                 ,LUCE,"-13,064","-25,427","-8,641","-9,758","-6,455","-270,335",,,,,,
23480,MICHIGAN                 ,MACKINAC,"3,709","-10,408","-3,572","-16,740","-14,516","-677,209",,,,,,
23490,MICHIGAN                 ,MACOMB,"-701,864","-2,046,220","-2,025,836","-2,103,311","-2,559,476","-20,729",,,,,,
23500,MICHIGAN                 ,MANISTEE,"-61,615","-72,431","-20,763","-35,638","-67,229","-1,062,775",,,,,,
23510,MICHIGAN                 ,MARQUETTE,"-14,773","-36,648","-24,705","-60,530","-20,976","-72,570",,,,,,
