"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
04610,ARKANSAS,ST. FRANCIS,"3,048","1,118,507",31,"1,118,508",31,0,0,0,"2,856",0,0
04620,ARKANSAS,SALINE,"7,171","3,473,174",40,"3,473,174",40,0,0,0,"6,741",0,0
04630,ARKANSAS,SCOTT,"1,441","406,492",24,"406,491",24,0,0,0,"1,348",0,0
04640,ARKANSAS,SEARCY,"1,525","326,279",18,"326,278",18,0,0,0,"1,439",0,0
04650,ARKANSAS,SEBASTIAN,"12,471","5,487,567",37,"5,487,566",37,0,0,0,"11,389",0,0
04660,ARKANSAS,SEVIER,"1,912","1,202,650",52,"1,202,649",52,0,0,0,"1,792",0,0
04670,ARKANSAS,SHARP,"3,540","644,247",15,"644,248",15,0,0,0,"3,379",0,0
04680,ARKANSAS,STONE,"2,326","474,670",17,"474,671",17,0,0,0,"2,189",0,0
04690,ARKANSAS,UNION,"6,123","2,320,268",32,"2,320,268",32,0,0,0,"5,760",0,0
04700,ARKANSAS,VAN BUREN,"3,025","898,703",25,"898,704",25,0,0,0,"2,860",0,0
04710,ARKANSAS,WASHINGTON,"18,784","6,701,239",30,"6,701,240",30,0,0,0,"16,619",0,0
04720,ARKANSAS,WHITE,"10,553","2,351,625",19,"2,351,625",19,0,0,0,"9,872",0,0
04730,ARKANSAS,WOODRUFF,"1,224","118,653",8,"118,653",8,0,0,0,"1,153",0,0
04740,ARKANSAS,YELL,"2,879","610,518",18,"610,517",18,0,0,0,"2,700",0,0
05000,CALIFORNIA,ALAMEDA,"91,300","48,968,617",45,"48,968,618",45,0,0,0,"80,912",0,0
05010,CALIFORNIA,ALPINE,152,"21,790",12,"21,790",12,0,0,0,142,0,0
05020,CALIFORNIA,AMADOR,"6,621","1,682,997",21,"1,682,998",21,0,0,0,"6,217",0,0
05030,CALIFORNIA,BUTTE,"34,677","7,262,674",17,"7,262,673",17,0,0,0,"33,277",0,0
05040,CALIFORNIA,CALAVERAS,"8,347","1,909,251",19,"1,909,251",19,0,0,0,"7,807",0,0
05050,CALIFORNIA,COLUSA,"2,512","433,283",14,"433,283",14,0,0,0,"2,367",0,0
05060,CALIFORNIA,CONTRA COSTA,"73,234","55,327,240",63,"55,327,239",63,0,0,0,"62,703",0,0
05070,CALIFORNIA,DEL NORTE,"3,731","279,813",6,"279,813",6,0,0,0,"3,608",0,0
05080,CALIFORNIA,EL DORADO,"19,773","7,907,280",33,"7,907,280",33,0,0,0,"17,724",0,0
05090,CALIFORNIA,FRESNO,"66,568","24,019,870",30,"24,019,870",30,0,0,0,"62,922",0,0
05100,CALIFORNIA,GLENN,"3,875","571,275",12,"571,275",12,0,0,0,"3,735",0,0
05110,CALIFORNIA,HUMBOLDT,"18,201","6,478,257",30,"6,478,257",30,0,0,0,"17,238",0,0
05120,CALIFORNIA,IMPERIAL,"17,908","2,088,945",10,"2,088,945",10,0,0,0,"16,629",0,0
05130,CALIFORNIA,INYO,"2,594","63,514",2,"63,514",2,0,0,0,"2,489",0,0
05140,CALIFORNIA,KERN,"47,599","29,882,139",52,"29,882,139",52,0,0,0,"44,068",0,0
05150,CALIFORNIA,KINGS,"10,127","1,257,538",10,"1,257,539",10,0,0,0,"9,578",0,0
05160,CALIFORNIA,LAKE,"11,023","2,569,282",19,"2,569,282",19,0,0,0,"10,388",0,0
05170,CALIFORNIA,LASSEN,"3,453","191,745",5,"191,746",5,0,0,0,"3,214",0,0
05200,CALIFORNIA,LOS ANGELES,"581,185","395,155,332",57,"395,155,331",57,0,0,0,"534,260",0,0
05300,CALIFORNIA,MADERA,"12,345","3,672,246",25,"3,672,246",25,0,0,0,"11,309",0,0
05310,CALIFORNIA,MARIN,"29,837","18,035,157",50,"18,035,157",50,0,0,0,"25,966",0,0
05320,CALIFORNIA,MARIPOSA,"3,293","719,199",18,"719,200",18,0,0,0,"3,082",0,0
05330,CALIFORNIA,MENDOCINO,"14,191","1,699,439",10,"1,699,438",10,0,0,0,"13,404",0,0
05340,CALIFORNIA,MERCED,"22,129","3,589,851",14,"3,589,850",14,0,0,0,"20,962",0,0
05350,CALIFORNIA,MODOC,"1,619","67,464",3,"67,464",3,0,0,0,"1,549",0,0
05360,CALIFORNIA,MONO,"1,946","132,466",6,"132,466",6,0,0,0,"1,796",0,0
05370,CALIFORNIA,MONTEREY,"45,414","10,787,250",20,"10,787,250",20,0,0,0,"41,841",0,0
05380,CALIFORNIA,NAPA,"13,824","6,666,683",40,"6,666,683",40,0,0,0,"11,914",0,0
05390,CALIFORNIA,NEVADA,"16,344","5,071,447",26,"5,071,447",26,0,0,0,"15,355",0,0
05400,CALIFORNIA,ORANGE,"201,993","160,385,830",66,"160,385,830",66,0,0,0,"174,401",0,0
05410,CALIFORNIA,PLACER,"32,854","19,392,674",49,"19,392,673",49,0,0,0,"29,280",0,0
05420,CALIFORNIA,PLUMAS,"4,107","452,511",9,"452,511",9,0,0,0,"3,879",0,0
05430,CALIFORNIA,RIVERSIDE,"118,293","120,335,437",85,"120,335,438",85,0,0,0,"105,942",0,0
05440,CALIFORNIA,SACRAMENTO,"83,358","47,200,239",47,"47,200,239",47,0,0,0,"77,265",0,0
05450,CALIFORNIA,SAN BENITO,"5,410","1,081,231",17,"1,081,231",17,0,0,0,"4,952",0,0
05460,CALIFORNIA,SAN BERNARDINO,"82,598","89,646,695",90,"89,646,696",90,0,0,0,"72,548",0,0
05470,CALIFORNIA,SAN DIEGO,"207,370","143,166,529",58,"143,166,530",58,0,0,0,"182,423",0,0
05480,CALIFORNIA,SAN FRANCISCO,"64,087","30,065,686",39,"30,065,686",39,0,0,0,"58,372",0,0
05490,CALIFORNIA,SAN JOAQUIN,"46,678","13,407,291",24,"13,407,290",24,0,0,0,"44,173",0,0
05500,CALIFORNIA,SAN LUIS OBISPO,"40,024","12,424,741",26,"12,424,741",26,0,0,0,"37,908",0,0
05510,CALIFORNIA,SAN MATEO,"57,891","40,918,734",59,"40,918,734",59,0,0,0,"48,782",0,0
05520,CALIFORNIA,SANTA BARBARA,"47,986","16,317,673",28,"16,317,673",28,0,0,0,"44,680",0,0
