AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"-607,434","-488,896","-477,108","-426,185","-300,084",,,,,,,,,,,
04630,ARKANSAS                 ,SCOTT,"69,375","58,762","100,943","122,540","74,914",,,,,,,,,,,
04640,ARKANSAS                 ,SEARCY,"-32,832","-23,253","-17,897","-29,564","-23,655",,,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"637,107","506,858","961,758","1,044,133","462,785",,,,,,,,,,,
04660,ARKANSAS                 ,SEVIER,"-66,361","-56,574","-52,255","-69,660","-44,269",,,,,,,,,,,
04670,ARKANSAS                 ,SHARP,"-51,226","-29,823","-24,384","-24,728","-12,661",,,,,,,,,,,
04680,ARKANSAS                 ,STONE,"-62,394","-36,371","-46,562","-35,954","-20,304",,,,,,,,,,,
04690,ARKANSAS                 ,UNION,"-106,994","-107,135","-127,293","-115,231","-74,706",,,,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-103,145","-102,207","-94,384","-81,952","-64,764",,,,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-506,083","126,722","117,985","-1,049,429","-925,716",,,,,,,,,,,
04720,ARKANSAS                 ,WHITE,"-211,180","-201,161","-184,285","-163,447","-115,580",,,,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-31,069","-23,815","-15,974","-20,462","-10,408",,,,,,,,,,,
04740,ARKANSAS                 ,YELL,"-141,485","-110,167","-120,039","-99,040","-72,206",,,,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"18,192,208","13,539,864","12,487,847","11,028,693","5,275,377",,,,,,,,,,,
05010,CALIFORNIA               ,ALPINE,"9,230","5,981","8,245","2,836","14,896",,,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,"1,964,353","1,739,427","1,700,323","1,810,666","1,154,894",,,,,,,,,,,
05030,CALIFORNIA               ,BUTTE,"6,295,263","7,234,762","7,878,988","9,890,607","4,107,230",,,,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,"1,721,513","1,201,602","1,309,458","1,387,966","814,880",,,,,,,,,,,
05050,CALIFORNIA               ,COLUSA,"409,256","399,781","409,337","486,339","211,731",,,,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"10,255,009","8,293,666","8,344,547","9,522,536","3,706,755",,,,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,"81,259","157,823","170,754","72,542","55,440",,,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"5,205,578","4,537,346","4,589,461","4,723,540","2,191,694",,,,,,,,,,,
