"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
05410,CALIFORNIA               ,PLACER,"-262,786","-387,580","-316,652","-444,923","-305,616","-3,816,772",,,,,,
05420,CALIFORNIA               ,PLUMAS,"-83,468","-48,011","-73,450","-76,714","-30,837","-40,395",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-353,117","156,513","173,928","-53,739","56,100",-868,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"-2,799,844","-2,833,143","-3,118,745","-3,902,181","-3,542,539",0,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"-94,948","-86,676","-109,729","-122,891","-96,826","-41,870",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"-892,984","-141,519","564,318","498,955","783,989","-28,156",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"-5,484,243","-4,643,166","-5,106,366","-5,748,114","-4,678,755","-6,133",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-1,699,529","-1,992,999","-1,708,205","-2,131,080","-1,976,879","-56,958",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-1,261,193","-1,527,489","-1,216,754","-1,281,575","-921,324","-86,823",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"-169,513","-303,234","-269,864","-319,407","-388,290","-4,943",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-374,455","-364,985","-211,012","-316,729","-215,957","-3,043",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"-679,023","-712,995","-558,187","-740,730","-746,261","-300,120",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-1,986,437","-2,996,277","-3,059,721","-3,048,651","-2,834,628","-11,758",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"-814,194","-832,346","-921,595","-1,073,691","-819,997","-23,722",,,,,,
05550,CALIFORNIA               ,SHASTA,"-650,803","-800,298","-1,253,557","-1,325,974","-1,228,843","-183,162",,,,,,
05560,CALIFORNIA               ,SIERRA,"-8,655","-4,888","-6,193","3,313","-2,338","-80,262",,,,,,
05570,CALIFORNIA               ,SISKIYOU,"-51,283","-64,406","-166,019","-113,038","-134,346","-8,843",,,,,,
05580,CALIFORNIA               ,SOLANO,"-1,097,130","-1,158,775","-1,156,448","-1,153,069","-811,945","-541,845",,,,,,
05590,CALIFORNIA               ,SONOMA,"-896,585","-1,163,197","-1,127,266","-912,159","-584,817","-666,709",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"-956,243","-980,597","-751,975","-1,253,927","-974,427","-13,299",,,,,,
05610,CALIFORNIA               ,SUTTER,"-742,684","-584,962","-590,868","-576,137","-138,509","-310,056",,,,,,
05620,CALIFORNIA               ,TEHAMA,"-176,023","-197,688","-173,636","-252,180","-182,792",-121,,,,,,
05630,CALIFORNIA               ,TRINITY,"-85,767","-119,596","-210,821","-245,367","-177,796","-831,870",,,,,,
05640,CALIFORNIA               ,TULARE,"-1,662,355","-1,825,202","-1,722,969","-1,343,068","-1,427,181","-284,140",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"-199,901","-146,958","-121,456","-145,973","-160,860","-348,749",,,,,,
05660,CALIFORNIA               ,VENTURA,"-814,837","-707,863","-886,441","-889,473","-891,534","-91,213",,,,,,
05670,CALIFORNIA               ,YOLO,"-239,836","-335,284","-298,743","-210,486","-233,823","-46,200",,,,,,
05680,CALIFORNIA               ,YUBA,"-638,043","-654,660","-535,463","-459,364","-128,241","-191,368",,,,,,
06000,COLORADO                 ,ADAMS,"201,504","238,074","131,378","-8,459","-14,866","-517,428",,,,,,
06010,COLORADO                 ,ALAMOSA,"-14,850","-3,487","2,924","-4,163","-6,738","-61,314",,,,,,
06020,COLORADO                 ,ARAPAHOE,"193,570","181,521","240,851","119,340","145,393","-86,591",,,,,,
06030,COLORADO                 ,ARCHULETA,740,16,977,"-3,119","-6,419","-1,266",,,,,,
06040,COLORADO                 ,BACA,-32,-226,"-2,641",-657,"-7,836","-12,419",,,,,,
06050,COLORADO                 ,BENT,"-7,550","-5,826","-5,305","-9,944","-6,201","-99,421",,,,,,
06060,COLORADO                 ,BOULDER,"26,228","-15,692","44,325","-15,450","16,263","-79,161",,,,,,
06070,COLORADO                 ,CHAFFEE,277,119,"-8,440","-6,393","-3,657","-270,576",,,,,,
06080,COLORADO                 ,CHEYENNE,"-1,473",-725,223,156,800,"-19,456",,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-9,573",294,"2,671","1,402","-7,189","-13,264",,,,,,
06100,COLORADO                 ,CONEJOS,"-11,033","5,771","-6,139","-2,675","2,846","-11,184",,,,,,
06110,COLORADO                 ,COSTILLA,"-9,649",103,-494,177,"-1,223","-29,312",,,,,,
06120,COLORADO                 ,CROWLEY,"-6,798","-4,739","-3,950","-8,012","-2,767","-19,923",,,,,,
06130,COLORADO                 ,CUSTER,"-3,825",24,"-3,116","-11,997","-1,633","-328,965",,,,,,
06140,COLORADO                 ,DELTA,"-6,527","-5,877","-20,222","-6,123","-8,877","-30,095",,,,,,
06150,COLORADO                 ,DENVER,"1,511,063","1,300,249","1,399,341","1,168,318","845,103","-14,500",,,,,,
06160,COLORADO                 ,DOLORES,228,"1,113",-12,172,893,0,,,,,,
06170,COLORADO                 ,DOUGLAS,"14,619","10,674","2,540","-7,782","6,836",0,,,,,,
06180,COLORADO                 ,EAGLE,440,"-20,779",147,"-6,210","2,331","-1,011",,,,,,
06190,COLORADO                 ,ELBERT,-520,"6,967","3,294","-5,183","-10,518",-662,,,,,,
06200,COLORADO                 ,EL PASO,"13,112","47,892","-18,669","-39,780","-30,122","-94,417",,,,,,
06210,COLORADO                 ,FREMONT,"-21,426","-30,600","-28,718","-27,394","-26,961","-2,145",,,,,,
06220,COLORADO                 ,GARFIELD,795,"-4,796","2,430","-18,234","-2,568","-114,056",,,,,,
06230,COLORADO                 ,GILPIN,"2,854",384,-671,"3,218",286,-643,,,,,,
06240,COLORADO                 ,GRAND,"2,547","-5,612","-4,281","7,930","-4,678",-282,,,,,,
06250,COLORADO                 ,GUNNISON,"2,633","-1,982","1,009","-1,568",-346,"-2,654",,,,,,
06260,COLORADO                 ,HINSDALE,0,0,-894,0,0,-298,,,,,,
06270,COLORADO                 ,HUERFANO,"-2,526","-6,194","-9,867","-10,822","-14,973","-5,345",,,,,,
06280,COLORADO                 ,JACKSON,-81,-457,"-6,754",-710,"-3,944","-1,682",,,,,,
06290,COLORADO                 ,JEFFERSON,"223,203","281,504","309,397","284,829","133,695",0,,,,,,
06300,COLORADO                 ,KIOWA,-329,"-2,267",-538,-34,0,-89,,,,,,
06310,COLORADO                 ,KIT CARSON,"3,854",-514,"4,171","-8,014","-3,061",212,,,,,,
06320,COLORADO                 ,LAKE,"4,459","2,089","-7,092",163,-389,236,,,,,,
06330,COLORADO                 ,LA PLATA,"-6,245","2,236","-21,324","-13,274","-6,643",-598,,,,,,
06340,COLORADO                 ,LARIMER,"-16,540","-32,431","-50,937","-68,505","-6,525",-809,,,,,,
06350,COLORADO                 ,LAS ANIMAS,"-4,851","-7,798","-9,047","-17,465","-19,152","-2,337",,,,,,
06360,COLORADO                 ,LINCOLN,"-7,817","-1,267","-22,973",-708,"-8,144","-161,492",,,,,,
06370,COLORADO                 ,LOGAN,"-4,525","-5,261","-4,768","-14,754","1,957",0,,,,,,
06380,COLORADO                 ,MESA,"-10,583","-41,003","1,343",762,"-18,984","-13,263",,,,,,
06390,COLORADO                 ,MINERAL,-75,0,223,0,0,"-2,003",,,,,,
06400,COLORADO                 ,MOFFAT,"1,869",561,-221,"3,252",563,"-1,424",,,,,,
06410,COLORADO                 ,MONTEZUMA,"-1,353","-1,011","-13,734","-12,861","-3,126","-108,191",,,,,,
06420,COLORADO                 ,MONTROSE,"1,472","-5,347","3,752","-5,084","-2,351","-10,488",,,,,,
06430,COLORADO                 ,MORGAN,"-16,955","-10,011","-24,193","-17,930","-4,538",-814,,,,,,
06440,COLORADO                 ,OTERO,"-32,943","-51,067","-43,956","-41,355","-18,920",-759,,,,,,
06450,COLORADO                 ,OURAY,0,"-1,201",0,-131,-583,-420,,,,,,
06460,COLORADO                 ,PARK,"-1,681","3,348","-6,061",997,"-1,467",0,,,,,,
06470,COLORADO                 ,PHILLIPS,-479,-804,"-2,654",-9,"-1,433",0,,,,,,
06480,COLORADO                 ,PITKIN,"7,270","-2,369",0,-617,-67,"-1,569",,,,,,
06490,COLORADO                 ,PROWERS,"-16,876","-15,257","-5,803","-15,289","-16,955",-125,,,,,,
06500,COLORADO                 ,PUEBLO,"-131,894","-268,494","-157,051","-155,679","-170,623","-55,381",,,,,,
06510,COLORADO                 ,RIO BLANCO,112,0,603,"-5,301","1,127",0,,,,,,
06520,COLORADO                 ,RIO GRANDE,"-8,383","-15,117","-12,971","-3,611",-176,-420,,,,,,
06530,COLORADO                 ,ROUTT,"-13,352","1,356",895,-595,"-10,612","-1,323",,,,,,
06540,COLORADO                 ,SAGUACHE,"-3,904","-1,868",613,"2,546","-3,052","-1,253",,,,,,
06550,COLORADO                 ,SAN JUAN,-195,0,0,"-1,587",0,"-28,085",,,,,,
06560,COLORADO                 ,SAN MIGUEL,0,0,141,-125,0,"-2,528",,,,,,
06570,COLORADO                 ,SEDGWICK,"-3,994","-2,903",-323,0,"1,432",-855,,,,,,
06580,COLORADO                 ,SUMMIT,"1,637",866,"-5,759","4,129",-748,"-4,653",,,,,,
06590,COLORADO                 ,TELLER,"2,973","1,165","-6,508","-10,345","-13,004","-9,866",,,,,,
06600,COLORADO                 ,WASHINGTON,-506,"-2,185",960,"-2,548","3,638",0,,,,,,
06610,COLORADO                 ,WELD,"-92,477","-154,037","-168,912","-137,088","-83,142",0,,,,,,
06620,COLORADO                 ,YUMA,-544,"-15,000","-3,682","-5,697","-4,741","-6,020",,,,,,
06630,COLORADO                 ,BROOMFIELD,"15,465","17,072","8,215","-7,497","8,036","-1,762",,,,,,
07000,CONNECTICUT              ,FAIRFIELD,"435,899","434,672","238,883","-268,802","-529,081","-5,948",,,,,,
07010,CONNECTICUT              ,HARTFORD,"235,138","57,835","-348,616","-999,627","-1,103,572","-5,461",,,,,,
07020,CONNECTICUT              ,LITCHFIELD,"-55,876","-1,033","-116,824","-267,371","-146,411",540,,,,,,
07030,CONNECTICUT              ,MIDDLESEX,"100,869","92,679","64,297","-55,517","-104,287","-2,992",,,,,,
07040,CONNECTICUT              ,NEW HAVEN,"836,903","958,889","152,412","-826,100","-1,603,488","-2,131",,,,,,
07050,CONNECTICUT              ,NEW LONDON,"123,011","68,083","-117,668","-386,892","-427,139",-636,,,,,,
07060,CONNECTICUT              ,TOLLAND,"2,111","-19,828","-55,659","-90,588","-93,159","-2,847",,,,,,
07070,CONNECTICUT              ,WINDHAM,"-68,998","-70,999","-141,142","-207,184","-256,732","-55,146",,,,,,
08000,DELAWARE                 ,KENT,"-376,039","-364,144","-313,659","-341,939","-331,076",-456,,,,,,
08010,DELAWARE                 ,NEW CASTLE,"-291,088","-344,029","-368,786","-305,647","-497,977",44,,,,,,
08020,DELAWARE                 ,SUSSEX,"-259,191","-198,200","-202,418","-254,266","-273,306","-2,374",,,,,,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"-1,337,159","-1,086,164","-1,328,502","-1,405,187","-1,191,975","-1,785",,,,,,
10000,FLORIDA                  ,ALACHUA,"-67,395","-79,375","-105,351","-8,386","-71,227",0,,,,,,
10010,FLORIDA                  ,BAKER,"6,143","22,405","20,083","44,891","2,859",-173,,,,,,
10020,FLORIDA                  ,BAY,"-662,084","-633,833","-526,802","-542,456","-264,134",57,,,,,,
10030,FLORIDA                  ,BRADFORD,"-35,457","-27,609","-17,967","-19,503","-39,606","-3,861",,,,,,
10040,FLORIDA                  ,BREVARD,"535,193","613,566","852,119","711,008","484,879",-558,,,,,,
10050,FLORIDA                  ,BROWARD,"2,887,375","3,532,479","1,501,792","1,661,893","1,857,492","-8,452",,,,,,
10060,FLORIDA                  ,CALHOUN,"-48,711","-50,746","-13,387","-12,705","-8,130","-2,591",,,,,,
10070,FLORIDA                  ,CHARLOTTE,"86,712","19,946","16,932","-22,521","-43,950","-9,660",,,,,,
10080,FLORIDA                  ,CITRUS,"-51,656","-24,890","-49,384","-65,593","-46,322",-89,,,,,,
10090,FLORIDA                  ,CLAY,"29,185",-229,-264,"-55,851","-36,650","-160,982",,,,,,
10100,FLORIDA                  ,COLLIER,"45,421",-818,"-13,247","14,128","-5,873",0,,,,,,
10110,FLORIDA                  ,COLUMBIA,"70,347","53,720","6,876","17,016","23,663","-193,870",,,,,,
10120,FLORIDA                  ,MIAMI-DADE,"-3,740,416","-2,401,178","-739,779","129,346","864,597",0,,,,,,
10130,FLORIDA                  ,DESOTO,"-1,654","5,415","7,807","-2,890","-15,508","-30,446",,,,,,
10140,FLORIDA                  ,DIXIE,"-24,473","-23,248","-27,361","-33,219","-18,799","-32,831",,,,,,
10150,FLORIDA                  ,DUVAL,"604,365","1,035,053","1,033,213","1,353,666","694,934","-556,298",,,,,,
10160,FLORIDA                  ,ESCAMBIA,"-524,351","-474,578","-496,962","-459,995","-354,595","-79,951",,,,,,
10170,FLORIDA                  ,FLAGLER,"-5,680","-23,046","-22,721","-28,261","-17,533","-12,537",,,,,,
10180,FLORIDA                  ,FRANKLIN,"-15,779","-21,971","-9,693","-19,376",437,"-24,955",,,,,,
10190,FLORIDA                  ,GADSDEN,"-27,262","-22,623","-25,309","-31,494","-1,909","-41,050",,,,,,
10200,FLORIDA                  ,GILCHRIST,"9,453","14,170","-3,915","-12,269","11,618","-187,364",,,,,,
10210,FLORIDA                  ,GLADES,"-7,708",49,"-1,825","-6,245","-1,427","-20,702",,,,,,
10220,FLORIDA                  ,GULF,"-60,175","-45,311","-45,189","-49,533","-11,107",0,,,,,,
10230,FLORIDA                  ,HAMILTON,"-25,960","5,302",-89,"-24,090","-30,940",-793,,,,,,
10240,FLORIDA                  ,HARDEE,"-18,675","-17,965","-41,182","-30,420","-44,507","-424,551",,,,,,
10250,FLORIDA                  ,HENDRY,"-23,351","22,824","-35,915","-4,041","-29,511",0,,,,,,
10260,FLORIDA                  ,HERNANDO,"-14,278","-26,583","-12,765","-37,019","25,997",0,,,,,,
10270,FLORIDA                  ,HIGHLANDS,"-138,340","-210,001","-181,197","-162,763","-130,003",0,,,,,,
10280,FLORIDA                  ,HILLSBOROUGH,"1,178,583","1,219,570","1,227,248","1,219,406","613,233",0,,,,,,
10290,FLORIDA                  ,HOLMES,"-73,990","-62,828","-40,782","-44,701","-20,029",-653,,,,,,
10300,FLORIDA                  ,INDIAN RIVER,"8,970","9,716","-9,510","2,963","20,400",0,,,,,,
10310,FLORIDA                  ,JACKSON,"-128,854","-194,449","-147,315","-118,644","-94,868","-88,753",,,,,,
10320,FLORIDA                  ,JEFFERSON,"-9,508","-19,638","-14,866","-29,640","-15,496","10,162",,,,,,
10330,FLORIDA                  ,LAFAYETTE,-724,"-2,795",-79,"-13,840","1,091","36,602",,,,,,
10340,FLORIDA                  ,LAKE,"29,387","11,934","-17,740","-109,656","-63,415","-7,508",,,,,,
10350,FLORIDA                  ,LEE,"-69,182","-84,885","-68,466","-66,453","-111,833","260,831",,,,,,
10360,FLORIDA                  ,LEON,"-50,178","-51,980","-48,081","-5,416","-17,210","203,079",,,,,,
10370,FLORIDA                  ,LEVY,"7,227","3,985","-20,108","-15,133","-53,209",161,,,,,,
10380,FLORIDA                  ,LIBERTY,"-29,153",560,"-2,953","14,420","-4,351","-12,414",,,,,,
10390,FLORIDA                  ,MADISON,"-17,216","-13,831","-9,064","-32,237","-14,984","5,921",,,,,,
10400,FLORIDA                  ,MANATEE,"-72,835","-69,980","-127,567","-171,841","-41,554","4,153",,,,,,
10410,FLORIDA                  ,MARION,"248,728","-13,346",-288,"-64,813","-18,520","13,405",,,,,,
10420,FLORIDA                  ,MARTIN,"13,377","12,731","27,920","-47,439","12,855",0,,,,,,
10430,FLORIDA                  ,MONROE,"-169,137","-215,517","-158,184","-128,450","-42,687",0,,,,,,
10440,FLORIDA                  ,NASSAU,"-5,428","8,618","-12,754","36,508","20,438","16,932",,,,,,
10450,FLORIDA                  ,OKALOOSA,"-146,671","-127,695","-152,166","-150,113","-149,946","564,052",,,,,,
10460,FLORIDA                  ,OKEECHOBEE,"-20,452","-20,258","-74,555","-65,709","-10,229","-3,193",,,,,,
10470,FLORIDA                  ,ORANGE,"1,178,925","1,081,198","1,264,098","1,291,146","641,211","-5,062",,,,,,
10480,FLORIDA                  ,OSCEOLA,"93,213","141,962","4,807","160,164","128,146","488,078",,,,,,
10490,FLORIDA                  ,PALM BEACH,"1,395,990","1,400,308","1,136,970","1,218,951","852,189","68,197",,,,,,
10500,FLORIDA                  ,PASCO,"513,072","701,367","788,156","728,393","462,347","6,216",,,,,,
10510,FLORIDA                  ,PINELLAS,"555,705","834,988","534,748","763,944","630,308","1,648",,,,,,
10520,FLORIDA                  ,POLK,"-31,642","-124,714","-213,496","-216,246","-79,241","-5,735",,,,,,
10530,FLORIDA                  ,PUTNAM,"-110,267","-142,956","-209,922","-182,383","-88,017","-7,965",,,,,,
10540,FLORIDA                  ,ST. JOHNS,"-147,719","-124,385","7,043","10,897","14,962",0,,,,,,
10550,FLORIDA                  ,ST. LUCIE,"5,094","73,925","-68,175","-13,951","-26,465","2,264",,,,,,
10560,FLORIDA                  ,SANTA ROSA,"-181,067","-230,300","-232,771","-166,377","-92,478",100,,,,,,
10570,FLORIDA                  ,SARASOTA,"52,618","42,372","-20,462","-101,854","-184,042","1,819",,,,,,
10580,FLORIDA                  ,SEMINOLE,"235,038","311,488","263,951","330,539","160,801","8,157",,,,,,
10590,FLORIDA                  ,SUMTER,"6,517","-29,049","-20,180","-26,369","-34,306","-9,694",,,,,,
10600,FLORIDA                  ,SUWANNEE,"-15,073","-43,379","-74,301","-48,869","8,889","20,959",,,,,,
10610,FLORIDA                  ,TAYLOR,"-51,038","-43,615","-42,179","-37,909","-9,304","18,106",,,,,,
10620,FLORIDA                  ,UNION,"-16,684","-5,409","-19,027","12,500","4,347","234,416",,,,,,
10630,FLORIDA                  ,VOLUSIA,"248,359","39,576","-72,481","-72,749","38,942",992,,,,,,
10640,FLORIDA                  ,WAKULLA,"-36,155","-4,817","-33,974","-6,156","-7,594","13,699",,,,,,
10650,FLORIDA                  ,WALTON,"-59,203","-71,225","-52,230","-67,210","-86,488","-6,458",,,,,,
10660,FLORIDA                  ,WASHINGTON,"-87,657","-93,488","-95,743","-87,133","-18,240","-1,677",,,,,,
11000,GEORGIA                  ,APPLING,"-5,899","12,244","10,563","11,019","4,929","-2,763",,,,,,
11010,GEORGIA                  ,ATKINSON,"-12,412","-17,176","-13,142","-7,966","-11,843","49,983",,,,,,
11011,GEORGIA                  ,BACON,"-27,844","-18,344","-6,764","-15,550","-9,398","-44,985",,,,,,
11020,GEORGIA                  ,BAKER,"-4,752","-4,910",320,528,"-1,010","17,954",,,,,,
11030,GEORGIA                  ,BALDWIN,"-164,994","-121,792","-78,844","-82,504","-60,429","-25,903",,,,,,
11040,GEORGIA                  ,BANKS,"-28,608","-28,279","-29,916","-25,056","-19,073",-192,,,,,,
11050,GEORGIA                  ,BARROW,"-104,572","-90,713","-150,732","-115,535","-113,954","1,100",,,,,,
11060,GEORGIA                  ,BARTOW,"-167,390","-189,983","-291,161","-226,175","-168,797","-10,668",,,,,,
11070,GEORGIA                  ,BEN HILL,"-82,145","-89,159","-61,089","-53,900","-28,827","-2,374",,,,,,
11080,GEORGIA                  ,BERRIEN,"-113,930","-93,208","-76,434","-68,474","-59,436","-5,536",,,,,,
11090,GEORGIA                  ,BIBB,"-630,539","-798,255","-362,362","-503,982","-338,299","-1,873",,,,,,
11100,GEORGIA                  ,BLECKLEY,"-23,307","-32,398","-6,315","-9,950","-12,963","23,880",,,,,,
11110,GEORGIA                  ,BRANTLEY,"-21,738","-23,865","-16,705","-45,977","-4,069","-18,419",,,,,,
11120,GEORGIA                  ,BROOKS,"-39,190","-28,103","-14,096","-30,701","-27,365","8,747",,,,,,
11130,GEORGIA                  ,BRYAN,"-61,717","-64,146","-29,108","1,645","-16,184","364,396",,,,,,
11140,GEORGIA                  ,BULLOCH,"-286,132","-258,865","-218,016","-188,862","-112,357","17,435",,,,,,
11150,GEORGIA                  ,BURKE,"-54,530","-69,501","-48,924","-41,070","-21,453",-179,,,,,,
11160,GEORGIA                  ,BUTTS,"-89,702","-54,716","-48,091","-39,731","-56,149","-175,661",,,,,,
11161,GEORGIA                  ,CALHOUN,"-44,789","-19,701","-15,133","-35,139","-17,988","175,124",,,,,,
11170,GEORGIA                  ,CAMDEN,"-37,185","-59,076","10,048","-9,372","9,406",0,,,,,,
11180,GEORGIA                  ,CANDLER,"-47,684","-71,941","-55,264","-42,492","-23,516","228,171",,,,,,
11190,GEORGIA                  ,CARROLL,"-81,572","-48,320","-104,355","-47,897","-129,784","79,103",,,,,,
11200,GEORGIA                  ,CATOOSA,"-21,908","-40,599","-28,364","-77,993","-71,869","-15,375",,,,,,
11210,GEORGIA                  ,CHARLTON,"-1,611","5,975",963,"-10,702","-1,239","7,288",,,,,,
11220,GEORGIA                  ,CHATHAM,"-294,593","-251,197","-180,030","-78,146","-115,167","36,719",,,,,,
11230,GEORGIA                  ,CHATTAHOOCHEE,"5,164","-5,680","7,650",414,"4,559","2,295",,,,,,
11240,GEORGIA                  ,CHATTOOGA,"-107,460","-77,850","-108,167","-71,727","-81,783","-23,156",,,,,,
11250,GEORGIA                  ,CHEROKEE,"6,034","21,746","9,688","7,205","14,310","93,863",,,,,,
11260,GEORGIA                  ,CLARKE,"-185,695","-179,430","-202,091","-191,993","-152,740","4,627",,,,,,
11270,GEORGIA                  ,CLAY,-362,894,"-3,400","-2,069","-5,530","7,685",,,,,,
11280,GEORGIA                  ,CLAYTON,"-89,273","109,668","236,417","295,312","172,047","-4,745",,,,,,
11281,GEORGIA                  ,CLINCH,"-27,297","2,072","-27,294","-24,151","-16,421","-7,484",,,,,,
11290,GEORGIA                  ,COBB,"122,765","106,987","48,061","119,380","220,157","67,450",,,,,,
11291,GEORGIA                  ,COFFEE,"-95,108","-82,848","-54,688","-19,736","-39,264","8,020",,,,,,
11300,GEORGIA                  ,COLQUITT,"-92,239","-150,589","-97,836","-131,064","-50,286","3,491",,,,,,
11310,GEORGIA                  ,COLUMBIA,"-148,248","-112,574","-95,513","-126,706","-48,622",265,,,,,,
11311,GEORGIA                  ,COOK,"-80,064","-30,423","-26,166","-34,009","-33,139",-847,,,,,,
11320,GEORGIA                  ,COWETA,"34,113","-1,412","17,261","-20,389","-50,857",0,,,,,,
11330,GEORGIA                  ,CRAWFORD,"-4,827","-6,307","-14,925","-13,489","-11,095","-8,084",,,,,,
11340,GEORGIA                  ,CRISP,"-50,633","-31,590","-39,146","-76,277","-25,183","1,360",,,,,,
11341,GEORGIA                  ,DADE,"-6,800","-8,163","-17,963","-3,530","-30,446","1,762",,,,,,
11350,GEORGIA                  ,DAWSON,"6,428","10,299","-4,151",-399,"-2,125",-885,,,,,,
11360,GEORGIA                  ,DECATUR,"-52,358","-8,435","-55,224","-14,249","-2,765","-14,452",,,,,,
11370,GEORGIA                  ,DEKALB,"446,657","588,565","641,839","831,393","592,867","-1,327",,,,,,
