"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
04640,ARKANSAS                 ,SEARCY,"-14,866","-16,309","-28,056","-37,253","-13,441","-17,594",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-159,707","-267,136","-236,668","-174,537","-124,664","-3,807",,,,,,
04660,ARKANSAS                 ,SEVIER,"-25,606","-13,246","-41,315","-30,261","-28,200","-9,741",,,,,,
04670,ARKANSAS                 ,SHARP,"-141,118","-160,760","-158,908","-154,975","-94,523","-3,109",,,,,,
04680,ARKANSAS                 ,STONE,"-27,922","-55,784","-63,493","-45,260","-36,339","-250,185",,,,,,
04690,ARKANSAS                 ,UNION,"-56,987","-40,047","-62,168","-73,981","-43,480","-10,845",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-29,869","-64,849","-27,909","-37,709","-18,354","-13,074",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-70,784","-66,041","-65,865","-34,296","-29,963","-24,710",,,,,,
04720,ARKANSAS                 ,WHITE,"-300,229","-295,096","-265,862","-362,283","-186,558","-1,562",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-48,446","-47,509","-48,133","-38,486","-16,530","-3,839",,,,,,
04740,ARKANSAS                 ,YELL,"-84,020","-67,284","-73,110","-63,222","-63,357","-62,371",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-4,094,353","-3,803,445","-4,070,278","-3,915,917","-2,942,080","-4,223",,,,,,
05010,CALIFORNIA               ,ALPINE,0,517,"-2,026","-1,197",220,"-12,341",,,,,,
05020,CALIFORNIA               ,AMADOR,"-69,930","-141,200","-142,579","-198,366","-157,725","-5,231",,,,,,
05030,CALIFORNIA               ,BUTTE,"-958,335","-1,119,392","-1,172,077","-1,328,513","-1,410,858","-12,738",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"-140,383","-86,746","-171,881","-152,997","-86,230","-6,563",,,,,,
05050,CALIFORNIA               ,COLUSA,"-100,505","-68,976","-71,135","-66,445","-25,991","-15,450",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-1,554,227","-1,417,382","-1,595,129","-1,410,971","-1,088,813","-29,212",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"-64,626","-69,658","-49,924","-66,771","-65,766","-3,346",,,,,,
05080,CALIFORNIA               ,EL DORADO,"-134,945","-213,841","-333,417","-299,930","-285,190","-4,931",,,,,,
05090,CALIFORNIA               ,FRESNO,"-2,452,124","-2,434,502","-2,185,538","-2,428,680","-1,507,537",0,,,,,,
05100,CALIFORNIA               ,GLENN,"-59,781","-70,636","-65,750","-87,212","-130,626","-460,467",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"-588,719","-665,506","-535,161","-566,755","-618,217",0,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"-630,912","-827,477","-815,089","-858,578","-617,699",0,,,,,,
05130,CALIFORNIA               ,INYO,"-13,283","-25,353","-26,316","-63,836","-13,788","-6,906",,,,,,
05140,CALIFORNIA               ,KERN,"-1,717,219","-1,175,948","-70,256","-385,353","-699,138",0,,,,,,
05150,CALIFORNIA               ,KINGS,"-366,901","-297,413","82,111","-12,162","206,126","-128,317",,,,,,
05160,CALIFORNIA               ,LAKE,"-286,981","-519,182","-678,895","-692,350","-509,170","-17,497",,,,,,
05170,CALIFORNIA               ,LASSEN,"-37,979","-58,741","-36,767","-62,029","-17,175","-2,391",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-14,685,555","-13,478,067","-13,785,328","-11,337,094","-7,352,936","-148,695",,,,,,
05300,CALIFORNIA               ,MADERA,"-327,433","-389,836","-444,016","-504,300","-339,531","-7,179",,,,,,
05310,CALIFORNIA               ,MARIN,"-235,310","-169,142","-152,614","-208,706","-221,626","-39,554",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"-66,993","-65,300","-34,512","-32,893","-76,674","-528,830",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"-431,478","-526,206","-428,660","-360,147","-396,367","-10,077",,,,,,
05340,CALIFORNIA               ,MERCED,"-744,278","-774,051","-883,563","-997,907","-945,452","-50,452",,,,,,
05350,CALIFORNIA               ,MODOC,"-28,076","-38,445","-23,195","-60,331","-11,426","-30,464",,,,,,
05360,CALIFORNIA               ,MONO,-190,"-11,476","-18,341","-9,064",-554,-533,,,,,,
05370,CALIFORNIA               ,MONTEREY,"-233,337","-232,629","-317,396","-748,500","-738,990","-622,181",,,,,,
05380,CALIFORNIA               ,NAPA,"-216,275","-308,687","-237,207","-222,582","-193,658","67,805",,,,,,
05390,CALIFORNIA               ,NEVADA,"-158,465","-138,185","-237,717","-177,073","-184,532","-40,183",,,,,,
05400,CALIFORNIA               ,ORANGE,"-2,322,609","-1,293,447","-744,523","-662,264","-309,527","-8,560",,,,,,
