"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
4240,ARKANSAS,FULTON,14,"174,474",1038.54,"153,069",911.13,"6,319","11,055","4,031",14,"468,837",2790.7
4250,ARKANSAS,GARLAND,127,"2,412,464",1582.98,"2,257,992","1,481.62","10,894","138,625","4,953",124,"4,058,108",2727.22
4260,ARKANSAS,GRANT,8,"262,080",2730,"244,803","2,550.03","2,101","13,407","1,769",8,"418,685",4361.3
4270,ARKANSAS,GREENE,36,"573,340",1327.18,"519,173","1,201.79","8,939","42,219","3,009",36,"1,061,920",2458.15
4280,ARKANSAS,HEMPSTEAD,42,"498,611",989.31,"440,840",874.68,"5,721","49,757","2,293",41,"1,308,505",2659.56
4290,ARKANSAS,HOT SPRING,36,"1,143,932",2647.99,"1,082,872","2,506.65","9,251","49,126","2,683",35,"1,281,124",3050.3
4300,ARKANSAS,HOWARD,27,"574,025",1771.68,"507,287","1,565.70","14,782","47,462","4,494",26,"912,039",2923.2
4310,ARKANSAS,INDEPENDENCE,38,"677,463",1485.66,"589,474","1,292.71","10,788","71,893","5,308",37,"1,277,068",2876.28
4320,ARKANSAS,IZARD,7,"167,320",1991.9,"161,756","1,925.67",74,"5,476",14,7,"225,113",2679.92
4330,ARKANSAS,JACKSON,29,"555,889",1597.38,"503,032","1,445.49","4,547","46,062","2,248",25,"768,457",2561.52
4340,ARKANSAS,JEFFERSON,171,"3,358,082",1636.49,"2,910,079","1,418.17","113,809","277,882","56,312",163,"6,274,847",3208
4350,ARKANSAS,JOHNSON,24,"296,789",1030.52,"274,191",952.05,"2,435","19,698",465,23,"700,910",2539.53
4360,ARKANSAS,LAFAYETTE,17,"491,305",2408.36,"455,114","2,230.95","2,474","32,794",923,15,"557,311",3096.17
4370,ARKANSAS,LAWRENCE,20,"343,313",1430.47,"314,902","1,312.09","2,444","24,817","1,150",20,"749,343",3122.26
4380,ARKANSAS,LEE,23,"260,133",942.51,"219,029",793.58,"9,362","29,000","2,742",23,"1,041,248",3772.64
4390,ARKANSAS,LINCOLN,15,"326,373",1813.18,"283,912","1,577.29","10,602","24,252","7,607",15,"565,142",3139.68
4400,ARKANSAS,LITTLE RIVER,17,"516,965",2534.14,"481,050","2,358.09","2,582","32,207","1,126",16,"544,666",2836.8
4410,ARKANSAS,LOGAN,19,"338,141",1483.07,"306,415","1,343.93","5,539","24,485","1,702",19,"614,685",2695.99
4420,ARKANSAS,LONOKE,64,"1,645,783",2142.95,"1,532,705","1,995.71","21,257","82,665","9,156",59,"2,172,835",3068.98
4430,ARKANSAS,MADISON,21,"277,999",1103.17,"249,102",988.5,"7,306","18,411","3,180",20,"727,430",3030.96
4440,ARKANSAS,MARION,13,"387,658",2484.99,"350,884","2,249.26","17,489","15,256","4,029",12,"475,429",3301.59
4450,ARKANSAS,MILLER,63,"1,596,521",2111.8,"1,418,068","1,875.75","27,604","140,949","9,900",62,"2,114,353",2841.87
4460,ARKANSAS,MISSISSIPPI,91,"1,454,549",1332,"1,245,598","1,140.66","43,375","148,507","17,069",90,"3,255,200",3014.07
4470,ARKANSAS,MONROE,20,"356,940",1487.25,"321,075","1,337.81","6,219","26,930","2,716",20,"764,094",3183.73
4480,ARKANSAS,MONTGOMERY,5,"142,900",2381.67,"136,191","2,269.85",0,"6,709",0,5,"227,924",3798.73
4490,ARKANSAS,NEVADA,16,"94,232",490.79,"81,389",423.9,"1,114","11,158",571,16,"445,566",2320.66
4500,ARKANSAS,NEWTON,1,"16,596",1383,"15,766","1,313.83",282,442,106,1,"83,917",6993.08
4510,ARKANSAS,OUACHITA,50,"999,825",1666.38,"942,187","1,570.31","2,504","54,204",930,49,"1,710,064",2908.27
4520,ARKANSAS,PERRY,8,"156,724",1632.54,"146,780","1,528.96","1,561","7,469",914,8,"326,997",3406.22
4530,ARKANSAS,PHILLIPS,60,"1,158,381",1608.86,"1,040,338","1,444.91","19,685","92,241","6,117",60,"2,370,078",3291.78
4540,ARKANSAS,PIKE,17,"198,033",970.75,"180,945",886.99,"3,851","11,438","1,799",17,"430,263",2109.13
4550,ARKANSAS,POINSETT,41,"652,322",1325.86,"594,620","1,208.58","7,798","46,562","3,342",40,"1,719,319",3581.91
4560,ARKANSAS,POLK,21,"335,853",1332.75,"314,602","1,248.42","3,509","16,814",928,21,"721,844",2864.46
4570,ARKANSAS,POPE,53,"1,359,350",2137.34,"1,242,141","1,953.05","12,108","100,677","4,424",48,"1,618,220",2809.41
4580,ARKANSAS,PRAIRIE,10,"349,108",2909.23,"310,510","2,587.58","14,775","17,690","6,133",10,"394,187",3284.89
4590,ARKANSAS,PULASKI,649,"12,747,270",1636.78,"10,989,575","1,411.09","502,863","1,055,811","199,021",619,"20,797,901",2799.93
4600,ARKANSAS,RANDOLPH,17,"456,182",2236.19,"411,038","2,014.89","13,738","27,873","3,533",17,"687,628",3370.73
4610,ARKANSAS,ST. FRANCIS,82,"976,507",992.39,"818,102",831.4,"31,928","115,637","10,840",79,"2,797,460",2950.91
4620,ARKANSAS,SALINE,48,"1,109,458",1926.14,"997,518","1,731.80","26,437","72,639","12,864",46,"1,537,715",2785.72
4630,ARKANSAS,SCOTT,9,"193,794",1794.39,"187,085","1,732.27",0,"6,709",0,9,"290,467",2689.51
4640,ARKANSAS,SEARCY,7,"308,615",3673.99,"280,974","3,344.93","3,676","22,166","1,799",7,"317,037",3774.25
4650,ARKANSAS,SEBASTIAN,139,"3,231,060",1937.09,"2,955,720","1,772.01","44,265","220,235","10,840",131,"4,497,220",2860.83
4660,ARKANSAS,SEVIER,10,"205,802",1715.02,"196,568","1,638.07",731,"8,015",488,10,"350,786",2923.22
4670,ARKANSAS,SHARP,22,"414,144",1568.73,"383,261","1,451.75","1,110","29,473",300,21,"589,717",2340.15
4680,ARKANSAS,STONE,11,"52,206",395.5,"48,294",365.86,"1,040","2,485",387,11,"181,009",1371.28
4690,ARKANSAS,UNION,107,"1,795,817",1398.61,"1,663,530","1,295.58","38,001","83,207","11,079",107,"3,844,613",2994.25
4700,ARKANSAS,VAN BUREN,10,"194,873",1623.94,"183,409","1,528.41",225,"11,136",103,10,"376,119",3134.33
4710,ARKANSAS,WASHINGTON,194,"3,989,090",1713.53,"3,644,503","1,565.51","94,347","222,927","27,313",184,"6,483,942",2936.57
4720,ARKANSAS,WHITE,66,"1,434,834",1811.66,"1,305,230","1,648.02","11,440","114,169","3,995",64,"2,063,888",2687.35
4730,ARKANSAS,WOODRUFF,16,"117,370",611.3,"110,378",574.89,343,"6,511",138,16,"517,973",2697.78
4740,ARKANSAS,YELL,25,"519,881",1732.94,"465,061","1,550.20","6,982","44,663","3,175",24,"756,400",2626.39
