AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
04320,ARKANSAS                 ,IZARD,-328,"-5,139","2,168","7,262","7,723",,98,"-4,816","4,340","15,606","20,849",
04330,ARKANSAS                 ,JACKSON,"-1,968","-5,345","3,606","8,053","6,983",,-739,"-5,372","4,069","12,025","13,021",
04340,ARKANSAS                 ,JEFFERSON,"16,301","15,141","87,173","9,170","37,090",,"13,735","14,260","105,417","12,990","55,007",
04350,ARKANSAS                 ,JOHNSON,93,"-2,339",347,"4,179","3,651",,-810,"-2,160",883,"5,150","5,207",
04360,ARKANSAS                 ,LAFAYETTE,-619,"-2,754",596,"2,871","2,186",,-254,"-2,438",651,"4,118","4,377",
04370,ARKANSAS                 ,LAWRENCE,293,"-4,235","2,066","6,930","8,499",,41,"-4,756","3,138","9,766","13,222",
04380,ARKANSAS                 ,LEE,-61,"-2,184","1,076","2,223","2,390",,-123,"-4,184","1,483","4,856","6,845",
04390,ARKANSAS                 ,LINCOLN,"2,515","2,440","10,913","1,297","4,901",,"5,120","2,110","19,536","3,217","14,058",
04400,ARKANSAS                 ,LITTLE RIVER,-366,"-3,681",750,"6,648","6,194",,"1,546","-10,814","2,751","13,574","17,674",
04410,ARKANSAS                 ,LOGAN,-481,"-3,155",602,"5,282","6,231",,"-2,580","-6,976","2,401","7,075","8,765",
04420,ARKANSAS                 ,LONOKE,"-15,434","-1,729","9,705","9,526","8,168",,"-9,725","-1,045","3,706","6,886","5,634",
04430,ARKANSAS                 ,MADISON,"6,788",600,"6,443","10,545","-7,825",,"9,841","1,186","16,026","21,870","-13,146",
04440,ARKANSAS                 ,MARION,462,"-3,290","1,074","5,001","6,006",,165,"-6,832","2,632","10,541","14,199",
04450,ARKANSAS                 ,MILLER,"-18,476","-46,093","-54,675","-22,646","-40,250",,"-25,117","-63,259","-79,754","-28,421","-42,826",
04460,ARKANSAS                 ,MISSISSIPPI,-71,"-6,170","1,889","6,830","9,099",,206,"-7,744","3,497","11,111","15,031",
04470,ARKANSAS                 ,MONROE,-159,"-2,542",803,"3,425","3,352",,371,"-3,534","2,122","7,008","7,619",
04480,ARKANSAS                 ,MONTGOMERY,-582,"-1,809",493,"2,805","3,717",,-717,"-3,161","1,043","3,643","2,881",
04490,ARKANSAS                 ,NEVADA,-340,"-3,236",696,"1,683","2,768",,-199,"-3,011",921,"3,837","4,923",
04500,ARKANSAS                 ,NEWTON,21,"-1,832",572,"1,721","1,119",,-18,"-4,036","1,693","4,016","4,122",
04510,ARKANSAS                 ,OUACHITA,-249,"-5,940","2,125","7,200","10,680",,244,"-6,526","2,203","8,832","10,831",
04520,ARKANSAS                 ,PERRY,"-2,454",-620,"1,870","1,807","1,317",,"-3,016",-177,"1,769","2,463","2,380",
04530,ARKANSAS                 ,PHILLIPS,-485,"-4,394","1,924","6,977","7,398",,-483,"-6,723","2,303","10,204","11,856",
04540,ARKANSAS                 ,PIKE,"-1,556","-3,741",461,"3,096","4,886",,-725,"-3,707",-78,"2,978","3,087",
04550,ARKANSAS                 ,POINSETT,"8,886","2,680","14,138","12,478","13,006",,"15,005","3,908","20,628","20,663","19,241",
04560,ARKANSAS                 ,POLK,-324,"-5,682","2,384","8,585","11,552",,15,"-11,412","4,946","14,830","17,936",
04570,ARKANSAS                 ,POPE,145,"-5,130","1,953","7,920","10,759",,404,"-5,380","2,688","8,980","12,326",
04580,ARKANSAS                 ,PRAIRIE,-308,"-2,803","1,137","4,062","4,934",,-149,"-1,379",707,"2,934","3,916",
04590,ARKANSAS                 ,PULASKI,"-135,658","-12,194","69,426","73,550","60,702",,"-106,703","-10,011","52,877","54,672","43,896",
04600,ARKANSAS                 ,RANDOLPH,351,"-6,930","2,198","5,138","5,249",,486,"-11,186","5,014","21,890","21,527",
04610,ARKANSAS                 ,ST. FRANCIS,-764,"-4,208","2,154","7,028","8,189",,"-1,384","-9,355","5,124","16,118","16,670",
04620,ARKANSAS                 ,SALINE,"-30,475","-4,123","9,347","10,656","10,951",,"-17,396","-2,423","7,866","7,639","6,548",
04630,ARKANSAS                 ,SCOTT,"-1,159","-1,717",-33,"1,338","2,581",,"-1,121","-2,779",-259,"2,371","4,065",
04640,ARKANSAS                 ,SEARCY,56,"-2,307",587,"2,192","2,364",,328,"-4,708","2,258","7,145","7,786",
04650,ARKANSAS                 ,SEBASTIAN,"-65,670","-24,599","-66,938","-2,239","-6,544",,"-108,721","-40,695","-95,982","-2,732","-8,752",
04660,ARKANSAS                 ,SEVIER,261,"-4,895","1,777","6,772","7,154",,228,"-11,638","4,296","13,134","15,090",
04670,ARKANSAS                 ,SHARP,351,"-5,209","1,960","9,850","11,853",,208,"-9,378","5,440","21,317","27,608",
04680,ARKANSAS                 ,STONE,-3,"-3,894","2,134","6,942","8,698",,-911,"-7,648","4,247","15,595","21,221",
04690,ARKANSAS                 ,UNION,-342,"-6,646","2,810","10,779","14,164",,"-2,946","-7,038",871,"11,554","16,130",
04700,ARKANSAS                 ,VAN BUREN,74,"-4,363","1,738","5,902","6,371",,310,"-11,984","4,865","14,563","15,842",
04710,ARKANSAS                 ,WASHINGTON,"53,409","4,157","58,065","95,207","-63,714",,"51,202","5,861","71,595","120,910","-84,137",
04720,ARKANSAS                 ,WHITE,-478,"-18,970","8,999","28,772","30,566",,-10,"-19,690","8,738","28,614","29,722",
04730,ARKANSAS                 ,WOODRUFF,-167,"-2,154",964,"2,951","5,098",,-91,"-4,801","2,070","5,689","11,105",
04740,ARKANSAS                 ,YELL,-568,"-3,766","1,410","5,307","5,601",,239,"-6,947","2,941","12,051","14,185",
05000,CALIFORNIA               ,ALAMEDA,"1,167,846","923,238","689,399","637,359","928,475",,"855,708","735,466","572,764","635,002","1,050,799",
05010,CALIFORNIA               ,ALPINE,"2,020",130,202,117,620,,175,4,0,130,313,
05020,CALIFORNIA               ,AMADOR,"38,447","23,648","39,356","39,571","39,743",,"17,738","14,942","26,381","30,219","24,557",
05030,CALIFORNIA               ,BUTTE,"150,403","297,859","181,405","51,258","240,905",,"119,343","231,156","143,497","37,648","172,510",
05040,CALIFORNIA               ,CALAVERAS,"68,817","35,675","48,548","48,762","46,333",,"68,799","31,838","51,165","47,894","37,779",
05050,CALIFORNIA               ,COLUSA,"20,610","13,374","20,626","13,053","14,782",,"9,716","10,808","8,848","4,618","5,482",
05060,CALIFORNIA               ,CONTRA COSTA,"933,550","750,427","540,723","521,039","821,277",,"590,506","446,825","351,703","341,346","584,349",
05070,CALIFORNIA               ,DEL NORTE,"15,035","7,250","14,830","16,926","2,490",,"11,919","7,427","9,585","10,694",922,
05080,CALIFORNIA               ,EL DORADO,"257,139","278,406","185,626","175,078","242,091",,"121,802","142,139","118,182","101,204","139,428",
05090,CALIFORNIA               ,FRESNO,"360,888","419,474","275,254","200,055","300,675",,"384,529","410,381","316,384","217,504","378,083",
05100,CALIFORNIA               ,GLENN,"30,409","25,815","29,837","29,152","23,900",,"24,490","17,311","25,739","22,095","17,314",
05110,CALIFORNIA               ,HUMBOLDT,"113,577","78,726","134,642","123,932","85,230",,"121,226","69,519","116,700","107,865","94,455",
