IPPS and OPPS Wage Indices by Fiscal Year ,,,,,,,,,,,
"Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
County code,State,County name,CBSA 2014,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2014
05320,CA,MARIPOSA,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05330,CA,MENDOCINO,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05340,CA,MERCED,32900,1.1981,1.2055,1.1853,1.1842,1.2111,1.2160,1.2613,1.2482
05350,CA,MODOC,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05360,CA,MONO,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05370,CA,MONTEREY,41500,1.4594,1.4797,1.5301,1.5286,1.5821,1.5741,1.5968,1.5678
05380,CA,NAPA,34900,1.3960,1.3945,1.4240,1.4226,1.4425,1.4516,1.5575,1.4932
05390,CA,NEVADA,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05400,CA,ORANGE,42044,1.1736,1.1972,1.1831,1.1820,1.1954,1.1791,1.2282,1.2477
05410,CA,PLACER,40900,1.3068,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.4887
05420,CA,PLUMAS,NA,1.1736,1.1972,1.1831,1.1820,1.1870,1.1238,1.2282,1.2477
05430,CA,RIVERSIDE,40140,1.1736,1.1972,1.1831,1.1820,1.1870,1.1248,1.2282,1.2477
05440,CA,SACRAMENTO,40900,1.3068,1.3088,1.3594,1.3581,1.3602,1.3311,1.4203,1.4887
05450,CA,SAN BENITO,41940,1.5441,1.5830,1.6059,1.6043,1.6363,1.6435,1.6801,1.6650
05460,CA,SAN BERNARDINO,40140,1.1736,1.1972,1.1831,1.1820,1.1870,1.1248,1.2282,1.2477
05470,CA,SAN DIEGO,41740,1.1736,1.1972,1.1831,1.1820,1.1870,1.1627,1.2282,1.2477
05480,CA,SAN FRANCISCO,41884,1.4802,1.5065,1.5454,1.5439,1.5352,1.5372,1.5889,1.6269
05490,CA,SAN JOAQUIN,44700,1.1810,1.1972,1.2245,1.2233,1.2584,1.3085,1.3148,1.3505
