DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
06380,COLORADO                 ,MESA,0,0,0,0,0,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,
06400,COLORADO                 ,MOFFAT,0,0,0,0,0,
06410,COLORADO                 ,MONTEZUMA,0,0,0,0,0,
06420,COLORADO                 ,MONTROSE,0,0,0,0,0,
06430,COLORADO                 ,MORGAN,0,0,0,0,0,
06440,COLORADO                 ,OTERO,0,0,0,0,0,
06450,COLORADO                 ,OURAY,0,0,0,0,0,
06460,COLORADO                 ,PARK,"-1,964","-1,771","-2,465","-1,915","-1,798",
06470,COLORADO                 ,PHILLIPS,0,0,0,0,0,
06480,COLORADO                 ,PITKIN,0,0,0,0,0,
06490,COLORADO                 ,PROWERS,0,0,0,0,0,
06500,COLORADO                 ,PUEBLO,0,0,0,0,-510,
06510,COLORADO                 ,RIO BLANCO,0,0,0,0,0,
06520,COLORADO                 ,RIO GRANDE,0,0,0,0,0,
06530,COLORADO                 ,ROUTT,0,0,0,0,0,
06540,COLORADO                 ,SAGUACHE,0,0,0,0,0,
06550,COLORADO                 ,SAN JUAN,0,0,0,0,0,
06560,COLORADO                 ,SAN MIGUEL,0,0,0,0,0,
06570,COLORADO                 ,SEDGWICK,0,0,0,0,0,
06580,COLORADO                 ,SUMMIT,0,0,0,0,0,
06590,COLORADO                 ,TELLER,"-66,591","-47,083","-51,048","-61,038","-57,246",
06600,COLORADO                 ,WASHINGTON,0,0,0,0,0,
06610,COLORADO                 ,WELD,0,0,0,0,0,
06620,COLORADO                 ,YUMA,0,0,0,0,0,
06630,COLORADO                 ,BROOMFIELD,"-24,945","-30,683","-29,192","-32,518","-26,592",
07000,CONNECTICUT              ,FAIRFIELD,"-698,530","-572,220","-611,934","-689,850","-678,268",
07010,CONNECTICUT              ,HARTFORD,"-1,116,129","-901,398","-942,151","-972,846","-1,057,288",
07020,CONNECTICUT              ,LITCHFIELD,0,-15,0,0,-420,
07030,CONNECTICUT              ,MIDDLESEX,"-158,607","-120,785","-120,832","-146,949","-153,764",
07040,CONNECTICUT              ,NEW HAVEN,"-1,141,639","-930,845","-1,000,823","-1,083,600","-1,070,947",
07050,CONNECTICUT              ,NEW LONDON,0,0,0,0,0,
07060,CONNECTICUT              ,TOLLAND,"-131,989","-95,485","-105,465","-135,605","-132,492",
07070,CONNECTICUT              ,WINDHAM,-403,-180,-461,-212,-166,
08000,DELAWARE                 ,KENT,0,0,0,0,0,
08010,DELAWARE                 ,NEW CASTLE,"-865,670","-715,158","-794,259","-898,350","-912,636",
08020,DELAWARE                 ,SUSSEX,0,0,0,0,0,
