Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Locality 2014,Carrier 2014,GPCI WK 2008,GPCI WK 2009,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI PE 2008,GPCI PE 2009,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014
03000,ARIZONA,Apache,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03010,ARIZONA,Cochise,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03020,ARIZONA,Coconino,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03030,ARIZONA,Gila,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03040,ARIZONA,Graham,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03050,ARIZONA,Greenlee,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03055,ARIZONA,La Paz,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03060,ARIZONA,Maricopa,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03070,ARIZONA,Mohave,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03080,ARIZONA,Navajo,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03090,ARIZONA,Pima,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03100,ARIZONA,Pinal,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03110,ARIZONA,Santa Cruz,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03120,ARIZONA,Yavapai,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
03130,ARIZONA,Yuma,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.957,0.979,0.983,0.978,0.978,0.989,0.936,0.822,0.822,0.913,1.015,1.015,0.946
04000,ARKANSAS,Arkansas,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04010,ARKANSAS,Ashley,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04020,ARKANSAS,Baxter,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04030,ARKANSAS,Benton,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04040,ARKANSAS,Boone,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04050,ARKANSAS,Bradley,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04060,ARKANSAS,Calhoun,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04070,ARKANSAS,Carroll,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04080,ARKANSAS,Chicot,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04090,ARKANSAS,Clark,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04100,ARKANSAS,Clay,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04110,ARKANSAS,Cleburne,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04120,ARKANSAS,Cleveland,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
04130,ARKANSAS,Columbia,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.839,0.846,0.923,0.923,0.865,0.865,0.866,0.439,0.446,0.446,0.444,0.450,0.450,0.492
