HHA Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2012,HHA Wage 2013,HHA Wage 2014
05320,CA,MARIPOSA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05330,CA,MENDOCINO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05340,CA,MERCED,32900,1.2120,1.2243,1.2123,1.2359,1.2424,1.3025,1.2788
05350,CA,MODOC,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05360,CA,MONO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05370,CA,MONTEREY,41500,1.4775,1.4987,1.5207,1.5686,1.5604,1.5877,1.5626
05380,CA,NAPA,34900,1.4476,1.4520,1.4453,1.4604,1.4511,1.6064,1.5354
05390,CA,NEVADA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05400,CA,ORANGE,42044,1.1766,1.1993,1.1972,1.2162,1.2042,1.1995,1.2036
05410,CA,PLACER,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4350,1.5211
05420,CA,PLUMAS,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05430,CA,RIVERSIDE,40140,1.1100,1.1468,1.1285,1.1570,1.1463,1.1372,1.1492
05440,CA,SACRAMENTO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4350,1.5211
05450,CA,SAN BENITO,41940,1.5735,1.6141,1.6404,1.6703,1.6878,1.7455,1.6761
05460,CA,SAN BERNARDINO,40140,1.1100,1.1468,1.1285,1.1570,1.1463,1.1372,1.1492
05470,CA,SAN DIEGO,41740,1.1492,1.1538,1.1752,1.1979,1.1950,1.1748,1.2104
05480,CA,SAN FRANCISCO,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6862,1.6200
05490,CA,SAN JOAQUIN,44700,1.1855,1.2015,1.2331,1.2644,1.3052,1.3433,1.3792
05500,CA,SAN LUIS OBISPO,42020,1.2488,1.2441,1.2550,1.2915,1.3072,1.3110,1.3089
05510,CA,SAN MATEO,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6862,1.6200
05520,CA,SANTA BARBARA,42060,1.1714,1.1909,1.2213,1.1909,1.2246,1.2698,1.3165
05530,CA,SANTA CLARA,41940,1.5735,1.6141,1.6404,1.6703,1.6878,1.7455,1.6761
05540,CA,SANTA CRUZ,42100,1.6122,1.6429,1.6735,1.6740,1.7111,1.7886,1.7835
05550,CA,SHASTA,39820,1.3541,1.3731,1.4039,1.4134,1.5584,1.4720,1.5053
05560,CA,SIERRA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05570,CA,SISKIYOU,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05580,CA,SOLANO,46700,1.4666,1.4359,1.4934,1.4931,1.4636,1.5879,1.6355
05590,CA,SONOMA,42220,1.4696,1.5528,1.5891,1.6143,1.6102,1.6476,1.6743
05600,CA,STANISLAUS,33700,1.1962,1.2194,1.2502,1.2104,1.2670,1.2870,1.3641
05610,CA,SUTTER,49700,1.0756,1.1137,1.1265,1.1043,1.1808,1.0318,1.1809
05620,CA,TEHAMA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05630,CA,TRINITY,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05640,CA,TULARE,47300,1.0091,1.0144,1.0221,1.0738,1.0343,1.0372,0.9989
05650,CA,TUOLUMNE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05660,CA,VENTURA,37100,1.1852,1.1951,1.2301,1.2377,1.2830,1.2962,1.3132
05670,CA,YOLO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4350,1.5211
05680,CA,YUBA,49700,1.0756,1.1137,1.1265,1.1043,1.1808,1.0318,1.1809
05999,CA,STATEWIDE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,n/a ,1.2697
06000,CO,ADAMS,19740,1.0718,1.0818,1.0731,1.0718,1.0647,1.0497,1.0461
06010,CO,ALAMOSA,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06020,CO,ARAPAHOE,19740,1.0718,1.0818,1.0731,1.0718,1.0647,1.0497,1.0461
06030,CO,ARCHULETA,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06040,CO,BACA,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06050,CO,BENT,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06060,CO,BOULDER,14500,1.0426,1.0302,1.0266,1.0065,1.0086,1.0598,0.9891
06070,CO,CHAFFEE,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06080,CO,CHEYENNE,NA,0.9704,0.9570,0.9929,0.9933,1.0126,1.0228,0.9844
06090,CO,CLEAR CREEK,19740,1.0718,1.0818,1.0731,1.0718,1.0647,1.0497,1.0461
