"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
04460,ARKANSAS                 ,MISSISSIPPI            ,96,48524,505.46,48524,505.46,0,0,0,94,0,0,
04470,ARKANSAS                 ,MONROE                 ,17,0,0,0,0,0,0,0,17,0,0,
04480,ARKANSAS                 ,MONTGOMERY             ,7,0,0,0,0,0,0,0,7,0,0,
04490,ARKANSAS                 ,NEVADA                 ,17,0,0,0,0,0,0,0,17,0,0,
04500,ARKANSAS                 ,NEWTON                 ,2,0,0,0,0,0,0,0,2,0,0,
04510,ARKANSAS                 ,OUACHITA               ,52,3302,63.5,3302,63.5,0,0,0,51,0,0,
04520,ARKANSAS                 ,PERRY                  ,9,0,0,0,0,0,0,0,9,0,0,
04530,ARKANSAS                 ,PHILLIPS               ,61,53145,871.23,53145,871.23,0,0,0,61,0,0,
04540,ARKANSAS                 ,PIKE                   ,14,12544,896,12544,896,0,0,0,13,0,0,
04550,ARKANSAS                 ,POINSETT               ,42,9739,231.88,9739,231.88,0,0,0,41,0,0,
04560,ARKANSAS                 ,POLK                   ,23,14669,637.78,14669,637.78,0,0,0,23,0,0,
04570,ARKANSAS                 ,POPE                   ,56,11203,200.05,11203,200.05,0,0,0,53,0,0,
04580,ARKANSAS                 ,PRAIRIE                ,12,3131,260.92,3131,260.92,0,0,0,12,0,0,
04590,ARKANSAS                 ,PULASKI                ,656,107505,163.88,107504,163.88,0,0,0,624,0,0,
04600,ARKANSAS                 ,RANDOLPH               ,20,24242,1212.1,24242,1212.1,0,0,0,20,0,0,
04610,ARKANSAS                 ,ST  FRANCIS            ,82,1563,19.06,1564,19.07,0,0,0,78,0,0,
