DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
04690,ARKANSAS                 ,UNION,"-23,190","-31,444","-13,652","-26,526","-35,760",,,,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-22,611","-11,440","-49,656","-11,266","-21,554",,,,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"38,961","35,795","57,389","61,233","94,271",,,,,,,,,,,
04720,ARKANSAS                 ,WHITE,"-211,494","-197,177","-184,926","-152,892","-237,392",,,,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-35,088","-32,259","-31,379","-28,758","-21,684",,,,,,,,,,,
04740,ARKANSAS                 ,YELL,"-69,945","-71,325","-51,607","-53,653","-47,042",,,,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-2,234,217","-2,675,049","-2,186,608","-2,506,108","-2,385,662",,,,,,,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,993,"-1,776",-777,,,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,"-32,593","-47,670","-114,451","-120,945","-170,469",,,,,,,,,,,
05030,CALIFORNIA               ,BUTTE,"-694,714","-833,716","-970,623","-1,007,091","-1,183,803",,,,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,"-90,815","-122,442","-56,951","-134,402","-122,373",,,,,,,,,,,
05050,CALIFORNIA               ,COLUSA,"-46,085","-47,526","-51,155","-69,605","-56,576",,,,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-782,644","-969,295","-813,294","-881,186","-749,584",,,,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,"-1,505","-48,857","-59,574","-40,789","-58,585",,,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"-87,114","-58,981","-143,731","-246,244","-225,879",,,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"-1,030,166","-1,324,185","-1,235,977","-1,044,171","-1,398,720",,,,,,,,,,,
05100,CALIFORNIA               ,GLENN,"-32,430","-44,755","-60,349","-51,383","-75,883",,,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"-391,427","-472,064","-551,383","-428,142","-472,178",,,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"-266,320","-483,954","-688,551","-668,047","-687,789",,,,,,,,,,,
05130,CALIFORNIA               ,INYO,"-4,982",-264,"-15,698","-16,763","-52,289",,,,,,,,,,,
